"","date","type","market","country","forecast"
"1",2013-01-01,"arima","intraday","de",20.7860228899914
"2",2013-01-02,"arima","intraday","de",25.0812408751425
"3",2013-01-03,"arima","intraday","de",32.6633117454523
"4",2013-01-04,"arima","intraday","de",25.2298565210554
"5",2013-01-05,"arima","intraday","de",26.0501389988136
"6",2013-01-06,"arima","intraday","de",21.8674842873078
"7",2013-01-07,"arima","intraday","de",42.6685325743242
"8",2013-01-08,"arima","intraday","de",43.6296212360841
"9",2013-01-09,"arima","intraday","de",43.9879358590971
"10",2013-01-10,"arima","intraday","de",44.68538986633
"11",2013-01-11,"arima","intraday","de",39.8080055169239
"12",2013-01-12,"arima","intraday","de",42.9166985851878
"13",2013-01-13,"arima","intraday","de",31.8864566014344
"14",2013-01-14,"arima","intraday","de",48.2132156150792
"15",2013-01-15,"arima","intraday","de",49.669497077912
"16",2013-01-16,"arima","intraday","de",55.0901632197363
"17",2013-01-17,"arima","intraday","de",50.209855777345
"18",2013-01-18,"arima","intraday","de",48.8305495127134
"19",2013-01-19,"arima","intraday","de",39.958059872369
"20",2013-01-20,"arima","intraday","de",30.0976972942043
"21",2013-01-21,"arima","intraday","de",46.2445062824694
"22",2013-01-22,"arima","intraday","de",41.7778215714629
"23",2013-01-23,"arima","intraday","de",48.8240520755773
"24",2013-01-24,"arima","intraday","de",48.5795998495597
"25",2013-01-25,"arima","intraday","de",49.557811562211
"26",2013-01-26,"arima","intraday","de",41.8669383952767
"27",2013-01-27,"arima","intraday","de",28.2423613579117
"28",2013-01-28,"arima","intraday","de",46.9356495555746
"29",2013-01-29,"arima","intraday","de",43.1555668823635
"30",2013-01-30,"arima","intraday","de",38.9281212907773
"31",2013-01-31,"arima","intraday","de",34.7092416337656
"32",2013-02-01,"arima","intraday","de",31.4257439581534
"33",2013-02-02,"arima","intraday","de",34.6313031667275
"34",2013-02-03,"arima","intraday","de",29.3528555257114
"35",2013-02-04,"arima","intraday","de",43.6629443709599
"36",2013-02-05,"arima","intraday","de",39.7269633737507
"37",2013-02-06,"arima","intraday","de",37.1395938500703
"38",2013-02-07,"arima","intraday","de",41.9153792263878
"39",2013-02-08,"arima","intraday","de",43.2837194184717
"40",2013-02-09,"arima","intraday","de",34.9108698663651
"41",2013-02-10,"arima","intraday","de",27.8335569857761
"42",2013-02-11,"arima","intraday","de",43.2582188497532
"43",2013-02-12,"arima","intraday","de",37.6281807627144
"44",2013-02-13,"arima","intraday","de",47.5456846892092
"45",2013-02-14,"arima","intraday","de",48.4254215526094
"46",2013-02-15,"arima","intraday","de",43.0646870710317
"47",2013-02-16,"arima","intraday","de",42.6323727412067
"48",2013-02-17,"arima","intraday","de",31.9550835316122
"49",2013-02-18,"arima","intraday","de",45.9059244279827
"50",2013-02-19,"arima","intraday","de",47.3536535714874
"51",2013-02-20,"arima","intraday","de",46.1141378864879
"52",2013-02-21,"arima","intraday","de",40.2964905932999
"53",2013-02-22,"arima","intraday","de",48.5192299580803
"54",2013-02-23,"arima","intraday","de",37.9078079434696
"55",2013-02-24,"arima","intraday","de",30.2984511068992
"56",2013-02-25,"arima","intraday","de",48.8329870532119
"57",2013-02-26,"arima","intraday","de",50.8239641875956
"58",2013-02-27,"arima","intraday","de",56.7325957731766
"59",2013-02-28,"arima","intraday","de",54.812859162576
"60",2013-03-01,"arima","intraday","de",55.6816740586113
"61",2013-03-02,"arima","intraday","de",47.4476133155732
"62",2013-03-03,"arima","intraday","de",33.449488492246
"63",2013-03-04,"arima","intraday","de",46.9982946199978
"64",2013-03-05,"arima","intraday","de",44.4283862118949
"65",2013-03-06,"arima","intraday","de",47.8158484603818
"66",2013-03-07,"arima","intraday","de",39.7885197606747
"67",2013-03-08,"arima","intraday","de",36.3379002389148
"68",2013-03-09,"arima","intraday","de",24.9409308436295
"69",2013-03-10,"arima","intraday","de",28.9220865241608
"70",2013-03-11,"arima","intraday","de",38.7519799236303
"71",2013-03-12,"arima","intraday","de",44.13920339002
"72",2013-03-13,"arima","intraday","de",52.9108487838959
"73",2013-03-14,"arima","intraday","de",50.444051424446
"74",2013-03-15,"arima","intraday","de",48.3852695885807
"75",2013-03-16,"arima","intraday","de",36.4823934901504
"76",2013-03-17,"arima","intraday","de",29.9518114241934
"77",2013-03-18,"arima","intraday","de",32.4425647628099
"78",2013-03-19,"arima","intraday","de",40.2684747964955
"79",2013-03-20,"arima","intraday","de",50.8314694224958
"80",2013-03-21,"arima","intraday","de",46.1524845849859
"81",2013-03-22,"arima","intraday","de",54.184772359826
"82",2013-03-23,"arima","intraday","de",32.5344196818255
"83",2013-03-24,"arima","intraday","de",15.5364704140544
"84",2013-03-25,"arima","intraday","de",28.0438589532823
"85",2013-03-26,"arima","intraday","de",36.7478452895698
"86",2013-03-27,"arima","intraday","de",44.3437695264623
"87",2013-03-28,"arima","intraday","de",41.9423856793693
"88",2013-03-29,"arima","intraday","de",44.8724642539245
"89",2013-03-30,"arima","intraday","de",35.7391199870944
"90",2013-03-31,"arima","intraday","de",33.1558496738845
"91",2013-04-01,"arima","intraday","de",46.6528608414898
"92",2013-04-02,"arima","intraday","de",34.7959592376109
"93",2013-04-03,"arima","intraday","de",49.2617202127144
"94",2013-04-04,"arima","intraday","de",48.6982744692548
"95",2013-04-05,"arima","intraday","de",50.4129049202
"96",2013-04-06,"arima","intraday","de",41.5539625608653
"97",2013-04-07,"arima","intraday","de",40.0725569434043
"98",2013-04-08,"arima","intraday","de",44.8069214959438
"99",2013-04-09,"arima","intraday","de",44.3957602877401
"100",2013-04-10,"arima","intraday","de",47.6500480504072
"101",2013-04-11,"arima","intraday","de",50.0034220096798
"102",2013-04-12,"arima","intraday","de",46.9487218578781
"103",2013-04-13,"arima","intraday","de",35.9656109055493
"104",2013-04-14,"arima","intraday","de",29.5329436801252
"105",2013-04-15,"arima","intraday","de",41.7885626949126
"106",2013-04-16,"arima","intraday","de",40.5427819503183
"107",2013-04-17,"arima","intraday","de",42.0878373242852
"108",2013-04-18,"arima","intraday","de",35.9984762458227
"109",2013-04-19,"arima","intraday","de",29.6759435294996
"110",2013-04-20,"arima","intraday","de",28.0224337182577
"111",2013-04-21,"arima","intraday","de",21.6280833984671
"112",2013-04-22,"arima","intraday","de",35.3265952168945
