"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","intraday","de",18.2349878921483
"2",2013-01-02,"svm_polynomial","intraday","de",27.6840443786009
"3",2013-01-03,"svm_polynomial","intraday","de",32.3643193019456
"4",2013-01-04,"svm_polynomial","intraday","de",27.6051727831348
"5",2013-01-05,"svm_polynomial","intraday","de",19.7477845103259
"6",2013-01-06,"svm_polynomial","intraday","de",27.2346751297405
"7",2013-01-07,"svm_polynomial","intraday","de",35.5751635667818
"8",2013-01-08,"svm_polynomial","intraday","de",38.8780451313909
"9",2013-01-09,"svm_polynomial","intraday","de",41.9879070139341
"10",2013-01-10,"svm_polynomial","intraday","de",43.5604047436304
"11",2013-01-11,"svm_polynomial","intraday","de",39.7446781512224
"12",2013-01-12,"svm_polynomial","intraday","de",33.7706595333318
"13",2013-01-13,"svm_polynomial","intraday","de",36.9175862889846
"14",2013-01-14,"svm_polynomial","intraday","de",48.1756722514314
"15",2013-01-15,"svm_polynomial","intraday","de",47.6502646908604
"16",2013-01-16,"svm_polynomial","intraday","de",53.518922949257
"17",2013-01-17,"svm_polynomial","intraday","de",49.9228169271391
"18",2013-01-18,"svm_polynomial","intraday","de",50.831686100027
"19",2013-01-19,"svm_polynomial","intraday","de",35.9147542599758
"20",2013-01-20,"svm_polynomial","intraday","de",36.6734930239221
"21",2013-01-21,"svm_polynomial","intraday","de",45.7644267317835
"22",2013-01-22,"svm_polynomial","intraday","de",43.5846123735338
"23",2013-01-23,"svm_polynomial","intraday","de",48.2511139389365
"24",2013-01-24,"svm_polynomial","intraday","de",52.5135446050795
"25",2013-01-25,"svm_polynomial","intraday","de",53.4262832522679
"26",2013-01-26,"svm_polynomial","intraday","de",38.3040982678789
"27",2013-01-27,"svm_polynomial","intraday","de",34.796918239461
"28",2013-01-28,"svm_polynomial","intraday","de",45.0046097594435
"29",2013-01-29,"svm_polynomial","intraday","de",43.9351981146178
"30",2013-01-30,"svm_polynomial","intraday","de",38.7971835231415
"31",2013-01-31,"svm_polynomial","intraday","de",40.7693225633664
"32",2013-02-01,"svm_polynomial","intraday","de",35.2188071623142
"33",2013-02-02,"svm_polynomial","intraday","de",27.5052096699004
"34",2013-02-03,"svm_polynomial","intraday","de",33.3351946015175
"35",2013-02-04,"svm_polynomial","intraday","de",40.8695666985594
"36",2013-02-05,"svm_polynomial","intraday","de",38.0287039095638
