,date,type,market,country,forecast
1,2013-01-01,esc4,spot,de,20.591
2,2013-01-02,esc4,spot,de,25.818
3,2013-01-03,esc4,spot,de,36.444
4,2013-01-04,esc4,spot,de,31.662
5,2013-01-05,esc4,spot,de,36.513
6,2013-01-06,esc4,spot,de,26.21
7,2013-01-07,esc4,spot,de,44.324
8,2013-01-08,esc4,spot,de,47.416
9,2013-01-09,esc4,spot,de,49.812
10,2013-01-10,esc4,spot,de,49.121
11,2013-01-11,esc4,spot,de,48.398
12,2013-01-12,esc4,spot,de,45.951
13,2013-01-13,esc4,spot,de,38.478
14,2013-01-14,esc4,spot,de,51.637
15,2013-01-15,esc4,spot,de,53.051
16,2013-01-16,esc4,spot,de,55.456
17,2013-01-17,esc4,spot,de,54.935
18,2013-01-18,esc4,spot,de,50.627
19,2013-01-19,esc4,spot,de,41.107
20,2013-01-20,esc4,spot,de,35.554
21,2013-01-21,esc4,spot,de,47.249
22,2013-01-22,esc4,spot,de,52.892
23,2013-01-23,esc4,spot,de,55.604
24,2013-01-24,esc4,spot,de,58.969
25,2013-01-25,esc4,spot,de,55.722
26,2013-01-26,esc4,spot,de,42.03
27,2013-01-27,esc4,spot,de,30.731
28,2013-01-28,esc4,spot,de,42.989
29,2013-01-29,esc4,spot,de,41.805
30,2013-01-30,esc4,spot,de,32.726
31,2013-01-31,esc4,spot,de,31.045
32,2013-02-01,esc4,spot,de,39.073
33,2013-02-02,esc4,spot,de,32.272
34,2013-02-03,esc4,spot,de,30.167
35,2013-02-04,esc4,spot,de,34.517
36,2013-02-05,esc4,spot,de,35.423
37,2013-02-06,esc4,spot,de,41.034
38,2013-02-07,esc4,spot,de,44.347
39,2013-02-08,esc4,spot,de,48.461
40,2013-02-09,esc4,spot,de,42.7
41,2013-02-10,esc4,spot,de,34.703
42,2013-02-11,esc4,spot,de,38.2
43,2013-02-12,esc4,spot,de,47.811
44,2013-02-13,esc4,spot,de,51.494
45,2013-02-14,esc4,spot,de,49.64
46,2013-02-15,esc4,spot,de,48.353
47,2013-02-16,esc4,spot,de,43.82
48,2013-02-17,esc4,spot,de,37.153
49,2013-02-18,esc4,spot,de,46.936
50,2013-02-19,esc4,spot,de,52.688
51,2013-02-20,esc4,spot,de,49.796
52,2013-02-21,esc4,spot,de,47.998
53,2013-02-22,esc4,spot,de,50.44
54,2013-02-23,esc4,spot,de,39.901
55,2013-02-24,esc4,spot,de,33.734
56,2013-02-25,esc4,spot,de,47.962
57,2013-02-26,esc4,spot,de,53.893
58,2013-02-27,esc4,spot,de,54.558
59,2013-02-28,esc4,spot,de,56.858
60,2013-03-01,esc4,spot,de,50.611
61,2013-03-02,esc4,spot,de,39.275
62,2013-03-03,esc4,spot,de,38.275
63,2013-03-04,esc4,spot,de,50.917
64,2013-03-05,esc4,spot,de,49.935
65,2013-03-06,esc4,spot,de,44.766
66,2013-03-07,esc4,spot,de,48.378
67,2013-03-08,esc4,spot,de,36.997
68,2013-03-09,esc4,spot,de,31.913
69,2013-03-10,esc4,spot,de,28.029
70,2013-03-11,esc4,spot,de,36.28
71,2013-03-12,esc4,spot,de,42.135
72,2013-03-13,esc4,spot,de,48.885
73,2013-03-14,esc4,spot,de,53.379
74,2013-03-15,esc4,spot,de,47.801
75,2013-03-16,esc4,spot,de,29.777
76,2013-03-17,esc4,spot,de,22.97
77,2013-03-18,esc4,spot,de,26.991
78,2013-03-19,esc4,spot,de,42.603
79,2013-03-20,esc4,spot,de,46.087
80,2013-03-21,esc4,spot,de,51.37
81,2013-03-22,esc4,spot,de,45.226
82,2013-03-23,esc4,spot,de,26.307
83,2013-03-24,esc4,spot,de,18.556
84,2013-03-25,esc4,spot,de,28.013
85,2013-03-26,esc4,spot,de,40.641
86,2013-03-27,esc4,spot,de,41.714
87,2013-03-28,esc4,spot,de,47.237
88,2013-03-29,esc4,spot,de,39.243
89,2013-03-30,esc4,spot,de,42.063
90,2013-03-31,esc4,spot,de,31.387
91,2013-04-01,esc4,spot,de,29.058
92,2013-04-02,esc4,spot,de,38.846
93,2013-04-03,esc4,spot,de,48.023
94,2013-04-04,esc4,spot,de,41.346
95,2013-04-05,esc4,spot,de,48.268
96,2013-04-06,esc4,spot,de,48.083
97,2013-04-07,esc4,spot,de,35.949
98,2013-04-08,esc4,spot,de,48.453
99,2013-04-09,esc4,spot,de,54.772
100,2013-04-10,esc4,spot,de,55.528
101,2013-04-11,esc4,spot,de,57.019
102,2013-04-12,esc4,spot,de,50.649
103,2013-04-13,esc4,spot,de,34.695
104,2013-04-14,esc4,spot,de,28.489
105,2013-04-15,esc4,spot,de,29.195
106,2013-04-16,esc4,spot,de,45.487
107,2013-04-17,esc4,spot,de,44.218
108,2013-04-18,esc4,spot,de,34.291
109,2013-04-19,esc4,spot,de,33.069
110,2013-04-20,esc4,spot,de,28.178
111,2013-04-21,esc4,spot,de,22.43
112,2013-04-22,esc4,spot,de,30.271
113,2013-04-23,esc4,spot,de,37.486
114,2013-04-24,esc4,spot,de,34.707
115,2013-04-25,esc4,spot,de,38.229
116,2013-04-26,esc4,spot,de,30.606
117,2013-04-27,esc4,spot,de,30.203
118,2013-04-28,esc4,spot,de,22.919
119,2013-04-29,esc4,spot,de,30.224
120,2013-04-30,esc4,spot,de,38.907
121,2013-05-01,esc4,spot,de,23.841
122,2013-05-02,esc4,spot,de,28.45
123,2013-05-03,esc4,spot,de,33.768
124,2013-05-04,esc4,spot,de,27.509
125,2013-05-05,esc4,spot,de,26.501
126,2013-05-06,esc4,spot,de,29.999
127,2013-05-07,esc4,spot,de,39.851
128,2013-05-08,esc4,spot,de,30.49
129,2013-05-09,esc4,spot,de,23.431
130,2013-05-10,esc4,spot,de,31.7
131,2013-05-11,esc4,spot,de,30.714
132,2013-05-12,esc4,spot,de,14.668
133,2013-05-13,esc4,spot,de,26.533
134,2013-05-14,esc4,spot,de,33.527
135,2013-05-15,esc4,spot,de,32.156
136,2013-05-16,esc4,spot,de,36.385
137,2013-05-17,esc4,spot,de,33.834
138,2013-05-18,esc4,spot,de,25.631
139,2013-05-19,esc4,spot,de,19.103
140,2013-05-20,esc4,spot,de,18.25
141,2013-05-21,esc4,spot,de,40.273
142,2013-05-22,esc4,spot,de,39.457
143,2013-05-23,esc4,spot,de,38.351
144,2013-05-24,esc4,spot,de,43.89
145,2013-05-25,esc4,spot,de,34.737
146,2013-05-26,esc4,spot,de,30.666
147,2013-05-27,esc4,spot,de,33.368
148,2013-05-28,esc4,spot,de,41.267
149,2013-05-29,esc4,spot,de,43.402
150,2013-05-30,esc4,spot,de,42.907
151,2013-05-31,esc4,spot,de,34.683
152,2013-06-01,esc4,spot,de,29.533
153,2013-06-02,esc4,spot,de,19.755
154,2013-06-03,esc4,spot,de,29.817
155,2013-06-04,esc4,spot,de,33.388
156,2013-06-05,esc4,spot,de,40.577
157,2013-06-06,esc4,spot,de,37.283
158,2013-06-07,esc4,spot,de,35.759
159,2013-06-08,esc4,spot,de,25.268
160,2013-06-09,esc4,spot,de,21.997
161,2013-06-10,esc4,spot,de,28.802
162,2013-06-11,esc4,spot,de,31.896
163,2013-06-12,esc4,spot,de,31.586
164,2013-06-13,esc4,spot,de,29.636
165,2013-06-14,esc4,spot,de,27.103
166,2013-06-15,esc4,spot,de,23.435
167,2013-06-16,esc4,spot,de,11.53
168,2013-06-17,esc4,spot,de,39.347
169,2013-06-18,esc4,spot,de,37.026
170,2013-06-19,esc4,spot,de,34.221
171,2013-06-20,esc4,spot,de,35.738
172,2013-06-21,esc4,spot,de,31.214
173,2013-06-22,esc4,spot,de,24.388
174,2013-06-23,esc4,spot,de,13.177
175,2013-06-24,esc4,spot,de,27.862
176,2013-06-25,esc4,spot,de,32.984
177,2013-06-26,esc4,spot,de,28.682
178,2013-06-27,esc4,spot,de,35.236
179,2013-06-28,esc4,spot,de,36.16
180,2013-06-29,esc4,spot,de,27.383
181,2013-06-30,esc4,spot,de,20.364
182,2013-07-01,esc4,spot,de,32.497
183,2013-07-02,esc4,spot,de,34.458
184,2013-07-03,esc4,spot,de,38.495
185,2013-07-04,esc4,spot,de,40.368
186,2013-07-05,esc4,spot,de,37.395
187,2013-07-06,esc4,spot,de,26.997
188,2013-07-07,esc4,spot,de,20.77
189,2013-07-08,esc4,spot,de,29.037
190,2013-07-09,esc4,spot,de,34.543
191,2013-07-10,esc4,spot,de,35.7
192,2013-07-11,esc4,spot,de,35.267
193,2013-07-12,esc4,spot,de,35.606
194,2013-07-13,esc4,spot,de,29
195,2013-07-14,esc4,spot,de,24.155
196,2013-07-15,esc4,spot,de,32.466
197,2013-07-16,esc4,spot,de,38.999
198,2013-07-17,esc4,spot,de,41.461
199,2013-07-18,esc4,spot,de,45.842
200,2013-07-19,esc4,spot,de,38.912
201,2013-07-20,esc4,spot,de,34.79
202,2013-07-21,esc4,spot,de,26.787
203,2013-07-22,esc4,spot,de,37.334
204,2013-07-23,esc4,spot,de,43.922
205,2013-07-24,esc4,spot,de,47.159
206,2013-07-25,esc4,spot,de,50.326
207,2013-07-26,esc4,spot,de,46.847
208,2013-07-27,esc4,spot,de,41.184
209,2013-07-28,esc4,spot,de,28.583
210,2013-07-29,esc4,spot,de,36.294
211,2013-07-30,esc4,spot,de,40.278
212,2013-07-31,esc4,spot,de,40.264
213,2013-08-01,esc4,spot,de,38.745
214,2013-08-02,esc4,spot,de,28.319
215,2013-08-03,esc4,spot,de,32.118
216,2013-08-04,esc4,spot,de,29.371
217,2013-08-05,esc4,spot,de,39.622
218,2013-08-06,esc4,spot,de,44.778
219,2013-08-07,esc4,spot,de,37.61
220,2013-08-08,esc4,spot,de,39.921
221,2013-08-09,esc4,spot,de,36.61
222,2013-08-10,esc4,spot,de,32.584
223,2013-08-11,esc4,spot,de,25.844
224,2013-08-12,esc4,spot,de,30.214
225,2013-08-13,esc4,spot,de,36.943
226,2013-08-14,esc4,spot,de,36.729
227,2013-08-15,esc4,spot,de,33.211
228,2013-08-16,esc4,spot,de,31.958
229,2013-08-17,esc4,spot,de,34.878
230,2013-08-18,esc4,spot,de,27.195
231,2013-08-19,esc4,spot,de,37.025
232,2013-08-20,esc4,spot,de,51.973
233,2013-08-21,esc4,spot,de,41.921
234,2013-08-22,esc4,spot,de,43.698
235,2013-08-23,esc4,spot,de,44.643
236,2013-08-24,esc4,spot,de,35.877
237,2013-08-25,esc4,spot,de,29.764
238,2013-08-26,esc4,spot,de,61.24
239,2013-08-27,esc4,spot,de,46.623
240,2013-08-28,esc4,spot,de,49.619
241,2013-08-29,esc4,spot,de,51.434
242,2013-08-30,esc4,spot,de,50.409
243,2013-08-31,esc4,spot,de,37.497
244,2013-09-01,esc4,spot,de,27.13
245,2013-09-02,esc4,spot,de,35.224
246,2013-09-03,esc4,spot,de,42.473
247,2013-09-04,esc4,spot,de,51.231
248,2013-09-05,esc4,spot,de,51.567
249,2013-09-06,esc4,spot,de,43.757
250,2013-09-07,esc4,spot,de,36.096
251,2013-09-08,esc4,spot,de,33.724
252,2013-09-09,esc4,spot,de,41.008
253,2013-09-10,esc4,spot,de,48.417
254,2013-09-11,esc4,spot,de,48.603
255,2013-09-12,esc4,spot,de,49.275
256,2013-09-13,esc4,spot,de,47.085
257,2013-09-14,esc4,spot,de,42.107
258,2013-09-15,esc4,spot,de,30.906
259,2013-09-16,esc4,spot,de,37.268
260,2013-09-17,esc4,spot,de,44.196
261,2013-09-18,esc4,spot,de,43.811
262,2013-09-19,esc4,spot,de,45.49
263,2013-09-20,esc4,spot,de,47.772
264,2013-09-21,esc4,spot,de,42.051
265,2013-09-22,esc4,spot,de,30.095
266,2013-09-23,esc4,spot,de,36.713
267,2013-09-24,esc4,spot,de,43.213
268,2013-09-25,esc4,spot,de,51.891
269,2013-09-26,esc4,spot,de,55.031
270,2013-09-27,esc4,spot,de,51.204
271,2013-09-28,esc4,spot,de,42.955
272,2013-09-29,esc4,spot,de,29.64
273,2013-09-30,esc4,spot,de,32.047
274,2013-10-01,esc4,spot,de,42.137
275,2013-10-02,esc4,spot,de,46.429
276,2013-10-03,esc4,spot,de,27.059
277,2013-10-04,esc4,spot,de,40.265
278,2013-10-05,esc4,spot,de,44.287
279,2013-10-06,esc4,spot,de,31.561
280,2013-10-07,esc4,spot,de,42.63
281,2013-10-08,esc4,spot,de,54.164
282,2013-10-09,esc4,spot,de,50.049
