"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","spot","de",28.9548870544691
"2",2013-01-02,"svm_polynomial","spot","de",19.8616691228591
"3",2013-01-03,"svm_polynomial","spot","de",34.4547592151232
"4",2013-01-04,"svm_polynomial","spot","de",36.1359864218736
"5",2013-01-05,"svm_polynomial","spot","de",24.2992828680255
"6",2013-01-06,"svm_polynomial","spot","de",27.7067826384771
"7",2013-01-07,"svm_polynomial","spot","de",38.3387060225153
"8",2013-01-08,"svm_polynomial","spot","de",46.1086520158423
"9",2013-01-09,"svm_polynomial","spot","de",46.7547740135831
"10",2013-01-10,"svm_polynomial","spot","de",49.4921493154351
"11",2013-01-11,"svm_polynomial","spot","de",46.4327863390137
"12",2013-01-12,"svm_polynomial","spot","de",38.0295283459775
"13",2013-01-13,"svm_polynomial","spot","de",38.6288949749996
"14",2013-01-14,"svm_polynomial","spot","de",49.911751914845
"15",2013-01-15,"svm_polynomial","spot","de",51.0589530151813
"16",2013-01-16,"svm_polynomial","spot","de",52.8657643977762
"17",2013-01-17,"svm_polynomial","spot","de",51.4418919950483
"18",2013-01-18,"svm_polynomial","spot","de",51.5061396250378
"19",2013-01-19,"svm_polynomial","spot","de",40.8318287708024
"20",2013-01-20,"svm_polynomial","spot","de",38.503293679848
"21",2013-01-21,"svm_polynomial","spot","de",47.5333867456486
"22",2013-01-22,"svm_polynomial","spot","de",49.2333057277458
"23",2013-01-23,"svm_polynomial","spot","de",52.1278836218419
"24",2013-01-24,"svm_polynomial","spot","de",55.6630118735901
"25",2013-01-25,"svm_polynomial","spot","de",54.3943533637625
"26",2013-01-26,"svm_polynomial","spot","de",41.6732132145028
"27",2013-01-27,"svm_polynomial","spot","de",37.4694808660171
"28",2013-01-28,"svm_polynomial","spot","de",44.9077735936975
"29",2013-01-29,"svm_polynomial","spot","de",47.4019564751175
"30",2013-01-30,"svm_polynomial","spot","de",41.5933662629883
"31",2013-01-31,"svm_polynomial","spot","de",40.4430122041662
"32",2013-02-01,"svm_polynomial","spot","de",35.9821827975379
"33",2013-02-02,"svm_polynomial","spot","de",25.8534188166817
"34",2013-02-03,"svm_polynomial","spot","de",32.7274754900867
"35",2013-02-04,"svm_polynomial","spot","de",43.8773948100894
"36",2013-02-05,"svm_polynomial","spot","de",39.0907495434524
"37",2013-02-06,"svm_polynomial","spot","de",34.1087431278157
"38",2013-02-07,"svm_polynomial","spot","de",39.4532609203312
"39",2013-02-08,"svm_polynomial","spot","de",43.4759701467174
"40",2013-02-09,"svm_polynomial","spot","de",36.1158933624765
"41",2013-02-10,"svm_polynomial","spot","de",35.9095765853583
"42",2013-02-11,"svm_polynomial","spot","de",46.0476246094658
"43",2013-02-12,"svm_polynomial","spot","de",42.5250914491303
"44",2013-02-13,"svm_polynomial","spot","de",47.7025516620377
"45",2013-02-14,"svm_polynomial","spot","de",50.3769030627542
"46",2013-02-15,"svm_polynomial","spot","de",45.9426254846037
"47",2013-02-16,"svm_polynomial","spot","de",39.0289763372111
"48",2013-02-17,"svm_polynomial","spot","de",39.1730996712327
"49",2013-02-18,"svm_polynomial","spot","de",46.6045058091702
"50",2013-02-19,"svm_polynomial","spot","de",50.8018972787635
"51",2013-02-20,"svm_polynomial","spot","de",50.071267629037
"52",2013-02-21,"svm_polynomial","spot","de",46.3225911569981
