"","date","type","market","country","forecast"
"1",2013-01-01,"ar","intraday","fr",23.868101372013
"2",2013-01-02,"ar","intraday","fr",23.5968108060276
"3",2013-01-03,"ar","intraday","fr",33.2590923491205
"4",2013-01-04,"ar","intraday","fr",38.7685977029674
"5",2013-01-05,"ar","intraday","fr",26.740792302121
"6",2013-01-06,"ar","intraday","fr",29.7093266603449
"7",2013-01-07,"ar","intraday","fr",39.3224177294621
"8",2013-01-08,"ar","intraday","fr",43.4385040549211
"9",2013-01-09,"ar","intraday","fr",47.6805921825994
"10",2013-01-10,"ar","intraday","fr",55.5903029391594
"11",2013-01-11,"ar","intraday","fr",51.5246621356807
"12",2013-01-12,"ar","intraday","fr",42.1762263238237
"13",2013-01-13,"ar","intraday","fr",43.3962772077749
"14",2013-01-14,"ar","intraday","fr",54.7963073667149
"15",2013-01-15,"ar","intraday","fr",54.637071988023
"16",2013-01-16,"ar","intraday","fr",59.8505491701073
"17",2013-01-17,"ar","intraday","fr",59.400565108326
"18",2013-01-18,"ar","intraday","fr",64.4639185471223
"19",2013-01-19,"ar","intraday","fr",51.2534293245835
"20",2013-01-20,"ar","intraday","fr",52.2790700378483
"21",2013-01-21,"ar","intraday","fr",65.5245251868853
"22",2013-01-22,"ar","intraday","fr",65.0930456959137
"23",2013-01-23,"ar","intraday","fr",62.9295641986752
"24",2013-01-24,"ar","intraday","fr",62.7508929412995
"25",2013-01-25,"ar","intraday","fr",60.4726323286641
"26",2013-01-26,"ar","intraday","fr",48.1114620134846
"27",2013-01-27,"ar","intraday","fr",50.9702394885803
"28",2013-01-28,"ar","intraday","fr",58.0307886332194
"29",2013-01-29,"ar","intraday","fr",52.9480914462287
"30",2013-01-30,"ar","intraday","fr",49.8923237516342
"31",2013-01-31,"ar","intraday","fr",46.4131355766692
"32",2013-02-01,"ar","intraday","fr",45.2537363395424
"33",2013-02-02,"ar","intraday","fr",34.2198579875224
"34",2013-02-03,"ar","intraday","fr",36.4797358742934
"35",2013-02-04,"ar","intraday","fr",54.0672813671774
"36",2013-02-05,"ar","intraday","fr",47.2164021641657
"37",2013-02-06,"ar","intraday","fr",49.7950280126445
"38",2013-02-07,"ar","intraday","fr",52.016278949199
"39",2013-02-08,"ar","intraday","fr",55.5663637955322
"40",2013-02-09,"ar","intraday","fr",38.3712949267411
"41",2013-02-10,"ar","intraday","fr",49.3710146330854
"42",2013-02-11,"ar","intraday","fr",52.0256871596904
"43",2013-02-12,"ar","intraday","fr",55.8243090812218
"44",2013-02-13,"ar","intraday","fr",57.7403251393958
"45",2013-02-14,"ar","intraday","fr",59.3934616631657
"46",2013-02-15,"ar","intraday","fr",55.5959651041857
"47",2013-02-16,"ar","intraday","fr",45.1923395286582
"48",2013-02-17,"ar","intraday","fr",46.3955394271095
"49",2013-02-18,"ar","intraday","fr",55.2914797821483
"50",2013-02-19,"ar","intraday","fr",57.6504670086849
"51",2013-02-20,"ar","intraday","fr",54.3720448719849
"52",2013-02-21,"ar","intraday","fr",55.2664696054209
"53",2013-02-22,"ar","intraday","fr",55.2162331181623
"54",2013-02-23,"ar","intraday","fr",47.4749246348317
"55",2013-02-24,"ar","intraday","fr",45.007742643976
"56",2013-02-25,"ar","intraday","fr",68.0906399264123
"57",2013-02-26,"ar","intraday","fr",70.272720749847
"58",2013-02-27,"ar","intraday","fr",65.4260759106836
"59",2013-02-28,"ar","intraday","fr",67.1255693494993
"60",2013-03-01,"ar","intraday","fr",66.6535069528152
"61",2013-03-02,"ar","intraday","fr",64.6630035076545
"62",2013-03-03,"ar","intraday","fr",63.2398309069812
"63",2013-03-04,"ar","intraday","fr",67.5062625318444
"64",2013-03-05,"ar","intraday","fr",64.8621876944239
"65",2013-03-06,"ar","intraday","fr",56.6793788061854
"66",2013-03-07,"ar","intraday","fr",55.1814234687556
"67",2013-03-08,"ar","intraday","fr",49.9598667023788
"68",2013-03-09,"ar","intraday","fr",34.81378146362
"69",2013-03-10,"ar","intraday","fr",42.6242784999449
"70",2013-03-11,"ar","intraday","fr",45.0265991893096
"71",2013-03-12,"ar","intraday","fr",53.9208482904717
"72",2013-03-13,"ar","intraday","fr",59.2022441008586
"73",2013-03-14,"ar","intraday","fr",65.1461964898929
"74",2013-03-15,"ar","intraday","fr",61.7233890183065
"75",2013-03-16,"ar","intraday","fr",56.6067944058871
"76",2013-03-17,"ar","intraday","fr",48.3293328587082
"77",2013-03-18,"ar","intraday","fr",58.2167408173674
"78",2013-03-19,"ar","intraday","fr",69.4798806649319
"79",2013-03-20,"ar","intraday","fr",56.7749229241951
"80",2013-03-21,"ar","intraday","fr",65.097176856399
"81",2013-03-22,"ar","intraday","fr",65.9550252510709
