,date,type,market,country,forecast
1,2013-01-01,esc2,intraday,fr,22.023
2,2013-01-02,esc2,intraday,fr,21.295
3,2013-01-03,esc2,intraday,fr,31.195
4,2013-01-04,esc2,intraday,fr,38.132
5,2013-01-05,esc2,intraday,fr,26.766
6,2013-01-06,esc2,intraday,fr,28.45
7,2013-01-07,esc2,intraday,fr,37.944
8,2013-01-08,esc2,intraday,fr,40.817
9,2013-01-09,esc2,intraday,fr,46.444
10,2013-01-10,esc2,intraday,fr,54.829
11,2013-01-11,esc2,intraday,fr,50.99
12,2013-01-12,esc2,intraday,fr,42.797
13,2013-01-13,esc2,intraday,fr,43.328
14,2013-01-14,esc2,intraday,fr,50.632
15,2013-01-15,esc2,intraday,fr,53.233
16,2013-01-16,esc2,intraday,fr,59.75
17,2013-01-17,esc2,intraday,fr,59.543
18,2013-01-18,esc2,intraday,fr,65.074
19,2013-01-19,esc2,intraday,fr,53.045
20,2013-01-20,esc2,intraday,fr,52.531
21,2013-01-21,esc2,intraday,fr,63.753
22,2013-01-22,esc2,intraday,fr,67.071
23,2013-01-23,esc2,intraday,fr,62.375
24,2013-01-24,esc2,intraday,fr,63.755
25,2013-01-25,esc2,intraday,fr,63.928
26,2013-01-26,esc2,intraday,fr,49.53
27,2013-01-27,esc2,intraday,fr,57.227
28,2013-01-28,esc2,intraday,fr,56.993
29,2013-01-29,esc2,intraday,fr,51.945
30,2013-01-30,esc2,intraday,fr,49.25
31,2013-01-31,esc2,intraday,fr,46.304
32,2013-02-01,esc2,intraday,fr,44.475
33,2013-02-02,esc2,intraday,fr,35.546
34,2013-02-03,esc2,intraday,fr,36.488
35,2013-02-04,esc2,intraday,fr,51.896
36,2013-02-05,esc2,intraday,fr,46.355
37,2013-02-06,esc2,intraday,fr,47.816
38,2013-02-07,esc2,intraday,fr,51.073
39,2013-02-08,esc2,intraday,fr,54.766
40,2013-02-09,esc2,intraday,fr,38.803
41,2013-02-10,esc2,intraday,fr,49.137
42,2013-02-11,esc2,intraday,fr,51.319
43,2013-02-12,esc2,intraday,fr,54.275
44,2013-02-13,esc2,intraday,fr,56.959
45,2013-02-14,esc2,intraday,fr,60.693
46,2013-02-15,esc2,intraday,fr,54.459
47,2013-02-16,esc2,intraday,fr,47.93
48,2013-02-17,esc2,intraday,fr,46.588
49,2013-02-18,esc2,intraday,fr,54.01
50,2013-02-19,esc2,intraday,fr,56.526
51,2013-02-20,esc2,intraday,fr,59.937
52,2013-02-21,esc2,intraday,fr,55.177
53,2013-02-22,esc2,intraday,fr,54.515
54,2013-02-23,esc2,intraday,fr,48.994
55,2013-02-24,esc2,intraday,fr,54.227
56,2013-02-25,esc2,intraday,fr,66.859
57,2013-02-26,esc2,intraday,fr,69.565
58,2013-02-27,esc2,intraday,fr,64.415
59,2013-02-28,esc2,intraday,fr,66.28
60,2013-03-01,esc2,intraday,fr,67.117
61,2013-03-02,esc2,intraday,fr,66.438
62,2013-03-03,esc2,intraday,fr,64.959
63,2013-03-04,esc2,intraday,fr,67.006
64,2013-03-05,esc2,intraday,fr,64.133
65,2013-03-06,esc2,intraday,fr,57.839
66,2013-03-07,esc2,intraday,fr,55.344
67,2013-03-08,esc2,intraday,fr,51.858
68,2013-03-09,esc2,intraday,fr,38.334
69,2013-03-10,esc2,intraday,fr,42.995
70,2013-03-11,esc2,intraday,fr,45.928
71,2013-03-12,esc2,intraday,fr,52.327
72,2013-03-13,esc2,intraday,fr,58.631
73,2013-03-14,esc2,intraday,fr,64.087
74,2013-03-15,esc2,intraday,fr,59.642
75,2013-03-16,esc2,intraday,fr,58.695
76,2013-03-17,esc2,intraday,fr,48.062
77,2013-03-18,esc2,intraday,fr,56.549
78,2013-03-19,esc2,intraday,fr,69.986
79,2013-03-20,esc2,intraday,fr,58.892
80,2013-03-21,esc2,intraday,fr,64.136
81,2013-03-22,esc2,intraday,fr,67.121
82,2013-03-23,esc2,intraday,fr,54.06
83,2013-03-24,esc2,intraday,fr,50.322
84,2013-03-25,esc2,intraday,fr,66.68
85,2013-03-26,esc2,intraday,fr,63.105
86,2013-03-27,esc2,intraday,fr,64.583
87,2013-03-28,esc2,intraday,fr,70.112
88,2013-03-29,esc2,intraday,fr,67.011
89,2013-03-30,esc2,intraday,fr,53.833
90,2013-03-31,esc2,intraday,fr,53.592
91,2013-04-01,esc2,intraday,fr,54.35
92,2013-04-02,esc2,intraday,fr,45.588
93,2013-04-03,esc2,intraday,fr,62.844
94,2013-04-04,esc2,intraday,fr,62.09
95,2013-04-05,esc2,intraday,fr,64.444
96,2013-04-06,esc2,intraday,fr,51.633
97,2013-04-07,esc2,intraday,fr,54.083
98,2013-04-08,esc2,intraday,fr,61.139
99,2013-04-09,esc2,intraday,fr,69.473
100,2013-04-10,esc2,intraday,fr,64.345
101,2013-04-11,esc2,intraday,fr,64.33
102,2013-04-12,esc2,intraday,fr,63.544
103,2013-04-13,esc2,intraday,fr,45.016
104,2013-04-14,esc2,intraday,fr,38.71
105,2013-04-15,esc2,intraday,fr,46.683
106,2013-04-16,esc2,intraday,fr,48.137
107,2013-04-17,esc2,intraday,fr,47.296
108,2013-04-18,esc2,intraday,fr,42.235
109,2013-04-19,esc2,intraday,fr,36.824
110,2013-04-20,esc2,intraday,fr,27.146
111,2013-04-21,esc2,intraday,fr,28.356
112,2013-04-22,esc2,intraday,fr,35.918
113,2013-04-23,esc2,intraday,fr,43.742
114,2013-04-24,esc2,intraday,fr,39.973
115,2013-04-25,esc2,intraday,fr,38.861
116,2013-04-26,esc2,intraday,fr,30.822
117,2013-04-27,esc2,intraday,fr,25.855
118,2013-04-28,esc2,intraday,fr,28.052
119,2013-04-29,esc2,intraday,fr,37.411
120,2013-04-30,esc2,intraday,fr,41.346
