"","date","type","market","country","forecast"
"1",2013-01-01,"garch","intraday","fr",24.6731297957305
"2",2013-01-02,"garch","intraday","fr",23.9834496966633
"3",2013-01-03,"garch","intraday","fr",33.0910633100812
"4",2013-01-04,"garch","intraday","fr",38.6198557381276
"5",2013-01-05,"garch","intraday","fr",27.0985068315633
"6",2013-01-06,"garch","intraday","fr",30.4707320327453
"7",2013-01-07,"garch","intraday","fr",39.6591163146543
"8",2013-01-08,"garch","intraday","fr",42.9579365702024
"9",2013-01-09,"garch","intraday","fr",47.69637844602
"10",2013-01-10,"garch","intraday","fr",55.3130222898487
"11",2013-01-11,"garch","intraday","fr",51.7363534761254
"12",2013-01-12,"garch","intraday","fr",42.0796035358875
"13",2013-01-13,"garch","intraday","fr",43.3234003077708
"14",2013-01-14,"garch","intraday","fr",54.625212054816
"15",2013-01-15,"garch","intraday","fr",54.5120222979001
"16",2013-01-16,"garch","intraday","fr",59.7548083103938
"17",2013-01-17,"garch","intraday","fr",59.2581041006145
"18",2013-01-18,"garch","intraday","fr",64.0362411026546
"19",2013-01-19,"garch","intraday","fr",51.3676204693568
"20",2013-01-20,"garch","intraday","fr",52.3659397051607
"21",2013-01-21,"garch","intraday","fr",65.211053971154
"22",2013-01-22,"garch","intraday","fr",65.0707279397486
"23",2013-01-23,"garch","intraday","fr",62.9007666149345
"24",2013-01-24,"garch","intraday","fr",62.8169562943535
"25",2013-01-25,"garch","intraday","fr",60.4110522381901
"26",2013-01-26,"garch","intraday","fr",48.0892917803557
"27",2013-01-27,"garch","intraday","fr",50.9522998503394
"28",2013-01-28,"garch","intraday","fr",58.2685767565583
"29",2013-01-29,"garch","intraday","fr",53.1210537021848
"30",2013-01-30,"garch","intraday","fr",50.0277715688162
"31",2013-01-31,"garch","intraday","fr",46.3830114635619
"32",2013-02-01,"garch","intraday","fr",45.0790366257259
"33",2013-02-02,"garch","intraday","fr",34.2761468705991
"34",2013-02-03,"garch","intraday","fr",36.4745774121222
"35",2013-02-04,"garch","intraday","fr",53.850179838702
"36",2013-02-05,"garch","intraday","fr",47.3911631619552
"37",2013-02-06,"garch","intraday","fr",49.8689893389362
"38",2013-02-07,"garch","intraday","fr",51.7519289803218
"39",2013-02-08,"garch","intraday","fr",55.2919726407106
"40",2013-02-09,"garch","intraday","fr",38.2994040055544
"41",2013-02-10,"garch","intraday","fr",49.4967919489376
"42",2013-02-11,"garch","intraday","fr",51.951924171603
