"","date","type","market","country","forecast"
"1",2013-01-01,"garchx_1","intraday","fr",19.1305465199488
"2",2013-01-02,"garchx_1","intraday","fr",29.798187040525
"3",2013-01-03,"garchx_1","intraday","fr",37.6351015646302
"4",2013-01-04,"garchx_1","intraday","fr",40.1160039653125
"5",2013-01-05,"garchx_1","intraday","fr",23.1322481889639
"6",2013-01-06,"garchx_1","intraday","fr",26.2600293896426
"7",2013-01-07,"garchx_1","intraday","fr",42.556496589809
"8",2013-01-08,"garchx_1","intraday","fr",47.1162649003513
"9",2013-01-09,"garchx_1","intraday","fr",50.3952232859788
"10",2013-01-10,"garchx_1","intraday","fr",52.6594191279411
"11",2013-01-11,"garchx_1","intraday","fr",48.7163374399925
"12",2013-01-12,"garchx_1","intraday","fr",39.6972963857004
"13",2013-01-13,"garchx_1","intraday","fr",41.1990433311216
"14",2013-01-14,"garchx_1","intraday","fr",59.7972538427015
"15",2013-01-15,"garchx_1","intraday","fr",57.3074269183004
"16",2013-01-16,"garchx_1","intraday","fr",68.9740744288586
"17",2013-01-17,"garchx_1","intraday","fr",65.9464983294552
"18",2013-01-18,"garchx_1","intraday","fr",69.7703980418636
"19",2013-01-19,"garchx_1","intraday","fr",50.0398973663961
"20",2013-01-20,"garchx_1","intraday","fr",50.9723197293063
"21",2013-01-21,"garchx_1","intraday","fr",69.3602294399674
"22",2013-01-22,"garchx_1","intraday","fr",69.1162703136792
"23",2013-01-23,"garchx_1","intraday","fr",67.39958594921
"24",2013-01-24,"garchx_1","intraday","fr",64.4846542359086
"25",2013-01-25,"garchx_1","intraday","fr",66.0534192151213
"26",2013-01-26,"garchx_1","intraday","fr",45.3150676892976
"27",2013-01-27,"garchx_1","intraday","fr",48.7237331413109
"28",2013-01-28,"garchx_1","intraday","fr",59.5151364699012
"29",2013-01-29,"garchx_1","intraday","fr",51.0124779423216
"30",2013-01-30,"garchx_1","intraday","fr",47.1256060806694
"31",2013-01-31,"garchx_1","intraday","fr",42.3758032873099
"32",2013-02-01,"garchx_1","intraday","fr",41.7110553602078
"33",2013-02-02,"garchx_1","intraday","fr",30.8560232548545
"34",2013-02-03,"garchx_1","intraday","fr",34.5719974915816
"35",2013-02-04,"garchx_1","intraday","fr",51.0838571592532
"36",2013-02-05,"garchx_1","intraday","fr",44.2601749407332
"37",2013-02-06,"garchx_1","intraday","fr",50.3659831243007
"38",2013-02-07,"garchx_1","intraday","fr",52.4688525449997
"39",2013-02-08,"garchx_1","intraday","fr",59.1199508404675
"40",2013-02-09,"garchx_1","intraday","fr",42.0527272129114
"41",2013-02-10,"garchx_1","intraday","fr",49.7874490685321
"42",2013-02-11,"garchx_1","intraday","fr",56.4403099225125
"43",2013-02-12,"garchx_1","intraday","fr",61.1406867131392
"44",2013-02-13,"garchx_1","intraday","fr",65.7805450966394
"45",2013-02-14,"garchx_1","intraday","fr",59.3884290829923
"46",2013-02-15,"garchx_1","intraday","fr",52.5202173302415
