"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linearx_1","intraday","fr",24.6317409040594
"2",2013-01-02,"svm_linearx_1","intraday","fr",24.7343608801758
"3",2013-01-03,"svm_linearx_1","intraday","fr",35.2295779414041
"4",2013-01-04,"svm_linearx_1","intraday","fr",40.9945585666297
"5",2013-01-05,"svm_linearx_1","intraday","fr",27.7780573195986
"6",2013-01-06,"svm_linearx_1","intraday","fr",31.0802586752891
"7",2013-01-07,"svm_linearx_1","intraday","fr",41.4227553112103
"8",2013-01-08,"svm_linearx_1","intraday","fr",44.7241847589631
"9",2013-01-09,"svm_linearx_1","intraday","fr",49.9050563052698
"10",2013-01-10,"svm_linearx_1","intraday","fr",57.7697242779993
"11",2013-01-11,"svm_linearx_1","intraday","fr",53.6346699344267
"12",2013-01-12,"svm_linearx_1","intraday","fr",43.5257866023682
"13",2013-01-13,"svm_linearx_1","intraday","fr",44.9324641448038
"14",2013-01-14,"svm_linearx_1","intraday","fr",57.1606392494227
"15",2013-01-15,"svm_linearx_1","intraday","fr",56.7176707579708
"16",2013-01-16,"svm_linearx_1","intraday","fr",62.8674783454331
"17",2013-01-17,"svm_linearx_1","intraday","fr",62.5409360049712
"18",2013-01-18,"svm_linearx_1","intraday","fr",66.9546135371478
"19",2013-01-19,"svm_linearx_1","intraday","fr",53.1835652891432
"20",2013-01-20,"svm_linearx_1","intraday","fr",53.7356698676433
"21",2013-01-21,"svm_linearx_1","intraday","fr",67.8996292862217
"22",2013-01-22,"svm_linearx_1","intraday","fr",67.6854654319956
"23",2013-01-23,"svm_linearx_1","intraday","fr",65.4149472030158
"24",2013-01-24,"svm_linearx_1","intraday","fr",65.3883524973
"25",2013-01-25,"svm_linearx_1","intraday","fr",63.0840604069325
"26",2013-01-26,"svm_linearx_1","intraday","fr",49.3137891592408
"27",2013-01-27,"svm_linearx_1","intraday","fr",51.6984347423387
"28",2013-01-28,"svm_linearx_1","intraday","fr",59.6798340428501
