"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","intraday","fr",20.6825881728036
"2",2013-01-02,"svm_polynomial","intraday","fr",19.3392872330825
"3",2013-01-03,"svm_polynomial","intraday","fr",34.8656505074282
"4",2013-01-04,"svm_polynomial","intraday","fr",22.1252756741435
"5",2013-01-05,"svm_polynomial","intraday","fr",25.9854672288913
"6",2013-01-06,"svm_polynomial","intraday","fr",28.0722985007998
"7",2013-01-07,"svm_polynomial","intraday","fr",36.0530003998841
"8",2013-01-08,"svm_polynomial","intraday","fr",38.2371582867632
"9",2013-01-09,"svm_polynomial","intraday","fr",47.2404079082141
"10",2013-01-10,"svm_polynomial","intraday","fr",56.0058560377605
"11",2013-01-11,"svm_polynomial","intraday","fr",52.0334075218046
"12",2013-01-12,"svm_polynomial","intraday","fr",40.7907732790767
"13",2013-01-13,"svm_polynomial","intraday","fr",44.4981337474631
"14",2013-01-14,"svm_polynomial","intraday","fr",53.2122316242576
"15",2013-01-15,"svm_polynomial","intraday","fr",53.7611543192909
"16",2013-01-16,"svm_polynomial","intraday","fr",60.2166736646528
"17",2013-01-17,"svm_polynomial","intraday","fr",60.5909996647083
"18",2013-01-18,"svm_polynomial","intraday","fr",63.8617212628616
"19",2013-01-19,"svm_polynomial","intraday","fr",52.3935480801976
"20",2013-01-20,"svm_polynomial","intraday","fr",52.4957899002078
"21",2013-01-21,"svm_polynomial","intraday","fr",64.7315357979027
"22",2013-01-22,"svm_polynomial","intraday","fr",64.599912968968
"23",2013-01-23,"svm_polynomial","intraday","fr",63.4742421576672
"24",2013-01-24,"svm_polynomial","intraday","fr",64.7074473698347
"25",2013-01-25,"svm_polynomial","intraday","fr",58.5344633303731
"26",2013-01-26,"svm_polynomial","intraday","fr",46.8929794021447
"27",2013-01-27,"svm_polynomial","intraday","fr",51.8070759455169
"28",2013-01-28,"svm_polynomial","intraday","fr",58.2746527656636
"29",2013-01-29,"svm_polynomial","intraday","fr",53.419778665814
"30",2013-01-30,"svm_polynomial","intraday","fr",49.9986635698734
"31",2013-01-31,"svm_polynomial","intraday","fr",45.2774839400189
"32",2013-02-01,"svm_polynomial","intraday","fr",46.3699542970076
