,date,type,market,country,forecast
1,2013-01-01,esc3,spot,fr,22.809
2,2013-01-02,esc3,spot,fr,24.831
3,2013-01-03,esc3,spot,fr,36.841
4,2013-01-04,esc3,spot,fr,41.14
5,2013-01-05,esc3,spot,fr,29.415
6,2013-01-06,esc3,spot,fr,31.737
7,2013-01-07,esc3,spot,fr,40.659
8,2013-01-08,esc3,spot,fr,48.508
9,2013-01-09,esc3,spot,fr,51.786
10,2013-01-10,esc3,spot,fr,53.691
11,2013-01-11,esc3,spot,fr,54.88
12,2013-01-12,esc3,spot,fr,44.3
13,2013-01-13,esc3,spot,fr,45.897
14,2013-01-14,esc3,spot,fr,54.596
15,2013-01-15,esc3,spot,fr,53.671
16,2013-01-16,esc3,spot,fr,57.85
17,2013-01-17,esc3,spot,fr,59.472
18,2013-01-18,esc3,spot,fr,66.851
19,2013-01-19,esc3,spot,fr,49.353
20,2013-01-20,esc3,spot,fr,52.825
21,2013-01-21,esc3,spot,fr,58.116
22,2013-01-22,esc3,spot,fr,62.654
23,2013-01-23,esc3,spot,fr,57.497
24,2013-01-24,esc3,spot,fr,61.675
25,2013-01-25,esc3,spot,fr,60.048
26,2013-01-26,esc3,spot,fr,45.163
27,2013-01-27,esc3,spot,fr,46.185
28,2013-01-28,esc3,spot,fr,52.934
29,2013-01-29,esc3,spot,fr,51.516
30,2013-01-30,esc3,spot,fr,48.279
31,2013-01-31,esc3,spot,fr,44.512
32,2013-02-01,esc3,spot,fr,45.222
33,2013-02-02,esc3,spot,fr,35.418
34,2013-02-03,esc3,spot,fr,36.07
35,2013-02-04,esc3,spot,fr,46.663
36,2013-02-05,esc3,spot,fr,50.73
37,2013-02-06,esc3,spot,fr,48.487
38,2013-02-07,esc3,spot,fr,48.851
39,2013-02-08,esc3,spot,fr,53.694
40,2013-02-09,esc3,spot,fr,43.396
41,2013-02-10,esc3,spot,fr,47.268
42,2013-02-11,esc3,spot,fr,55.941
43,2013-02-12,esc3,spot,fr,53.342
44,2013-02-13,esc3,spot,fr,56.744
45,2013-02-14,esc3,spot,fr,56.275
46,2013-02-15,esc3,spot,fr,52.816
47,2013-02-16,esc3,spot,fr,45.039
48,2013-02-17,esc3,spot,fr,49.273
49,2013-02-18,esc3,spot,fr,56.725
50,2013-02-19,esc3,spot,fr,55.952
51,2013-02-20,esc3,spot,fr,56.792
52,2013-02-21,esc3,spot,fr,55.038
53,2013-02-22,esc3,spot,fr,55.194
54,2013-02-23,esc3,spot,fr,44.108
55,2013-02-24,esc3,spot,fr,54.619
56,2013-02-25,esc3,spot,fr,62.3
57,2013-02-26,esc3,spot,fr,75.882
58,2013-02-27,esc3,spot,fr,61.009
59,2013-02-28,esc3,spot,fr,62.044
60,2013-03-01,esc3,spot,fr,58.543
61,2013-03-02,esc3,spot,fr,49.964
62,2013-03-03,esc3,spot,fr,52.732
63,2013-03-04,esc3,spot,fr,64.083
64,2013-03-05,esc3,spot,fr,55.784
65,2013-03-06,esc3,spot,fr,58.87
66,2013-03-07,esc3,spot,fr,55.419
67,2013-03-08,esc3,spot,fr,50.138
68,2013-03-09,esc3,spot,fr,37.796
69,2013-03-10,esc3,spot,fr,38.245
70,2013-03-11,esc3,spot,fr,43.471
71,2013-03-12,esc3,spot,fr,49.382
72,2013-03-13,esc3,spot,fr,56.664
73,2013-03-14,esc3,spot,fr,66.272
74,2013-03-15,esc3,spot,fr,68.021
75,2013-03-16,esc3,spot,fr,47.736
76,2013-03-17,esc3,spot,fr,50.406
77,2013-03-18,esc3,spot,fr,57.83
78,2013-03-19,esc3,spot,fr,58.504
79,2013-03-20,esc3,spot,fr,60.34
80,2013-03-21,esc3,spot,fr,64.47
81,2013-03-22,esc3,spot,fr,62.324
82,2013-03-23,esc3,spot,fr,51.865
83,2013-03-24,esc3,spot,fr,45.774
84,2013-03-25,esc3,spot,fr,56.627
85,2013-03-26,esc3,spot,fr,64.578
86,2013-03-27,esc3,spot,fr,67.799
87,2013-03-28,esc3,spot,fr,72.185
88,2013-03-29,esc3,spot,fr,69.642
89,2013-03-30,esc3,spot,fr,52.91
90,2013-03-31,esc3,spot,fr,53.109
91,2013-04-01,esc3,spot,fr,50.129
92,2013-04-02,esc3,spot,fr,50.111
93,2013-04-03,esc3,spot,fr,61.768
94,2013-04-04,esc3,spot,fr,66.697
95,2013-04-05,esc3,spot,fr,60.669
96,2013-04-06,esc3,spot,fr,52.75
97,2013-04-07,esc3,spot,fr,59.538
98,2013-04-08,esc3,spot,fr,66.436
99,2013-04-09,esc3,spot,fr,75.055
100,2013-04-10,esc3,spot,fr,66.543
101,2013-04-11,esc3,spot,fr,62.672
102,2013-04-12,esc3,spot,fr,61.22
103,2013-04-13,esc3,spot,fr,44.17
104,2013-04-14,esc3,spot,fr,35.402
105,2013-04-15,esc3,spot,fr,37.463
106,2013-04-16,esc3,spot,fr,47.139
107,2013-04-17,esc3,spot,fr,49.481
108,2013-04-18,esc3,spot,fr,44.419
109,2013-04-19,esc3,spot,fr,38.284
110,2013-04-20,esc3,spot,fr,27.38
111,2013-04-21,esc3,spot,fr,27.871
112,2013-04-22,esc3,spot,fr,32.239
113,2013-04-23,esc3,spot,fr,45.515
114,2013-04-24,esc3,spot,fr,40.666
115,2013-04-25,esc3,spot,fr,39.591
116,2013-04-26,esc3,spot,fr,35.166
117,2013-04-27,esc3,spot,fr,27.672
118,2013-04-28,esc3,spot,fr,25.918
119,2013-04-29,esc3,spot,fr,36.915
120,2013-04-30,esc3,spot,fr,39.688
121,2013-05-01,esc3,spot,fr,38.1
122,2013-05-02,esc3,spot,fr,25.089
123,2013-05-03,esc3,spot,fr,34.298
124,2013-05-04,esc3,spot,fr,26.497
125,2013-05-05,esc3,spot,fr,29.466
126,2013-05-06,esc3,spot,fr,30.889
127,2013-05-07,esc3,spot,fr,38.89
128,2013-05-08,esc3,spot,fr,31.741
129,2013-05-09,esc3,spot,fr,26.038
130,2013-05-10,esc3,spot,fr,25.545
131,2013-05-11,esc3,spot,fr,18.692
132,2013-05-12,esc3,spot,fr,16.485
133,2013-05-13,esc3,spot,fr,25.962
134,2013-05-14,esc3,spot,fr,33.449
135,2013-05-15,esc3,spot,fr,33.865
136,2013-05-16,esc3,spot,fr,33.94
137,2013-05-17,esc3,spot,fr,36.161
138,2013-05-18,esc3,spot,fr,25.96
139,2013-05-19,esc3,spot,fr,19.806
140,2013-05-20,esc3,spot,fr,28.157
141,2013-05-21,esc3,spot,fr,31.188
142,2013-05-22,esc3,spot,fr,39.682
143,2013-05-23,esc3,spot,fr,39.291
144,2013-05-24,esc3,spot,fr,44.528
145,2013-05-25,esc3,spot,fr,33.875
146,2013-05-26,esc3,spot,fr,34.613
147,2013-05-27,esc3,spot,fr,32.966
148,2013-05-28,esc3,spot,fr,43.231
149,2013-05-29,esc3,spot,fr,45.5
150,2013-05-30,esc3,spot,fr,48.164
151,2013-05-31,esc3,spot,fr,43.859
152,2013-06-01,esc3,spot,fr,27.877
153,2013-06-02,esc3,spot,fr,19.962
154,2013-06-03,esc3,spot,fr,26.857
155,2013-06-04,esc3,spot,fr,32.56
156,2013-06-05,esc3,spot,fr,37.103
157,2013-06-06,esc3,spot,fr,36.183
158,2013-06-07,esc3,spot,fr,30.37
159,2013-06-08,esc3,spot,fr,17.889
160,2013-06-09,esc3,spot,fr,15.104
