"","date","type","market","country","forecast"
"1",2013-01-01,"garch","spot","fr",23.8637123818305
"2",2013-01-02,"garch","spot","fr",22.9568687793934
"3",2013-01-03,"garch","spot","fr",33.3863242082576
"4",2013-01-04,"garch","spot","fr",40.7190085677519
"5",2013-01-05,"garch","spot","fr",29.5280410685289
"6",2013-01-06,"garch","spot","fr",32.1393058486344
"7",2013-01-07,"garch","spot","fr",39.3638522470053
"8",2013-01-08,"garch","spot","fr",45.1024384117142
"9",2013-01-09,"garch","spot","fr",51.4265205898243
"10",2013-01-10,"garch","spot","fr",54.333678232689
"11",2013-01-11,"garch","spot","fr",54.90130360216
"12",2013-01-12,"garch","spot","fr",42.1111457932298
"13",2013-01-13,"garch","spot","fr",43.7641512266567
"14",2013-01-14,"garch","spot","fr",55.8478992711982
"15",2013-01-15,"garch","spot","fr",54.1459020975487
"16",2013-01-16,"garch","spot","fr",57.2180274858471
"17",2013-01-17,"garch","spot","fr",58.5239114072846
"18",2013-01-18,"garch","spot","fr",65.844264261087
"19",2013-01-19,"garch","spot","fr",51.0995058033946
"20",2013-01-20,"garch","spot","fr",52.8494821483219
"21",2013-01-21,"garch","spot","fr",59.4491798512745
"22",2013-01-22,"garch","spot","fr",61.2374386512747
"23",2013-01-23,"garch","spot","fr",57.8131069464119
"24",2013-01-24,"garch","spot","fr",62.383966351851
"25",2013-01-25,"garch","spot","fr",59.9423750022083
"26",2013-01-26,"garch","spot","fr",47.1126864177527
"27",2013-01-27,"garch","spot","fr",47.5643244366993
"28",2013-01-28,"garch","spot","fr",55.1653550928614
"29",2013-01-29,"garch","spot","fr",52.3243689814842
"30",2013-01-30,"garch","spot","fr",50.1622800192939
"31",2013-01-31,"garch","spot","fr",45.3909702701038
"32",2013-02-01,"garch","spot","fr",45.3714579297544
"33",2013-02-02,"garch","spot","fr",35.3562686616578
"34",2013-02-03,"garch","spot","fr",35.4215978419683
"35",2013-02-04,"garch","spot","fr",48.9016117138255
"36",2013-02-05,"garch","spot","fr",51.3132631980973
"37",2013-02-06,"garch","spot","fr",48.4874730889324
"38",2013-02-07,"garch","spot","fr",48.6233292119892
"39",2013-02-08,"garch","spot","fr",52.5451026380611
"40",2013-02-09,"garch","spot","fr",41.383756562978
"41",2013-02-10,"garch","spot","fr",47.467724560005
"42",2013-02-11,"garch","spot","fr",58.0291301878118
"43",2013-02-12,"garch","spot","fr",53.5757304798441
"44",2013-02-13,"garch","spot","fr",55.8335466886628
"45",2013-02-14,"garch","spot","fr",56.5469755255099
"46",2013-02-15,"garch","spot","fr",53.8880889332163
"47",2013-02-16,"garch","spot","fr",44.7990403665701
"48",2013-02-17,"garch","spot","fr",49.1918882620342
"49",2013-02-18,"garch","spot","fr",57.774450650752
"50",2013-02-19,"garch","spot","fr",57.1275462406576
"51",2013-02-20,"garch","spot","fr",58.7731560279047
"52",2013-02-21,"garch","spot","fr",54.0724688012864
"53",2013-02-22,"garch","spot","fr",54.5928870347415
"54",2013-02-23,"garch","spot","fr",43.8064642613347
"55",2013-02-24,"garch","spot","fr",53.5967070778394
"56",2013-02-25,"garch","spot","fr",63.601254544678
"57",2013-02-26,"garch","spot","fr",75.4889136471802
"58",2013-02-27,"garch","spot","fr",63.7563915877836
"59",2013-02-28,"garch","spot","fr",61.7048996166264
"60",2013-03-01,"garch","spot","fr",58.191594814383
"61",2013-03-02,"garch","spot","fr",48.0927828420345
"62",2013-03-03,"garch","spot","fr",52.4924174090302
"63",2013-03-04,"garch","spot","fr",67.6417884289918
"64",2013-03-05,"garch","spot","fr",58.1161375412737
"65",2013-03-06,"garch","spot","fr",59.6060916910777
"66",2013-03-07,"garch","spot","fr",55.8336151377558
"67",2013-03-08,"garch","spot","fr",50.6494490525218
"68",2013-03-09,"garch","spot","fr",38.0230486760647
"69",2013-03-10,"garch","spot","fr",38.4544901764146
"70",2013-03-11,"garch","spot","fr",45.4982888231085
"71",2013-03-12,"garch","spot","fr",50.1841058735658
"72",2013-03-13,"garch","spot","fr",56.4034781791689
"73",2013-03-14,"garch","spot","fr",64.8288476397763
"74",2013-03-15,"garch","spot","fr",68.4117231795602
"75",2013-03-16,"garch","spot","fr",49.9409391142544
"76",2013-03-17,"garch","spot","fr",49.8536412548924
"77",2013-03-18,"garch","spot","fr",57.6499169659624
"78",2013-03-19,"garch","spot","fr",57.6316575515291
"79",2013-03-20,"garch","spot","fr",61.7819122522775
"80",2013-03-21,"garch","spot","fr",64.8567397778899
"81",2013-03-22,"garch","spot","fr",63.9333017826094
"82",2013-03-23,"garch","spot","fr",51.6643774842558
"83",2013-03-24,"garch","spot","fr",46.2829630199501
"84",2013-03-25,"garch","spot","fr",57.3707280163696
"85",2013-03-26,"garch","spot","fr",64.1626640278143
"86",2013-03-27,"garch","spot","fr",67.5088283379614
"87",2013-03-28,"garch","spot","fr",72.9930351373815
"88",2013-03-29,"garch","spot","fr",70.8021502710343
"89",2013-03-30,"garch","spot","fr",52.5083360294173
"90",2013-03-31,"garch","spot","fr",51.8906372210979
"91",2013-04-01,"garch","spot","fr",52.767711411419
"92",2013-04-02,"garch","spot","fr",49.7946615911928
"93",2013-04-03,"garch","spot","fr",61.0515421946031
"94",2013-04-04,"garch","spot","fr",64.7020134833984
"95",2013-04-05,"garch","spot","fr",62.57816946334
"96",2013-04-06,"garch","spot","fr",54.00515868471
"97",2013-04-07,"garch","spot","fr",56.4945045095613
"98",2013-04-08,"garch","spot","fr",65.7291444083732
"99",2013-04-09,"garch","spot","fr",75.195092609562
"100",2013-04-10,"garch","spot","fr",68.3786314876712
"101",2013-04-11,"garch","spot","fr",62.5582557725531
"102",2013-04-12,"garch","spot","fr",61.011192859914
"103",2013-04-13,"garch","spot","fr",43.0991132703768
"104",2013-04-14,"garch","spot","fr",37.039164009736
"105",2013-04-15,"garch","spot","fr",41.1348100692294
"106",2013-04-16,"garch","spot","fr",46.0533584200434
"107",2013-04-17,"garch","spot","fr",49.9413772954824
"108",2013-04-18,"garch","spot","fr",46.5821385587287
"109",2013-04-19,"garch","spot","fr",40.0698277051969
"110",2013-04-20,"garch","spot","fr",25.6702976643441
"111",2013-04-21,"garch","spot","fr",24.2849213315407
"112",2013-04-22,"garch","spot","fr",33.8600031664278
"113",2013-04-23,"garch","spot","fr",45.299423073532
"114",2013-04-24,"garch","spot","fr",41.3866829314603
"115",2013-04-25,"garch","spot","fr",38.9044583838322
"116",2013-04-26,"garch","spot","fr",35.6824109779192
"117",2013-04-27,"garch","spot","fr",24.4585607583928
"118",2013-04-28,"garch","spot","fr",23.3984284170213
"119",2013-04-29,"garch","spot","fr",38.1200303707121
"120",2013-04-30,"garch","spot","fr",39.4648376572222
"121",2013-05-01,"garch","spot","fr",40.4273133043141
"122",2013-05-02,"garch","spot","fr",25.4399260397077
"123",2013-05-03,"garch","spot","fr",32.4509797023715
"124",2013-05-04,"garch","spot","fr",23.9927590474774
"125",2013-05-05,"garch","spot","fr",27.6718396724841
"126",2013-05-06,"garch","spot","fr",34.109609327189
"127",2013-05-07,"garch","spot","fr",38.4976664117278
"128",2013-05-08,"garch","spot","fr",32.0125518962447
"129",2013-05-09,"garch","spot","fr",26.1395747758825
"130",2013-05-10,"garch","spot","fr",25.0106395687006
"131",2013-05-11,"garch","spot","fr",15.9760014663389
"132",2013-05-12,"garch","spot","fr",13.9119864711963
"133",2013-05-13,"garch","spot","fr",27.4491159080854
"134",2013-05-14,"garch","spot","fr",33.0455926831535
"135",2013-05-15,"garch","spot","fr",31.9351976342692
"136",2013-05-16,"garch","spot","fr",31.7809433394881
"137",2013-05-17,"garch","spot","fr",35.1369014423682
"138",2013-05-18,"garch","spot","fr",24.0532993702943
"139",2013-05-19,"garch","spot","fr",18.7266586952612
"140",2013-05-20,"garch","spot","fr",29.2230858534433
"141",2013-05-21,"garch","spot","fr",29.6790871471963
"142",2013-05-22,"garch","spot","fr",37.9092258517667
"143",2013-05-23,"garch","spot","fr",38.719468679537
"144",2013-05-24,"garch","spot","fr",43.578005959517
"145",2013-05-25,"garch","spot","fr",31.890487009483
"146",2013-05-26,"garch","spot","fr",31.7905683337148
"147",2013-05-27,"garch","spot","fr",33.3998301123562
"148",2013-05-28,"garch","spot","fr",41.7953839452436
"149",2013-05-29,"garch","spot","fr",43.3498547264354
"150",2013-05-30,"garch","spot","fr",46.5580602661077
"151",2013-05-31,"garch","spot","fr",45.0633582339855
"152",2013-06-01,"garch","spot","fr",28.0829932572588
"153",2013-06-02,"garch","spot","fr",18.0041164422841
"154",2013-06-03,"garch","spot","fr",27.3198683272057
"155",2013-06-04,"garch","spot","fr",31.6264277041021
"156",2013-06-05,"garch","spot","fr",37.2228545015602
"157",2013-06-06,"garch","spot","fr",36.9426336251117
"158",2013-06-07,"garch","spot","fr",31.3719412894157
"159",2013-06-08,"garch","spot","fr",16.5403781760839
"160",2013-06-09,"garch","spot","fr",12.9318459156139
"161",2013-06-10,"garch","spot","fr",25.2961868774142
"162",2013-06-11,"garch","spot","fr",30.3361160368902
"163",2013-06-12,"garch","spot","fr",31.7563308804383
"164",2013-06-13,"garch","spot","fr",30.5118938236919
"165",2013-06-14,"garch","spot","fr",30.0534397377478
"166",2013-06-15,"garch","spot","fr",17.2865143332544
"167",2013-06-16,"garch","spot","fr",12.085746203876
"168",2013-06-17,"garch","spot","fr",26.7016731493582
"169",2013-06-18,"garch","spot","fr",30.3887701469747
"170",2013-06-19,"garch","spot","fr",32.6389732867787
"171",2013-06-20,"garch","spot","fr",34.149943611691
"172",2013-06-21,"garch","spot","fr",36.8296489295888
"173",2013-06-22,"garch","spot","fr",18.8010895791824
"174",2013-06-23,"garch","spot","fr",15.0738935916544
"175",2013-06-24,"garch","spot","fr",25.0146020382806
"176",2013-06-25,"garch","spot","fr",30.0501339979991
"177",2013-06-26,"garch","spot","fr",32.4107426614618
"178",2013-06-27,"garch","spot","fr",34.8433781180481
