"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linearx_1","spot","fr",25.086414745495
"2",2013-01-02,"svm_linearx_1","spot","fr",26.2459281626859
"3",2013-01-03,"svm_linearx_1","spot","fr",36.3480907800884
"4",2013-01-04,"svm_linearx_1","spot","fr",43.1641405376507
"5",2013-01-05,"svm_linearx_1","spot","fr",31.2587285497081
"6",2013-01-06,"svm_linearx_1","spot","fr",34.0880158424152
"7",2013-01-07,"svm_linearx_1","spot","fr",43.6684932550352
"8",2013-01-08,"svm_linearx_1","spot","fr",49.3750089821784
"9",2013-01-09,"svm_linearx_1","spot","fr",53.6333194564949
"10",2013-01-10,"svm_linearx_1","spot","fr",56.6227259728957
"11",2013-01-11,"svm_linearx_1","spot","fr",56.77525758936
"12",2013-01-12,"svm_linearx_1","spot","fr",44.2688896381187
"13",2013-01-13,"svm_linearx_1","spot","fr",45.8805005009818
"14",2013-01-14,"svm_linearx_1","spot","fr",57.7273091682806
"15",2013-01-15,"svm_linearx_1","spot","fr",56.2740675753407
"16",2013-01-16,"svm_linearx_1","spot","fr",59.6820439773765
"17",2013-01-17,"svm_linearx_1","spot","fr",61.4138669242017
"18",2013-01-18,"svm_linearx_1","spot","fr",68.621582952358
"19",2013-01-19,"svm_linearx_1","spot","fr",51.9428395150553
"20",2013-01-20,"svm_linearx_1","spot","fr",54.9613662447478
"21",2013-01-21,"svm_linearx_1","spot","fr",61.604185446553
"22",2013-01-22,"svm_linearx_1","spot","fr",64.5334225742311
"23",2013-01-23,"svm_linearx_1","spot","fr",59.5653387709472
"24",2013-01-24,"svm_linearx_1","spot","fr",64.3930562007514
"25",2013-01-25,"svm_linearx_1","spot","fr",61.8200256770275
"26",2013-01-26,"svm_linearx_1","spot","fr",48.3323304258415
"27",2013-01-27,"svm_linearx_1","spot","fr",48.3789174314772
"28",2013-01-28,"svm_linearx_1","spot","fr",56.4321729849114
"29",2013-01-29,"svm_linearx_1","spot","fr",53.7894789476383
"30",2013-01-30,"svm_linearx_1","spot","fr",50.8843300440355
"31",2013-01-31,"svm_linearx_1","spot","fr",46.5566126924774
"32",2013-02-01,"svm_linearx_1","spot","fr",46.2106234945075
"33",2013-02-02,"svm_linearx_1","spot","fr",35.7013050022178
"34",2013-02-03,"svm_linearx_1","spot","fr",36.2002888489699
"35",2013-02-04,"svm_linearx_1","spot","fr",49.7306551283538
"36",2013-02-05,"svm_linearx_1","spot","fr",52.861924513668
"37",2013-02-06,"svm_linearx_1","spot","fr",50.0977731069577
"38",2013-02-07,"svm_linearx_1","spot","fr",50.6648853665143
