"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomialx_1","spot","fr",23.0123936650529
"2",2013-01-02,"svm_polynomialx_1","spot","fr",16.8394769435407
"3",2013-01-03,"svm_polynomialx_1","spot","fr",49.9058690574085
"4",2013-01-04,"svm_polynomialx_1","spot","fr",43.1008352847996
"5",2013-01-05,"svm_polynomialx_1","spot","fr",24.8488093720155
"6",2013-01-06,"svm_polynomialx_1","spot","fr",33.0324203433781
"7",2013-01-07,"svm_polynomialx_1","spot","fr",41.5338941011013
"8",2013-01-08,"svm_polynomialx_1","spot","fr",59.5372802835826
"9",2013-01-09,"svm_polynomialx_1","spot","fr",53.9223156419232
"10",2013-01-10,"svm_polynomialx_1","spot","fr",54.5098821111834
"11",2013-01-11,"svm_polynomialx_1","spot","fr",57.6202948313176
"12",2013-01-12,"svm_polynomialx_1","spot","fr",44.0426434698848
"13",2013-01-13,"svm_polynomialx_1","spot","fr",46.8604580202546
"14",2013-01-14,"svm_polynomialx_1","spot","fr",56.5529931592205
"15",2013-01-15,"svm_polynomialx_1","spot","fr",54.611642954155
"16",2013-01-16,"svm_polynomialx_1","spot","fr",59.2900483586678
"17",2013-01-17,"svm_polynomialx_1","spot","fr",59.7911448865359
"18",2013-01-18,"svm_polynomialx_1","spot","fr",70.6124399287388
"19",2013-01-19,"svm_polynomialx_1","spot","fr",51.7359021390349
"20",2013-01-20,"svm_polynomialx_1","spot","fr",53.8547052837351
"21",2013-01-21,"svm_polynomialx_1","spot","fr",59.4443038216408
"22",2013-01-22,"svm_polynomialx_1","spot","fr",61.4625379482325
"23",2013-01-23,"svm_polynomialx_1","spot","fr",54.5414690560737
"24",2013-01-24,"svm_polynomialx_1","spot","fr",59.6790306669069
"25",2013-01-25,"svm_polynomialx_1","spot","fr",58.5839655577822
"26",2013-01-26,"svm_polynomialx_1","spot","fr",46.8867855169233
"27",2013-01-27,"svm_polynomialx_1","spot","fr",48.4643948364138
"28",2013-01-28,"svm_polynomialx_1","spot","fr",53.5317556356387
"29",2013-01-29,"svm_polynomialx_1","spot","fr",53.6368834742769
"30",2013-01-30,"svm_polynomialx_1","spot","fr",47.1284161644559
