"","date","type","market","country","forecast"
"1",2013-01-01,"garchx_2","intraday","de",21.8115412492229
"2",2013-01-02,"garchx_2","intraday","de",25.3011054841471
"3",2013-01-03,"garchx_2","intraday","de",30.9459201328876
"4",2013-01-04,"garchx_2","intraday","de",26.7086741464151
"5",2013-01-05,"garchx_2","intraday","de",22.0749527959261
"6",2013-01-06,"garchx_2","intraday","de",24.4471600562159
"7",2013-01-07,"garchx_2","intraday","de",35.8143162865781
"8",2013-01-08,"garchx_2","intraday","de",36.5079076177296
"9",2013-01-09,"garchx_2","intraday","de",42.1556534307313
"10",2013-01-10,"garchx_2","intraday","de",42.7285073461588
"11",2013-01-11,"garchx_2","intraday","de",39.2539285070695
"12",2013-01-12,"garchx_2","intraday","de",34.7281721518983
"13",2013-01-13,"garchx_2","intraday","de",36.175431827111
"14",2013-01-14,"garchx_2","intraday","de",46.5222152026683
"15",2013-01-15,"garchx_2","intraday","de",48.243712676813
"16",2013-01-16,"garchx_2","intraday","de",52.3491914353495
"17",2013-01-17,"garchx_2","intraday","de",48.7793058520229
"18",2013-01-18,"garchx_2","intraday","de",51.7409120532606
"19",2013-01-19,"garchx_2","intraday","de",37.8839203655975
"20",2013-01-20,"garchx_2","intraday","de",37.9057048223011
"21",2013-01-21,"garchx_2","intraday","de",47.4045747461238
"22",2013-01-22,"garchx_2","intraday","de",43.2924793377428
"23",2013-01-23,"garchx_2","intraday","de",50.0372018551141
"24",2013-01-24,"garchx_2","intraday","de",50.8149544891792
"25",2013-01-25,"garchx_2","intraday","de",51.8803241699314
"26",2013-01-26,"garchx_2","intraday","de",40.2919328607405
"27",2013-01-27,"garchx_2","intraday","de",35.8532536196245
"28",2013-01-28,"garchx_2","intraday","de",45.5645584353767
"29",2013-01-29,"garchx_2","intraday","de",43.3893485666703
"30",2013-01-30,"garchx_2","intraday","de",42.3074585351009
"31",2013-01-31,"garchx_2","intraday","de",40.6509190720784
"32",2013-02-01,"garchx_2","intraday","de",35.4213091107275
"33",2013-02-02,"garchx_2","intraday","de",28.9527519951471
"34",2013-02-03,"garchx_2","intraday","de",31.9895216695979
"35",2013-02-04,"garchx_2","intraday","de",41.3075501368934
"36",2013-02-05,"garchx_2","intraday","de",39.1010623304374
"37",2013-02-06,"garchx_2","intraday","de",36.4340854579053
"38",2013-02-07,"garchx_2","intraday","de",41.2683595600104
"39",2013-02-08,"garchx_2","intraday","de",43.8674302085539
"40",2013-02-09,"garchx_2","intraday","de",32.7483981955212
"41",2013-02-10,"garchx_2","intraday","de",34.7932007336391
"42",2013-02-11,"garchx_2","intraday","de",42.5919200039048
"43",2013-02-12,"garchx_2","intraday","de",36.0651489545944
"44",2013-02-13,"garchx_2","intraday","de",45.3150013877327
"45",2013-02-14,"garchx_2","intraday","de",48.284991734327
"46",2013-02-15,"garchx_2","intraday","de",42.3362162770852
"47",2013-02-16,"garchx_2","intraday","de",38.2498735611837
"48",2013-02-17,"garchx_2","intraday","de",35.3533679441753
"49",2013-02-18,"garchx_2","intraday","de",44.8322153330962
"50",2013-02-19,"garchx_2","intraday","de",48.1921429423709
"51",2013-02-20,"garchx_2","intraday","de",45.0314754886394
"52",2013-02-21,"garchx_2","intraday","de",46.822760109054
"53",2013-02-22,"garchx_2","intraday","de",50.8435714776703
"54",2013-02-23,"garchx_2","intraday","de",35.1672570793929
"55",2013-02-24,"garchx_2","intraday","de",36.1426910198489
"56",2013-02-25,"garchx_2","intraday","de",49.4445756903996
"57",2013-02-26,"garchx_2","intraday","de",48.5569590479811
"58",2013-02-27,"garchx_2","intraday","de",54.6341808315028
"59",2013-02-28,"garchx_2","intraday","de",59.887430079016
"60",2013-03-01,"garchx_2","intraday","de",57.2781066433263
"61",2013-03-02,"garchx_2","intraday","de",44.894930195731
"62",2013-03-03,"garchx_2","intraday","de",37.6655345258741
"63",2013-03-04,"garchx_2","intraday","de",48.2198687043625
"64",2013-03-05,"garchx_2","intraday","de",44.4974417497438
"65",2013-03-06,"garchx_2","intraday","de",46.3874648070393
"66",2013-03-07,"garchx_2","intraday","de",45.4706562866456
"67",2013-03-08,"garchx_2","intraday","de",39.3208080565209
"68",2013-03-09,"garchx_2","intraday","de",24.4047895436713
"69",2013-03-10,"garchx_2","intraday","de",32.1482116361567
"70",2013-03-11,"garchx_2","intraday","de",37.8715467780326
"71",2013-03-12,"garchx_2","intraday","de",45.6110873193949
"72",2013-03-13,"garchx_2","intraday","de",49.0372870013265
"73",2013-03-14,"garchx_2","intraday","de",50.5215222468376
"74",2013-03-15,"garchx_2","intraday","de",47.9769558629929
"75",2013-03-16,"garchx_2","intraday","de",34.5404895125182
"76",2013-03-17,"garchx_2","intraday","de",33.272326720789
"77",2013-03-18,"garchx_2","intraday","de",32.7916032908928
"78",2013-03-19,"garchx_2","intraday","de",40.6703223053439
"79",2013-03-20,"garchx_2","intraday","de",46.9169221258514
"80",2013-03-21,"garchx_2","intraday","de",46.7934475981178
"81",2013-03-22,"garchx_2","intraday","de",55.3426304999871
"82",2013-03-23,"garchx_2","intraday","de",31.0873783146931
"83",2013-03-24,"garchx_2","intraday","de",21.6185278798053
"84",2013-03-25,"garchx_2","intraday","de",NA
"85",2013-03-26,"garchx_2","intraday","de",37.7021686182393
"86",2013-03-27,"garchx_2","intraday","de",42.2209088942114
"87",2013-03-28,"garchx_2","intraday","de",46.9152305850625
"88",2013-03-29,"garchx_2","intraday","de",47.1490075917479
"89",2013-03-30,"garchx_2","intraday","de",29.4022415779468
"90",2013-03-31,"garchx_2","intraday","de",30.6505648604639
"91",2013-04-01,"garchx_2","intraday","de",43.0798600563052
"92",2013-04-02,"garchx_2","intraday","de",35.5397634665371
"93",2013-04-03,"garchx_2","intraday","de",44.7253228800358
"94",2013-04-04,"garchx_2","intraday","de",47.6880681237932
"95",2013-04-05,"garchx_2","intraday","de",50.9800343799744
"96",2013-04-06,"garchx_2","intraday","de",39.0189853861131
"97",2013-04-07,"garchx_2","intraday","de",44.4596620282812
"98",2013-04-08,"garchx_2","intraday","de",43.7194816578082
"99",2013-04-09,"garchx_2","intraday","de",46.2207754665876
"100",2013-04-10,"garchx_2","intraday","de",47.9995099812449
"101",2013-04-11,"garchx_2","intraday","de",51.8884565189967
"102",2013-04-12,"garchx_2","intraday","de",50.7508721911528
"103",2013-04-13,"garchx_2","intraday","de",35.7989813215577
"104",2013-04-14,"garchx_2","intraday","de",33.6766581214733
"105",2013-04-15,"garchx_2","intraday","de",39.7472202116947
"106",2013-04-16,"garchx_2","intraday","de",40.1194539398996
"107",2013-04-17,"garchx_2","intraday","de",42.0110916557644
"108",2013-04-18,"garchx_2","intraday","de",39.0157310839251
"109",2013-04-19,"garchx_2","intraday","de",34.0463675809649
"110",2013-04-20,"garchx_2","intraday","de",26.2826841519805
"111",2013-04-21,"garchx_2","intraday","de",26.2576069464728
"112",2013-04-22,"garchx_2","intraday","de",35.6572488208328
"113",2013-04-23,"garchx_2","intraday","de",39.9793036201001
"114",2013-04-24,"garchx_2","intraday","de",34.7610090744948
"115",2013-04-25,"garchx_2","intraday","de",35.0086465354443
"116",2013-04-26,"garchx_2","intraday","de",34.7647335883715
"117",2013-04-27,"garchx_2","intraday","de",25.715690820177
"118",2013-04-28,"garchx_2","intraday","de",30.1851026152355
"119",2013-04-29,"garchx_2","intraday","de",39.1502055951501
"120",2013-04-30,"garchx_2","intraday","de",39.6022324839446
"121",2013-05-01,"garchx_2","intraday","de",37.3091157540535
"122",2013-05-02,"garchx_2","intraday","de",28.718842980435
"123",2013-05-03,"garchx_2","intraday","de",38.1081008457503
"124",2013-05-04,"garchx_2","intraday","de",NA
"125",2013-05-05,"garchx_2","intraday","de",NA
"126",2013-05-06,"garchx_2","intraday","de",NA
"127",2013-05-07,"garchx_2","intraday","de",NA
"128",2013-05-08,"garchx_2","intraday","de",NA
"129",2013-05-09,"garchx_2","intraday","de",NA
"130",2013-05-10,"garchx_2","intraday","de",NA
"131",2013-05-11,"garchx_2","intraday","de",NA
"132",2013-05-12,"garchx_2","intraday","de",NA
"133",2013-05-13,"garchx_2","intraday","de",NA
"134",2013-05-14,"garchx_2","intraday","de",NA
"135",2013-05-15,"garchx_2","intraday","de",NA
"136",2013-05-16,"garchx_2","intraday","de",NA
"137",2013-05-17,"garchx_2","intraday","de",NA
"138",2013-05-18,"garchx_2","intraday","de",NA
"139",2013-05-19,"garchx_2","intraday","de",31.114590359051
"140",2013-05-20,"garchx_2","intraday","de",NA
"141",2013-05-21,"garchx_2","intraday","de",NA
"142",2013-05-22,"garchx_2","intraday","de",43.9771559196744
"143",2013-05-23,"garchx_2","intraday","de",37.2767569980104
"144",2013-05-24,"garchx_2","intraday","de",42.7227422121512
"145",2013-05-25,"garchx_2","intraday","de",36.5276977480272
"146",2013-05-26,"garchx_2","intraday","de",27.7961754296193
"147",2013-05-27,"garchx_2","intraday","de",37.5903821178946
"148",2013-05-28,"garchx_2","intraday","de",41.939757987994
"149",2013-05-29,"garchx_2","intraday","de",42.4554258361717
"150",2013-05-30,"garchx_2","intraday","de",45.7852453954369
"151",2013-05-31,"garchx_2","intraday","de",42.6839163824382
"152",2013-06-01,"garchx_2","intraday","de",29.8821152304505
"153",2013-06-02,"garchx_2","intraday","de",29.6665324153547
"154",2013-06-03,"garchx_2","intraday","de",32.509628128041
"155",2013-06-04,"garchx_2","intraday","de",37.7889890548112
"156",2013-06-05,"garchx_2","intraday","de",39.808861278923
"157",2013-06-06,"garchx_2","intraday","de",NA
"158",2013-06-07,"garchx_2","intraday","de",NA
"159",2013-06-08,"garchx_2","intraday","de",NA
"160",2013-06-09,"garchx_2","intraday","de",NA
"161",2013-06-10,"garchx_2","intraday","de",NA
"162",2013-06-11,"garchx_2","intraday","de",37.4749181504813
"163",2013-06-12,"garchx_2","intraday","de",NA
"164",2013-06-13,"garchx_2","intraday","de",NA
"165",2013-06-14,"garchx_2","intraday","de",NA
"166",2013-06-15,"garchx_2","intraday","de",NA
"167",2013-06-16,"garchx_2","intraday","de",NA
"168",2013-06-17,"garchx_2","intraday","de",NA
"169",2013-06-18,"garchx_2","intraday","de",36.114945510427
"170",2013-06-19,"garchx_2","intraday","de",42.2326593381943
"171",2013-06-20,"garchx_2","intraday","de",40.4952654989494
"172",2013-06-21,"garchx_2","intraday","de",47.1030608230215
"173",2013-06-22,"garchx_2","intraday","de",17.1663722746352
"174",2013-06-23,"garchx_2","intraday","de",20.6068140542486
"175",2013-06-24,"garchx_2","intraday","de",30.1439604679455
"176",2013-06-25,"garchx_2","intraday","de",38.954673474991
"177",2013-06-26,"garchx_2","intraday","de",38.0479311323671
"178",2013-06-27,"garchx_2","intraday","de",39.2656219749919
"179",2013-06-28,"garchx_2","intraday","de",36.5863445676581
"180",2013-06-29,"garchx_2","intraday","de",19.7153814779873
"181",2013-06-30,"garchx_2","intraday","de",18.8918750814457
"182",2013-07-01,"garchx_2","intraday","de",31.6400652777946
"183",2013-07-02,"garchx_2","intraday","de",34.2506058996648
"184",2013-07-03,"garchx_2","intraday","de",35.4607713756745
"185",2013-07-04,"garchx_2","intraday","de",42.3357342159481
"186",2013-07-05,"garchx_2","intraday","de",37.8344425523073
"187",2013-07-06,"garchx_2","intraday","de",20.9310371295963
"188",2013-07-07,"garchx_2","intraday","de",26.8456895587609
"189",2013-07-08,"garchx_2","intraday","de",30.949885323581
"190",2013-07-09,"garchx_2","intraday","de",34.1332550253254
"191",2013-07-10,"garchx_2","intraday","de",44.5397708759873
"192",2013-07-11,"garchx_2","intraday","de",34.7171761562539
"193",2013-07-12,"garchx_2","intraday","de",39.1811694922717
"194",2013-07-13,"garchx_2","intraday","de",23.9080771413538
"195",2013-07-14,"garchx_2","intraday","de",25.5133162409993
"196",2013-07-15,"garchx_2","intraday","de",38.1097093310167
"197",2013-07-16,"garchx_2","intraday","de",40.9745008804442
"198",2013-07-17,"garchx_2","intraday","de",44.3843059921427
"199",2013-07-18,"garchx_2","intraday","de",40.6148787710008
"200",2013-07-19,"garchx_2","intraday","de",41.5586950062617
"201",2013-07-20,"garchx_2","intraday","de",25.6560578721999
"202",2013-07-21,"garchx_2","intraday","de",30.4971084463748
"203",2013-07-22,"garchx_2","intraday","de",38.3583689411758
"204",2013-07-23,"garchx_2","intraday","de",46.6678147854923
"205",2013-07-24,"garchx_2","intraday","de",47.0525291654271
"206",2013-07-25,"garchx_2","intraday","de",45.8612226472444
"207",2013-07-26,"garchx_2","intraday","de",45.0235974613874
"208",2013-07-27,"garchx_2","intraday","de",32.1146768756406
"209",2013-07-28,"garchx_2","intraday","de",33.7473779867302
"210",2013-07-29,"garchx_2","intraday","de",42.082927123961
"211",2013-07-30,"garchx_2","intraday","de",46.5820106401654
"212",2013-07-31,"garchx_2","intraday","de",37.074278759224
"213",2013-08-01,"garchx_2","intraday","de",40.5898748748299
"214",2013-08-02,"garchx_2","intraday","de",38.7248562467131
"215",2013-08-03,"garchx_2","intraday","de",28.9352581513708
"216",2013-08-04,"garchx_2","intraday","de",32.2300287853548
"217",2013-08-05,"garchx_2","intraday","de",40.7687730680548
"218",2013-08-06,"garchx_2","intraday","de",36.9872470615646
"219",2013-08-07,"garchx_2","intraday","de",35.9665630996842
"220",2013-08-08,"garchx_2","intraday","de",41.9394606334892
"221",2013-08-09,"garchx_2","intraday","de",40.1216855664628
"222",2013-08-10,"garchx_2","intraday","de",31.1668823099244
"223",2013-08-11,"garchx_2","intraday","de",24.3552650157886
"224",2013-08-12,"garchx_2","intraday","de",32.4786378015818
"225",2013-08-13,"garchx_2","intraday","de",35.0778859531733
"226",2013-08-14,"garchx_2","intraday","de",35.2317468494602
"227",2013-08-15,"garchx_2","intraday","de",35.6926072356135
"228",2013-08-16,"garchx_2","intraday","de",37.7160490302798
"229",2013-08-17,"garchx_2","intraday","de",22.7516170392498
"230",2013-08-18,"garchx_2","intraday","de",27.647188821329
"231",2013-08-19,"garchx_2","intraday","de",34.6541732177479
"232",2013-08-20,"garchx_2","intraday","de",43.176028335603
"233",2013-08-21,"garchx_2","intraday","de",36.4055073699843
"234",2013-08-22,"garchx_2","intraday","de",42.5498453558488
"235",2013-08-23,"garchx_2","intraday","de",41.7565951125539
"236",2013-08-24,"garchx_2","intraday","de",31.2787876858083
"237",2013-08-25,"garchx_2","intraday","de",28.9289272410291
"238",2013-08-26,"garchx_2","intraday","de",41.4668013479821
"239",2013-08-27,"garchx_2","intraday","de",38.8563743304321
"240",2013-08-28,"garchx_2","intraday","de",49.5826551280057
"241",2013-08-29,"garchx_2","intraday","de",47.1560447091233
"242",2013-08-30,"garchx_2","intraday","de",48.7521341366864
"243",2013-08-31,"garchx_2","intraday","de",31.2163175763391
"244",2013-09-01,"garchx_2","intraday","de",31.5221815552494
"245",2013-09-02,"garchx_2","intraday","de",40.3623849945831
"246",2013-09-03,"garchx_2","intraday","de",38.98111101584
"247",2013-09-04,"garchx_2","intraday","de",50.096828538628
