"","date","type","market","country","forecast"
"1",2013-01-01,"arima","spot","de",29.6445006286665
"2",2013-01-02,"arima","spot","de",26.5051307472658
"3",2013-01-03,"arima","spot","de",36.1192030852343
"4",2013-01-04,"arima","spot","de",34.6090685974109
"5",2013-01-05,"arima","spot","de",26.5861842582964
"6",2013-01-06,"arima","spot","de",25.1254030359579
"7",2013-01-07,"arima","spot","de",41.0289270003212
"8",2013-01-08,"arima","spot","de",47.7081568970664
"9",2013-01-09,"arima","spot","de",47.5559177751344
"10",2013-01-10,"arima","spot","de",47.5286100138712
"11",2013-01-11,"arima","spot","de",47.0688136244394
"12",2013-01-12,"arima","spot","de",42.7533442525348
"13",2013-01-13,"arima","spot","de",36.083895510517
"14",2013-01-14,"arima","spot","de",50.3481030754925
"15",2013-01-15,"arima","spot","de",50.854944447396
"16",2013-01-16,"arima","spot","de",51.7595024429943
"17",2013-01-17,"arima","spot","de",51.2466774171937
"18",2013-01-18,"arima","spot","de",50.9569613083421
"19",2013-01-19,"arima","spot","de",43.3161953994036
"20",2013-01-20,"arima","spot","de",34.2123096881996
"21",2013-01-21,"arima","spot","de",48.2534783885544
"22",2013-01-22,"arima","spot","de",48.6382156717251
"23",2013-01-23,"arima","spot","de",50.3807984142351
"24",2013-01-24,"arima","spot","de",54.0365531789586
"25",2013-01-25,"arima","spot","de",54.9935220963696
"26",2013-01-26,"arima","spot","de",44.3405913282554
"27",2013-01-27,"arima","spot","de",33.4043701435287
"28",2013-01-28,"arima","spot","de",46.474227699744
"29",2013-01-29,"arima","spot","de",47.1479719191811
"30",2013-01-30,"arima","spot","de",37.9600679708968
"31",2013-01-31,"arima","spot","de",34.9598989434775
"32",2013-02-01,"arima","spot","de",32.0796910884997
"33",2013-02-02,"arima","spot","de",29.9393412224953
"34",2013-02-03,"arima","spot","de",28.4720562328777
"35",2013-02-04,"arima","spot","de",41.9672061499727
"36",2013-02-05,"arima","spot","de",37.1825554973365
"37",2013-02-06,"arima","spot","de",35.3314270747183
"38",2013-02-07,"arima","spot","de",42.9699272848947
"39",2013-02-08,"arima","spot","de",46.3584808991437
"40",2013-02-09,"arima","spot","de",40.1273032343615
"41",2013-02-10,"arima","spot","de",33.2389941196899
"42",2013-02-11,"arima","spot","de",47.2606699250392
"43",2013-02-12,"arima","spot","de",43.6747774615263
"44",2013-02-13,"arima","spot","de",47.2764184373142
"45",2013-02-14,"arima","spot","de",50.4029881198218
"46",2013-02-15,"arima","spot","de",45.9194420928551
"47",2013-02-16,"arima","spot","de",42.1365375075179
"48",2013-02-17,"arima","spot","de",34.4918545018853
"49",2013-02-18,"arima","spot","de",51.0553313341068
"50",2013-02-19,"arima","spot","de",51.8864393885028
"51",2013-02-20,"arima","spot","de",48.2513199506946
"52",2013-02-21,"arima","spot","de",46.0424714327098
"53",2013-02-22,"arima","spot","de",49.8773290770248
"54",2013-02-23,"arima","spot","de",41.1013558390461
"55",2013-02-24,"arima","spot","de",32.7552391843107
"56",2013-02-25,"arima","spot","de",47.1158554872211
"57",2013-02-26,"arima","spot","de",51.0962243930375
"58",2013-02-27,"arima","spot","de",52.1523735732555
"59",2013-02-28,"arima","spot","de",54.0619021193271
"60",2013-03-01,"arima","spot","de",51.6168232206889
"61",2013-03-02,"arima","spot","de",43.8203593948784
"62",2013-03-03,"arima","spot","de",36.5418680930046
"63",2013-03-04,"arima","spot","de",50.8773614004293
"64",2013-03-05,"arima","spot","de",49.9546536904471
"65",2013-03-06,"arima","spot","de",44.7562345210196
"66",2013-03-07,"arima","spot","de",47.2346339142196
"67",2013-03-08,"arima","spot","de",43.4115308327904
"68",2013-03-09,"arima","spot","de",33.8478418733106
"69",2013-03-10,"arima","spot","de",27.6812638344345
"70",2013-03-11,"arima","spot","de",37.1701774393453
"71",2013-03-12,"arima","spot","de",40.9484807720869
"72",2013-03-13,"arima","spot","de",44.8933265516633
"73",2013-03-14,"arima","spot","de",49.3990225219685
"74",2013-03-15,"arima","spot","de",49.9112313036364
"75",2013-03-16,"arima","spot","de",38.4355976572012
"76",2013-03-17,"arima","spot","de",26.7296578400697
"77",2013-03-18,"arima","spot","de",32.7428205084684
"78",2013-03-19,"arima","spot","de",39.7598194967843
"79",2013-03-20,"arima","spot","de",43.0985589586991
"80",2013-03-21,"arima","spot","de",46.613042293584
"81",2013-03-22,"arima","spot","de",50.1339287598092
"82",2013-03-23,"arima","spot","de",33.4553498599402
"83",2013-03-24,"arima","spot","de",20.7145203899731
"84",2013-03-25,"arima","spot","de",33.0041220499991
"85",2013-03-26,"arima","spot","de",37.9309775601799
"86",2013-03-27,"arima","spot","de",39.6894982700458
"87",2013-03-28,"arima","spot","de",43.4495376378547
"88",2013-03-29,"arima","spot","de",44.7627877610719
"89",2013-03-30,"arima","spot","de",32.1891411818775
"90",2013-03-31,"arima","spot","de",30.9812339623574
"91",2013-04-01,"arima","spot","de",44.5886176735564
"92",2013-04-02,"arima","spot","de",33.2758114059938
"93",2013-04-03,"arima","spot","de",47.3541384229642
"94",2013-04-04,"arima","spot","de",40.2886555386342
"95",2013-04-05,"arima","spot","de",45.0654628980197
"96",2013-04-06,"arima","spot","de",43.124796001397
"97",2013-04-07,"arima","spot","de",33.5478554897254
"98",2013-04-08,"arima","spot","de",50.595336902515
"99",2013-04-09,"arima","spot","de",55.2213249982166
"100",2013-04-10,"arima","spot","de",52.8767060699291
"101",2013-04-11,"arima","spot","de",53.4735386287928
"102",2013-04-12,"arima","spot","de",53.4384267005936
"103",2013-04-13,"arima","spot","de",40.4951750845903
"104",2013-04-14,"arima","spot","de",29.160135511268
"105",2013-04-15,"arima","spot","de",38.1475669630744
"106",2013-04-16,"arima","spot","de",44.9846845703188
"107",2013-04-17,"arima","spot","de",43.93363992683
"108",2013-04-18,"arima","spot","de",38.8532463343483
"109",2013-04-19,"arima","spot","de",31.1029448367467
"110",2013-04-20,"arima","spot","de",27.0759730444519
"111",2013-04-21,"arima","spot","de",22.9098071273412
"112",2013-04-22,"arima","spot","de",32.3929828878873
"113",2013-04-23,"arima","spot","de",40.4180387219116
"114",2013-04-24,"arima","spot","de",33.6947105040061
"115",2013-04-25,"arima","spot","de",36.9765730741662
"116",2013-04-26,"arima","spot","de",34.1440021148845
"117",2013-04-27,"arima","spot","de",29.3942162425634
"118",2013-04-28,"arima","spot","de",22.4360092296198
"119",2013-04-29,"arima","spot","de",37.9132771922693
"120",2013-04-30,"arima","spot","de",38.1560668326998
"121",2013-05-01,"arima","spot","de",37.7972777548072
"122",2013-05-02,"arima","spot","de",36.4542626761666
"123",2013-05-03,"arima","spot","de",34.6594790239652
"124",2013-05-04,"arima","spot","de",29.7819508416377
"125",2013-05-05,"arima","spot","de",24.9513070882521
"126",2013-05-06,"arima","spot","de",34.5847956979725
"127",2013-05-07,"arima","spot","de",40.2151425036527
"128",2013-05-08,"arima","spot","de",36.9500972355201
"129",2013-05-09,"arima","spot","de",34.5444484491168
"130",2013-05-10,"arima","spot","de",29.052120128185
"131",2013-05-11,"arima","spot","de",26.8393679222977
"132",2013-05-12,"arima","spot","de",17.5019671152497
"133",2013-05-13,"arima","spot","de",29.6576269965259
"134",2013-05-14,"arima","spot","de",35.1851633420331
"135",2013-05-15,"arima","spot","de",35.1530871945629
"136",2013-05-16,"arima","spot","de",33.2146993942171
"137",2013-05-17,"arima","spot","de",34.9854625989535
"138",2013-05-18,"arima","spot","de",29.6362260769831
"139",2013-05-19,"arima","spot","de",20.0379220947784
"140",2013-05-20,"arima","spot","de",31.697570340458
"141",2013-05-21,"arima","spot","de",31.7472969199367
"142",2013-05-22,"arima","spot","de",39.6778514285791
"143",2013-05-23,"arima","spot","de",34.1339451445014
