"","date","type","market","country","forecast"
"1",2013-01-01,"arima","intraday","fr",23.6382786216374
"2",2013-01-02,"arima","intraday","fr",21.8808017073506
"3",2013-01-03,"arima","intraday","fr",34.1454301004425
"4",2013-01-04,"arima","intraday","fr",40.9811590984147
"5",2013-01-05,"arima","intraday","fr",32.0247033382587
"6",2013-01-06,"arima","intraday","fr",25.5983982285226
"7",2013-01-07,"arima","intraday","fr",42.9118305995311
"8",2013-01-08,"arima","intraday","fr",49.316073883563
"9",2013-01-09,"arima","intraday","fr",51.7145895437382
"10",2013-01-10,"arima","intraday","fr",55.8113382888924
"11",2013-01-11,"arima","intraday","fr",52.1743036849083
"12",2013-01-12,"arima","intraday","fr",48.5105563124793
"13",2013-01-13,"arima","intraday","fr",42.4240987572145
"14",2013-01-14,"arima","intraday","fr",55.8352858911589
"15",2013-01-15,"arima","intraday","fr",56.2444067075148
"16",2013-01-16,"arima","intraday","fr",61.7340129968986
"17",2013-01-17,"arima","intraday","fr",59.0989001828355
"18",2013-01-18,"arima","intraday","fr",63.3919264537773
"19",2013-01-19,"arima","intraday","fr",56.5417049519315
"20",2013-01-20,"arima","intraday","fr",49.1150310715277
"21",2013-01-21,"arima","intraday","fr",66.2229206166893
"22",2013-01-22,"arima","intraday","fr",66.504959635988
"23",2013-01-23,"arima","intraday","fr",64.6014781250506
"24",2013-01-24,"arima","intraday","fr",60.8434631373795
"25",2013-01-25,"arima","intraday","fr",58.484726238514
"26",2013-01-26,"arima","intraday","fr",53.3149591674133
"27",2013-01-27,"arima","intraday","fr",48.3336459465345
"28",2013-01-28,"arima","intraday","fr",56.0960143494849
"29",2013-01-29,"arima","intraday","fr",50.8568487198945
"30",2013-01-30,"arima","intraday","fr",49.7511111877488
"31",2013-01-31,"arima","intraday","fr",43.6364050981968
"32",2013-02-01,"arima","intraday","fr",40.9394144288288
"33",2013-02-02,"arima","intraday","fr",36.5906607110962
"34",2013-02-03,"arima","intraday","fr",32.6938264130116
"35",2013-02-04,"arima","intraday","fr",53.2232589024456
"36",2013-02-05,"arima","intraday","fr",46.417137560648
"37",2013-02-06,"arima","intraday","fr",49.626451651063
"38",2013-02-07,"arima","intraday","fr",52.2891359604668
"39",2013-02-08,"arima","intraday","fr",54.9180647184474
"40",2013-02-09,"arima","intraday","fr",43.9475934710144
"41",2013-02-10,"arima","intraday","fr",47.1455702123468
"42",2013-02-11,"arima","intraday","fr",53.594682523054
"43",2013-02-12,"arima","intraday","fr",57.4720492343699
"44",2013-02-13,"arima","intraday","fr",61.9244555641755
"45",2013-02-14,"arima","intraday","fr",58.2379379809155
"46",2013-02-15,"arima","intraday","fr",53.2904915785741
"47",2013-02-16,"arima","intraday","fr",49.2444029196887
"48",2013-02-17,"arima","intraday","fr",44.5628054501831
"49",2013-02-18,"arima","intraday","fr",53.9158110514702
"50",2013-02-19,"arima","intraday","fr",57.1280121324311
"51",2013-02-20,"arima","intraday","fr",55.8523689432462
