"","date","type","market","country","forecast"
"1",2013-01-01,"arx_1","intraday","fr",19.5062400188562
"2",2013-01-02,"arx_1","intraday","fr",30.4886410151072
"3",2013-01-03,"arx_1","intraday","fr",38.5073646403875
"4",2013-01-04,"arx_1","intraday","fr",40.8412136922394
"5",2013-01-05,"arx_1","intraday","fr",23.6671884336874
"6",2013-01-06,"arx_1","intraday","fr",26.6715208998308
"7",2013-01-07,"arx_1","intraday","fr",43.4901314100763
"8",2013-01-08,"arx_1","intraday","fr",47.9547511573142
"9",2013-01-09,"arx_1","intraday","fr",51.0087296099315
"10",2013-01-10,"arx_1","intraday","fr",53.2593304366263
"11",2013-01-11,"arx_1","intraday","fr",49.4596248942546
"12",2013-01-12,"arx_1","intraday","fr",40.1696442925719
"13",2013-01-13,"arx_1","intraday","fr",41.7064758586988
"14",2013-01-14,"arx_1","intraday","fr",60.3929720733889
"15",2013-01-15,"arx_1","intraday","fr",57.8639202663045
"16",2013-01-16,"arx_1","intraday","fr",69.3269166635087
"17",2013-01-17,"arx_1","intraday","fr",66.473440853939
"18",2013-01-18,"arx_1","intraday","fr",70.2100239713874
"19",2013-01-19,"arx_1","intraday","fr",50.3068540427239
"20",2013-01-20,"arx_1","intraday","fr",51.2482248305972
"21",2013-01-21,"arx_1","intraday","fr",70.0158980468965
"22",2013-01-22,"arx_1","intraday","fr",69.4864434835302
"23",2013-01-23,"arx_1","intraday","fr",67.8031677914581
"24",2013-01-24,"arx_1","intraday","fr",64.8576146184673
"25",2013-01-25,"arx_1","intraday","fr",66.4946473072352
"26",2013-01-26,"arx_1","intraday","fr",45.5517661286527
"27",2013-01-27,"arx_1","intraday","fr",48.8691049834688
"28",2013-01-28,"arx_1","intraday","fr",59.9198474815553
"29",2013-01-29,"arx_1","intraday","fr",51.3690860287339
"30",2013-01-30,"arx_1","intraday","fr",47.5104056631493
"31",2013-01-31,"arx_1","intraday","fr",42.8189811723102
"32",2013-02-01,"arx_1","intraday","fr",42.2394582757275
"33",2013-02-02,"arx_1","intraday","fr",31.066898410451
"34",2013-02-03,"arx_1","intraday","fr",34.868706912495
"35",2013-02-04,"arx_1","intraday","fr",51.7770142705016
"36",2013-02-05,"arx_1","intraday","fr",44.8473599873244
"37",2013-02-06,"arx_1","intraday","fr",50.8942460851767
