"","date","type","market","country","forecast"
"1",2013-01-01,"garchx_1","intraday","fr",23.130913845169
"2",2013-01-02,"garchx_1","intraday","fr",23.3669649151518
"3",2013-01-03,"garchx_1","intraday","fr",25.1631534132042
"4",2013-01-04,"garchx_1","intraday","fr",28.066283694307
"5",2013-01-05,"garchx_1","intraday","fr",16.9113620288292
"6",2013-01-06,"garchx_1","intraday","fr",22.4827706437666
"7",2013-01-07,"garchx_1","intraday","fr",29.7454024517621
"8",2013-01-08,"garchx_1","intraday","fr",30.9348777597698
"9",2013-01-09,"garchx_1","intraday","fr",34.2329031875048
"10",2013-01-10,"garchx_1","intraday","fr",38.3778662654081
"11",2013-01-11,"garchx_1","intraday","fr",35.2101774618907
"12",2013-01-12,"garchx_1","intraday","fr",29.5569289958284
"13",2013-01-13,"garchx_1","intraday","fr",32.3171709553841
"14",2013-01-14,"garchx_1","intraday","fr",41.9445737353685
"15",2013-01-15,"garchx_1","intraday","fr",38.5283435139901
"16",2013-01-16,"garchx_1","intraday","fr",45.55077989633
"17",2013-01-17,"garchx_1","intraday","fr",40.2952266087759
"18",2013-01-18,"garchx_1","intraday","fr",45.1259269970839
"19",2013-01-19,"garchx_1","intraday","fr",33.8049712203257
"20",2013-01-20,"garchx_1","intraday","fr",36.6254977618732
"21",2013-01-21,"garchx_1","intraday","fr",47.3134278607853
"22",2013-01-22,"garchx_1","intraday","fr",45.1848686791695
"23",2013-01-23,"garchx_1","intraday","fr",43.292946927255
"24",2013-01-24,"garchx_1","intraday","fr",41.655686414038
"25",2013-01-25,"garchx_1","intraday","fr",40.7240710088881
"26",2013-01-26,"garchx_1","intraday","fr",30.5203754509295
"27",2013-01-27,"garchx_1","intraday","fr",38.9912209569547
"28",2013-01-28,"garchx_1","intraday","fr",44.2220080295052
"29",2013-01-29,"garchx_1","intraday","fr",37.1805879391028
"30",2013-01-30,"garchx_1","intraday","fr",35.8626922474237
"31",2013-01-31,"garchx_1","intraday","fr",31.3820995191959
"32",2013-02-01,"garchx_1","intraday","fr",32.3809560508197
"33",2013-02-02,"garchx_1","intraday","fr",26.7987571327572
"34",2013-02-03,"garchx_1","intraday","fr",29.8482016786062
"35",2013-02-04,"garchx_1","intraday","fr",42.0192481681224
"36",2013-02-05,"garchx_1","intraday","fr",33.8276485904285
"37",2013-02-06,"garchx_1","intraday","fr",37.7571791487092
"38",2013-02-07,"garchx_1","intraday","fr",37.0716326983118
"39",2013-02-08,"garchx_1","intraday","fr",39.4241650494535
"40",2013-02-09,"garchx_1","intraday","fr",26.0518705168953
"41",2013-02-10,"garchx_1","intraday","fr",38.2068496258419
"42",2013-02-11,"garchx_1","intraday","fr",37.5123396559944
"43",2013-02-12,"garchx_1","intraday","fr",39.8034712417961
"44",2013-02-13,"garchx_1","intraday","fr",42.9043784338455
"45",2013-02-14,"garchx_1","intraday","fr",39.3268944027295
"46",2013-02-15,"garchx_1","intraday","fr",36.1091581559286
"47",2013-02-16,"garchx_1","intraday","fr",31.0169281078331
"48",2013-02-17,"garchx_1","intraday","fr",32.2527126316769
"49",2013-02-18,"garchx_1","intraday","fr",42.1084904898154
"50",2013-02-19,"garchx_1","intraday","fr",41.2294050613647
"51",2013-02-20,"garchx_1","intraday","fr",38.4966486939267
"52",2013-02-21,"garchx_1","intraday","fr",39.939909234769
"53",2013-02-22,"garchx_1","intraday","fr",38.3088155169367
"54",2013-02-23,"garchx_1","intraday","fr",32.7784514609992
"55",2013-02-24,"garchx_1","intraday","fr",30.5024916096262
"56",2013-02-25,"garchx_1","intraday","fr",50.8908386285347
"57",2013-02-26,"garchx_1","intraday","fr",47.9585731765035
"58",2013-02-27,"garchx_1","intraday","fr",46.1264325250105
"59",2013-02-28,"garchx_1","intraday","fr",45.9065161065781
"60",2013-03-01,"garchx_1","intraday","fr",48.0972273597648
"61",2013-03-02,"garchx_1","intraday","fr",48.8715138674537
"62",2013-03-03,"garchx_1","intraday","fr",52.6029007266623
"63",2013-03-04,"garchx_1","intraday","fr",55.260114040478
"64",2013-03-05,"garchx_1","intraday","fr",52.2062789054367
"65",2013-03-06,"garchx_1","intraday","fr",47.3314523195197
"66",2013-03-07,"garchx_1","intraday","fr",47.3165762353547
"67",2013-03-08,"garchx_1","intraday","fr",47.3818720750999
"68",2013-03-09,"garchx_1","intraday","fr",33.8500469375543
"69",2013-03-10,"garchx_1","intraday","fr",40.362433343096
"70",2013-03-11,"garchx_1","intraday","fr",42.378602134834
"71",2013-03-12,"garchx_1","intraday","fr",48.3364059842054
"72",2013-03-13,"garchx_1","intraday","fr",49.6741455002327
"73",2013-03-14,"garchx_1","intraday","fr",47.4594370015374
"74",2013-03-15,"garchx_1","intraday","fr",46.3219303345747
"75",2013-03-16,"garchx_1","intraday","fr",43.2051076411488
"76",2013-03-17,"garchx_1","intraday","fr",37.9897144275815
"77",2013-03-18,"garchx_1","intraday","fr",52.3389193558216
"78",2013-03-19,"garchx_1","intraday","fr",60.7766546634415
"79",2013-03-20,"garchx_1","intraday","fr",47.7364671621116
"80",2013-03-21,"garchx_1","intraday","fr",53.4348766991848
"81",2013-03-22,"garchx_1","intraday","fr",55.0818030735322
"82",2013-03-23,"garchx_1","intraday","fr",43.6134277756402
"83",2013-03-24,"garchx_1","intraday","fr",46.5540843371929
"84",2013-03-25,"garchx_1","intraday","fr",63.6675701336364
"85",2013-03-26,"garchx_1","intraday","fr",52.7961725495602
"86",2013-03-27,"garchx_1","intraday","fr",56.2317766641246
"87",2013-03-28,"garchx_1","intraday","fr",58.5884525516835
"88",2013-03-29,"garchx_1","intraday","fr",67.042965400463
"89",2013-03-30,"garchx_1","intraday","fr",42.2230317846088
"90",2013-03-31,"garchx_1","intraday","fr",54.118513581239
"91",2013-04-01,"garchx_1","intraday","fr",50.1436962670856
"92",2013-04-02,"garchx_1","intraday","fr",42.1771286982879
"93",2013-04-03,"garchx_1","intraday","fr",58.3599779497141
"94",2013-04-04,"garchx_1","intraday","fr",55.6320238356422
"95",2013-04-05,"garchx_1","intraday","fr",54.5303429386872
"96",2013-04-06,"garchx_1","intraday","fr",43.7145718210129
"97",2013-04-07,"garchx_1","intraday","fr",54.4763750109631
"98",2013-04-08,"garchx_1","intraday","fr",54.7091536216879
"99",2013-04-09,"garchx_1","intraday","fr",63.8787954148686
"100",2013-04-10,"garchx_1","intraday","fr",55.4938651379239
"101",2013-04-11,"garchx_1","intraday","fr",56.6260651069548
"102",2013-04-12,"garchx_1","intraday","fr",65.11200984587
"103",2013-04-13,"garchx_1","intraday","fr",48.9473464155746
"104",2013-04-14,"garchx_1","intraday","fr",43.5202952089878
"105",2013-04-15,"garchx_1","intraday","fr",51.40980970237
"106",2013-04-16,"garchx_1","intraday","fr",48.4295164279179
"107",2013-04-17,"garchx_1","intraday","fr",49.5461991200176
"108",2013-04-18,"garchx_1","intraday","fr",45.1134932341946
"109",2013-04-19,"garchx_1","intraday","fr",39.726591001827
"110",2013-04-20,"garchx_1","intraday","fr",27.9416243008991
"111",2013-04-21,"garchx_1","intraday","fr",32.717160002468
"112",2013-04-22,"garchx_1","intraday","fr",40.5259233135754
"113",2013-04-23,"garchx_1","intraday","fr",45.0584395477216
"114",2013-04-24,"garchx_1","intraday","fr",37.9365116886087
"115",2013-04-25,"garchx_1","intraday","fr",37.1229022713565
"116",2013-04-26,"garchx_1","intraday","fr",34.9579386427772
"117",2013-04-27,"garchx_1","intraday","fr",27.40360466502
"118",2013-04-28,"garchx_1","intraday","fr",32.0736197125538
"119",2013-04-29,"garchx_1","intraday","fr",42.5076245999781
"120",2013-04-30,"garchx_1","intraday","fr",41.4450376914434
"121",2013-05-01,"garchx_1","intraday","fr",37.7926141658556
"122",2013-05-02,"garchx_1","intraday","fr",28.3473341831161
"123",2013-05-03,"garchx_1","intraday","fr",40.9561090830321
"124",2013-05-04,"garchx_1","intraday","fr",26.2255387815822
"125",2013-05-05,"garchx_1","intraday","fr",32.0097423948534
"126",2013-05-06,"garchx_1","intraday","fr",36.6428989033734
"127",2013-05-07,"garchx_1","intraday","fr",36.6968727725152
"128",2013-05-08,"garchx_1","intraday","fr",35.3952539066884
"129",2013-05-09,"garchx_1","intraday","fr",38.5221294648772
"130",2013-05-10,"garchx_1","intraday","fr",36.720594484146
"131",2013-05-11,"garchx_1","intraday","fr",24.1862320063931
"132",2013-05-12,"garchx_1","intraday","fr",26.9558652977429
"133",2013-05-13,"garchx_1","intraday","fr",37.5398904813903
"134",2013-05-14,"garchx_1","intraday","fr",38.6360810781868
"135",2013-05-15,"garchx_1","intraday","fr",41.7193167077255
"136",2013-05-16,"garchx_1","intraday","fr",35.2784892538395
"137",2013-05-17,"garchx_1","intraday","fr",38.7870401168082
"138",2013-05-18,"garchx_1","intraday","fr",31.5341751966315
"139",2013-05-19,"garchx_1","intraday","fr",31.872257197516
"140",2013-05-20,"garchx_1","intraday","fr",43.1296471088888
"141",2013-05-21,"garchx_1","intraday","fr",44.5313273568413
"142",2013-05-22,"garchx_1","intraday","fr",51.2041251760927
"143",2013-05-23,"garchx_1","intraday","fr",41.602128456448
"144",2013-05-24,"garchx_1","intraday","fr",46.5342083793005
"145",2013-05-25,"garchx_1","intraday","fr",38.1170936852091
"146",2013-05-26,"garchx_1","intraday","fr",31.8155808152657
"147",2013-05-27,"garchx_1","intraday","fr",43.6417546578605
"148",2013-05-28,"garchx_1","intraday","fr",48.0225536100413
"149",2013-05-29,"garchx_1","intraday","fr",46.8959346448537
"150",2013-05-30,"garchx_1","intraday","fr",47.5905525993496
"151",2013-05-31,"garchx_1","intraday","fr",50.5936681931342
"152",2013-06-01,"garchx_1","intraday","fr",31.9331314374833
"153",2013-06-02,"garchx_1","intraday","fr",34.272828765426
