"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linearx_2","intraday","fr",20.5329566513615
"2",2013-01-02,"svm_linearx_2","intraday","fr",27.4191870994982
"3",2013-01-03,"svm_linearx_2","intraday","fr",35.6525047412455
"4",2013-01-04,"svm_linearx_2","intraday","fr",38.4689059692998
"5",2013-01-05,"svm_linearx_2","intraday","fr",23.336302966002
"6",2013-01-06,"svm_linearx_2","intraday","fr",30.4381037493467
"7",2013-01-07,"svm_linearx_2","intraday","fr",43.8819622045283
"8",2013-01-08,"svm_linearx_2","intraday","fr",43.494556565908
"9",2013-01-09,"svm_linearx_2","intraday","fr",47.0721370278438
"10",2013-01-10,"svm_linearx_2","intraday","fr",56.1515262495731
"11",2013-01-11,"svm_linearx_2","intraday","fr",50.748808981029
"12",2013-01-12,"svm_linearx_2","intraday","fr",41.3515826656306
"13",2013-01-13,"svm_linearx_2","intraday","fr",42.7516932361593
"14",2013-01-14,"svm_linearx_2","intraday","fr",58.8877187631914
"15",2013-01-15,"svm_linearx_2","intraday","fr",54.1548388201177
"16",2013-01-16,"svm_linearx_2","intraday","fr",63.516106875636
"17",2013-01-17,"svm_linearx_2","intraday","fr",60.8020506826624
"18",2013-01-18,"svm_linearx_2","intraday","fr",64.4509158070281
"19",2013-01-19,"svm_linearx_2","intraday","fr",48.2773827955167
"20",2013-01-20,"svm_linearx_2","intraday","fr",52.4135446160171
"21",2013-01-21,"svm_linearx_2","intraday","fr",69.1116290287119
"22",2013-01-22,"svm_linearx_2","intraday","fr",66.0562987917961
"23",2013-01-23,"svm_linearx_2","intraday","fr",62.8402580010355
"24",2013-01-24,"svm_linearx_2","intraday","fr",62.5738561397959
"25",2013-01-25,"svm_linearx_2","intraday","fr",61.4155219272095
"26",2013-01-26,"svm_linearx_2","intraday","fr",42.9794865056276
"27",2013-01-27,"svm_linearx_2","intraday","fr",49.627148424467
"28",2013-01-28,"svm_linearx_2","intraday","fr",61.0617009466923
"29",2013-01-29,"svm_linearx_2","intraday","fr",51.7287163444466
"30",2013-01-30,"svm_linearx_2","intraday","fr",48.3927472644198
"31",2013-01-31,"svm_linearx_2","intraday","fr",45.5519905355888
"32",2013-02-01,"svm_linearx_2","intraday","fr",43.7740113592621
"33",2013-02-02,"svm_linearx_2","intraday","fr",32.415255506879
"34",2013-02-03,"svm_linearx_2","intraday","fr",37.9825905141683
"35",2013-02-04,"svm_linearx_2","intraday","fr",57.1530189201322
"36",2013-02-05,"svm_linearx_2","intraday","fr",46.9772483793158
"37",2013-02-06,"svm_linearx_2","intraday","fr",51.3694580830308
"38",2013-02-07,"svm_linearx_2","intraday","fr",53.5902533386685
"39",2013-02-08,"svm_linearx_2","intraday","fr",56.9832377451131
"40",2013-02-09,"svm_linearx_2","intraday","fr",35.1562496602824
"41",2013-02-10,"svm_linearx_2","intraday","fr",49.6723173640423
"42",2013-02-11,"svm_linearx_2","intraday","fr",54.3406305154453
"43",2013-02-12,"svm_linearx_2","intraday","fr",56.6851360105773
"44",2013-02-13,"svm_linearx_2","intraday","fr",58.6281309776558
"45",2013-02-14,"svm_linearx_2","intraday","fr",59.5309624605949
"46",2013-02-15,"svm_linearx_2","intraday","fr",52.399687976694
"47",2013-02-16,"svm_linearx_2","intraday","fr",44.7229932921651
"48",2013-02-17,"svm_linearx_2","intraday","fr",44.7018890479839
"49",2013-02-18,"svm_linearx_2","intraday","fr",58.2069483802324
"50",2013-02-19,"svm_linearx_2","intraday","fr",58.4460956279665
"51",2013-02-20,"svm_linearx_2","intraday","fr",52.9237143939881
"52",2013-02-21,"svm_linearx_2","intraday","fr",57.8427132715247
"53",2013-02-22,"svm_linearx_2","intraday","fr",55.5670671314438
"54",2013-02-23,"svm_linearx_2","intraday","fr",47.2931793897683
"55",2013-02-24,"svm_linearx_2","intraday","fr",43.0641510431816
"56",2013-02-25,"svm_linearx_2","intraday","fr",73.2990892520254
"57",2013-02-26,"svm_linearx_2","intraday","fr",71.50206421022
"58",2013-02-27,"svm_linearx_2","intraday","fr",64.3318091987881
"59",2013-02-28,"svm_linearx_2","intraday","fr",66.0358647668963
"60",2013-03-01,"svm_linearx_2","intraday","fr",66.2685550427158
"61",2013-03-02,"svm_linearx_2","intraday","fr",62.6594506291713
"62",2013-03-03,"svm_linearx_2","intraday","fr",62.0811103268426
"63",2013-03-04,"svm_linearx_2","intraday","fr",69.7919853372696
"64",2013-03-05,"svm_linearx_2","intraday","fr",63.486558471466
"65",2013-03-06,"svm_linearx_2","intraday","fr",55.8194836290498
"66",2013-03-07,"svm_linearx_2","intraday","fr",52.8315542768948
"67",2013-03-08,"svm_linearx_2","intraday","fr",47.8482517371088
"68",2013-03-09,"svm_linearx_2","intraday","fr",33.073038924455
"69",2013-03-10,"svm_linearx_2","intraday","fr",41.8219309287919
"70",2013-03-11,"svm_linearx_2","intraday","fr",48.0400043525707
"71",2013-03-12,"svm_linearx_2","intraday","fr",57.5644651857837
"72",2013-03-13,"svm_linearx_2","intraday","fr",63.4160420101275
"73",2013-03-14,"svm_linearx_2","intraday","fr",67.612262417781
"74",2013-03-15,"svm_linearx_2","intraday","fr",59.354250446041
"75",2013-03-16,"svm_linearx_2","intraday","fr",54.0139613486307
"76",2013-03-17,"svm_linearx_2","intraday","fr",44.2656715098762
"77",2013-03-18,"svm_linearx_2","intraday","fr",62.3272342030366
"78",2013-03-19,"svm_linearx_2","intraday","fr",70.5829123060666
"79",2013-03-20,"svm_linearx_2","intraday","fr",55.7185429602251
"80",2013-03-21,"svm_linearx_2","intraday","fr",66.1237776050581
"81",2013-03-22,"svm_linearx_2","intraday","fr",63.4511775387236
"82",2013-03-23,"svm_linearx_2","intraday","fr",50.3478869079906
"83",2013-03-24,"svm_linearx_2","intraday","fr",47.1786816726009
"84",2013-03-25,"svm_linearx_2","intraday","fr",73.5030965077068
"85",2013-03-26,"svm_linearx_2","intraday","fr",63.8065751899374
"86",2013-03-27,"svm_linearx_2","intraday","fr",65.4173366565798
"87",2013-03-28,"svm_linearx_2","intraday","fr",70.469630457851
"88",2013-03-29,"svm_linearx_2","intraday","fr",80.0890443689195
"89",2013-03-30,"svm_linearx_2","intraday","fr",45.922793768841
"90",2013-03-31,"svm_linearx_2","intraday","fr",56.1172015775258
"91",2013-04-01,"svm_linearx_2","intraday","fr",51.9348729811235
"92",2013-04-02,"svm_linearx_2","intraday","fr",46.0030701913832
"93",2013-04-03,"svm_linearx_2","intraday","fr",61.7080470783502
"94",2013-04-04,"svm_linearx_2","intraday","fr",63.865226112304
"95",2013-04-05,"svm_linearx_2","intraday","fr",64.8663361403106
"96",2013-04-06,"svm_linearx_2","intraday","fr",49.0923397328787
"97",2013-04-07,"svm_linearx_2","intraday","fr",68.7351871970732
"98",2013-04-08,"svm_linearx_2","intraday","fr",66.285261315408
"99",2013-04-09,"svm_linearx_2","intraday","fr",71.7030801860448
"100",2013-04-10,"svm_linearx_2","intraday","fr",60.6249170798829
"101",2013-04-11,"svm_linearx_2","intraday","fr",59.9306905261065
"102",2013-04-12,"svm_linearx_2","intraday","fr",62.3964712638704
"103",2013-04-13,"svm_linearx_2","intraday","fr",43.0495265643459
"104",2013-04-14,"svm_linearx_2","intraday","fr",34.3468961918736
"105",2013-04-15,"svm_linearx_2","intraday","fr",47.7745238266984
"106",2013-04-16,"svm_linearx_2","intraday","fr",45.6593480926852
"107",2013-04-17,"svm_linearx_2","intraday","fr",43.3742908419088
"108",2013-04-18,"svm_linearx_2","intraday","fr",40.201487749282
"109",2013-04-19,"svm_linearx_2","intraday","fr",35.4789181831923
"110",2013-04-20,"svm_linearx_2","intraday","fr",21.1252245536915
"111",2013-04-21,"svm_linearx_2","intraday","fr",24.9493691115846
"112",2013-04-22,"svm_linearx_2","intraday","fr",38.9373813892702
"113",2013-04-23,"svm_linearx_2","intraday","fr",45.1644234756508
"114",2013-04-24,"svm_linearx_2","intraday","fr",37.316598610967
"115",2013-04-25,"svm_linearx_2","intraday","fr",36.8254562129968
"116",2013-04-26,"svm_linearx_2","intraday","fr",30.8886883652383
"117",2013-04-27,"svm_linearx_2","intraday","fr",21.7367417439736
"118",2013-04-28,"svm_linearx_2","intraday","fr",26.5745280845914
"119",2013-04-29,"svm_linearx_2","intraday","fr",42.5004411699721
"120",2013-04-30,"svm_linearx_2","intraday","fr",42.0955842148675
"121",2013-05-01,"svm_linearx_2","intraday","fr",33.4875231666139
"122",2013-05-02,"svm_linearx_2","intraday","fr",26.8801671288914
"123",2013-05-03,"svm_linearx_2","intraday","fr",38.9345836854306
"124",2013-05-04,"svm_linearx_2","intraday","fr",18.1423138597306
"125",2013-05-05,"svm_linearx_2","intraday","fr",25.7973701273191
