"","date","type","market","country","forecast"
"1",2013-01-01,"arima","spot","fr",25.1818343231817
"2",2013-01-02,"arima","spot","fr",25.968937087331
"3",2013-01-03,"arima","spot","fr",39.5613652022736
"4",2013-01-04,"arima","spot","fr",44.8310834085348
"5",2013-01-05,"arima","spot","fr",36.2369801890049
"6",2013-01-06,"arima","spot","fr",30.9224761946293
"7",2013-01-07,"arima","spot","fr",47.3526685124286
"8",2013-01-08,"arima","spot","fr",55.7318376946004
"9",2013-01-09,"arima","spot","fr",56.857060468066
"10",2013-01-10,"arima","spot","fr",56.2077182573917
"11",2013-01-11,"arima","spot","fr",58.2301524695244
"12",2013-01-12,"arima","spot","fr",48.3535538597211
"13",2013-01-13,"arima","spot","fr",43.5324934793643
"14",2013-01-14,"arima","spot","fr",58.4982578326761
"15",2013-01-15,"arima","spot","fr",54.4367127052899
"16",2013-01-16,"arima","spot","fr",57.846530086793
"17",2013-01-17,"arima","spot","fr",56.8015100272525
"18",2013-01-18,"arima","spot","fr",67.3304996973172
"19",2013-01-19,"arima","spot","fr",52.5966180799516
"20",2013-01-20,"arima","spot","fr",47.7485984402861
"21",2013-01-21,"arima","spot","fr",61.5398933672514
"22",2013-01-22,"arima","spot","fr",63.5080780862074
"23",2013-01-23,"arima","spot","fr",59.09219599796
"24",2013-01-24,"arima","spot","fr",60.5611853448294
"25",2013-01-25,"arima","spot","fr",60.5827011223617
"26",2013-01-26,"arima","spot","fr",50.2033687880104
"27",2013-01-27,"arima","spot","fr",44.0580583072133
"28",2013-01-28,"arima","spot","fr",54.7277496441375
"29",2013-01-29,"arima","spot","fr",52.6149947072312
"30",2013-01-30,"arima","spot","fr",48.7532049664125
"31",2013-01-31,"arima","spot","fr",41.7352301170655
"32",2013-02-01,"arima","spot","fr",43.4851664478714
"33",2013-02-02,"arima","spot","fr",36.9692937647454
"34",2013-02-03,"arima","spot","fr",29.779040872904
"35",2013-02-04,"arima","spot","fr",48.7178745551406
"36",2013-02-05,"arima","spot","fr",51.316410713129
"37",2013-02-06,"arima","spot","fr",49.1063318884606
"38",2013-02-07,"arima","spot","fr",47.8839798885965
"39",2013-02-08,"arima","spot","fr",53.8496909996686
"40",2013-02-09,"arima","spot","fr",47.143916558753
"41",2013-02-10,"arima","spot","fr",46.3190301932558
"42",2013-02-11,"arima","spot","fr",59.9180546093961
"43",2013-02-12,"arima","spot","fr",54.9462251716023
"44",2013-02-13,"arima","spot","fr",59.7225272542032
"45",2013-02-14,"arima","spot","fr",57.5162056152996
"46",2013-02-15,"arima","spot","fr",54.249998494111
"47",2013-02-16,"arima","spot","fr",47.8315099379279
"48",2013-02-17,"arima","spot","fr",46.1901832491217
"49",2013-02-18,"arima","spot","fr",59.8026718750593
"50",2013-02-19,"arima","spot","fr",55.8744944006937
"51",2013-02-20,"arima","spot","fr",58.3371349824209
"52",2013-02-21,"arima","spot","fr",53.3365131853771
"53",2013-02-22,"arima","spot","fr",53.8405970440986
"54",2013-02-23,"arima","spot","fr",46.3421680221917
"55",2013-02-24,"arima","spot","fr",51.1691891028212
"56",2013-02-25,"arima","spot","fr",65.3543403570706
"57",2013-02-26,"arima","spot","fr",78.5579736046868
"58",2013-02-27,"arima","spot","fr",62.5767741698582
"59",2013-02-28,"arima","spot","fr",61.847179582617
"60",2013-03-01,"arima","spot","fr",61.319471353128
"61",2013-03-02,"arima","spot","fr",53.2581169041378
"62",2013-03-03,"arima","spot","fr",51.1075388486027
"63",2013-03-04,"arima","spot","fr",65.3537959977645
"64",2013-03-05,"arima","spot","fr",56.9927875659379
"65",2013-03-06,"arima","spot","fr",59.3165085227117
"66",2013-03-07,"arima","spot","fr",53.8109684000935
"67",2013-03-08,"arima","spot","fr",48.3428748957909
"68",2013-03-09,"arima","spot","fr",38.6105961847264
