"","date","type","market","country","forecast"
"1",2013-01-01,"arx_2","spot","fr",24.5797900441014
"2",2013-01-02,"arx_2","spot","fr",25.4495234555954
"3",2013-01-03,"arx_2","spot","fr",35.3287425595248
"4",2013-01-04,"arx_2","spot","fr",41.4217963598864
"5",2013-01-05,"arx_2","spot","fr",30.1162715485032
"6",2013-01-06,"arx_2","spot","fr",33.1121877107867
"7",2013-01-07,"arx_2","spot","fr",41.668542984776
"8",2013-01-08,"arx_2","spot","fr",47.6058296304002
"9",2013-01-09,"arx_2","spot","fr",51.9702649502062
"10",2013-01-10,"arx_2","spot","fr",54.8180384833609
"11",2013-01-11,"arx_2","spot","fr",55.7397941926143
"12",2013-01-12,"arx_2","spot","fr",42.4982119533456
"13",2013-01-13,"arx_2","spot","fr",45.2971888998809
"14",2013-01-14,"arx_2","spot","fr",56.9078302600097
"15",2013-01-15,"arx_2","spot","fr",54.2411186437244
"16",2013-01-16,"arx_2","spot","fr",57.903064275714
"17",2013-01-17,"arx_2","spot","fr",58.754587783537
"18",2013-01-18,"arx_2","spot","fr",66.651548993864
"19",2013-01-19,"arx_2","spot","fr",50.2568327065452
"20",2013-01-20,"arx_2","spot","fr",53.797239680068
"21",2013-01-21,"arx_2","spot","fr",60.3546123207982
"22",2013-01-22,"arx_2","spot","fr",61.9102083873745
"23",2013-01-23,"arx_2","spot","fr",58.0311351883554
"24",2013-01-24,"arx_2","spot","fr",61.9617005055251
"25",2013-01-25,"arx_2","spot","fr",60.2764148063278
"26",2013-01-26,"arx_2","spot","fr",46.2250394781169
"27",2013-01-27,"arx_2","spot","fr",48.089386787032
"28",2013-01-28,"arx_2","spot","fr",55.4533747029674
"29",2013-01-29,"arx_2","spot","fr",52.6088223678746
"30",2013-01-30,"arx_2","spot","fr",49.8430285456695
"31",2013-01-31,"arx_2","spot","fr",45.4092309136999
"32",2013-02-01,"arx_2","spot","fr",45.6437934724078
"33",2013-02-02,"arx_2","spot","fr",34.9620575257956
"34",2013-02-03,"arx_2","spot","fr",36.2792944120435
"35",2013-02-04,"arx_2","spot","fr",49.4015105593553
"36",2013-02-05,"arx_2","spot","fr",51.6636082115103
"37",2013-02-06,"arx_2","spot","fr",49.0855640220052
"38",2013-02-07,"arx_2","spot","fr",49.220210128747
"39",2013-02-08,"arx_2","spot","fr",53.2371439592918
"40",2013-02-09,"arx_2","spot","fr",41.3852374049717
"41",2013-02-10,"arx_2","spot","fr",48.0592267298581
"42",2013-02-11,"arx_2","spot","fr",58.6052709644325
"43",2013-02-12,"arx_2","spot","fr",53.951326283283
"44",2013-02-13,"arx_2","spot","fr",56.5546324307779
"45",2013-02-14,"arx_2","spot","fr",56.3993083342769
