"","date","type","market","country","forecast"
"1",2013-01-01,"garch","spot","fr",24.1540443116725
"2",2013-01-02,"garch","spot","fr",23.5956090822156
"3",2013-01-03,"garch","spot","fr",33.2523224221511
"4",2013-01-04,"garch","spot","fr",40.9362738011511
"5",2013-01-05,"garch","spot","fr",29.4695246955514
"6",2013-01-06,"garch","spot","fr",31.9311679257046
"7",2013-01-07,"garch","spot","fr",39.4224468986304
"8",2013-01-08,"garch","spot","fr",45.1009971888618
"9",2013-01-09,"garch","spot","fr",51.357593157299
"10",2013-01-10,"garch","spot","fr",54.3355971631475
"11",2013-01-11,"garch","spot","fr",54.9240060685616
"12",2013-01-12,"garch","spot","fr",42.1092136919049
"13",2013-01-13,"garch","spot","fr",43.8211492342815
"14",2013-01-14,"garch","spot","fr",55.8455449804644
"15",2013-01-15,"garch","spot","fr",54.1366552167485
"16",2013-01-16,"garch","spot","fr",57.2234137757844
"17",2013-01-17,"garch","spot","fr",58.5272628081119
"18",2013-01-18,"garch","spot","fr",65.6762838462844
"19",2013-01-19,"garch","spot","fr",50.9595700475
"20",2013-01-20,"garch","spot","fr",52.8071882582916
"21",2013-01-21,"garch","spot","fr",59.4075213096542
"22",2013-01-22,"garch","spot","fr",61.4047437543573
"23",2013-01-23,"garch","spot","fr",57.8169925913937
"24",2013-01-24,"garch","spot","fr",62.3583236258282
"25",2013-01-25,"garch","spot","fr",59.9402330005151
"26",2013-01-26,"garch","spot","fr",47.1433678624608
"27",2013-01-27,"garch","spot","fr",47.5637721210977
"28",2013-01-28,"garch","spot","fr",55.111251933155
"29",2013-01-29,"garch","spot","fr",52.3207092915231
"30",2013-01-30,"garch","spot","fr",50.1832777249477
"31",2013-01-31,"garch","spot","fr",45.3984794554192
"32",2013-02-01,"garch","spot","fr",45.3770156345703
"33",2013-02-02,"garch","spot","fr",35.3464506919015
"34",2013-02-03,"garch","spot","fr",35.4233779907928
"35",2013-02-04,"garch","spot","fr",48.8987559301565
"36",2013-02-05,"garch","spot","fr",51.3077599806867
"37",2013-02-06,"garch","spot","fr",48.4567755708871
"38",2013-02-07,"garch","spot","fr",48.6869455791553
"39",2013-02-08,"garch","spot","fr",52.4875090517455
"40",2013-02-09,"garch","spot","fr",41.3919510047689
"41",2013-02-10,"garch","spot","fr",47.3187991990834
"42",2013-02-11,"garch","spot","fr",57.9357964344884
"43",2013-02-12,"garch","spot","fr",53.6737765739636
"44",2013-02-13,"garch","spot","fr",55.7345105362194
"45",2013-02-14,"garch","spot","fr",56.6326546629404
"46",2013-02-15,"garch","spot","fr",53.9611152968435
"47",2013-02-16,"garch","spot","fr",44.8111104799158
"48",2013-02-17,"garch","spot","fr",49.2135181471212
"49",2013-02-18,"garch","spot","fr",57.6547447089713
"50",2013-02-19,"garch","spot","fr",57.1382805060222
"51",2013-02-20,"garch","spot","fr",58.6864446054813
"52",2013-02-21,"garch","spot","fr",54.1927147859487
"53",2013-02-22,"garch","spot","fr",54.6402781530255
"54",2013-02-23,"garch","spot","fr",44.0651296801067
"55",2013-02-24,"garch","spot","fr",53.637735750376
"56",2013-02-25,"garch","spot","fr",63.7933431460044
"57",2013-02-26,"garch","spot","fr",75.3318277126745
"58",2013-02-27,"garch","spot","fr",63.2283717079156
"59",2013-02-28,"garch","spot","fr",61.8029012017661
"60",2013-03-01,"garch","spot","fr",57.9476384854975
"61",2013-03-02,"garch","spot","fr",48.6082634592011
"62",2013-03-03,"garch","spot","fr",52.3565600611205
"63",2013-03-04,"garch","spot","fr",67.6186910155907
"64",2013-03-05,"garch","spot","fr",58.1655125013638
"65",2013-03-06,"garch","spot","fr",59.5160187366483
"66",2013-03-07,"garch","spot","fr",56.1279816484519
"67",2013-03-08,"garch","spot","fr",50.8096863031231
"68",2013-03-09,"garch","spot","fr",38.2676146691558
"69",2013-03-10,"garch","spot","fr",38.7766834296382
"70",2013-03-11,"garch","spot","fr",45.3153430005296
"71",2013-03-12,"garch","spot","fr",50.1841819076776
"72",2013-03-13,"garch","spot","fr",56.4459745649691
"73",2013-03-14,"garch","spot","fr",64.7561993915156
"74",2013-03-15,"garch","spot","fr",67.8984475717116
"75",2013-03-16,"garch","spot","fr",49.6801093176676
"76",2013-03-17,"garch","spot","fr",49.4356783113428
"77",2013-03-18,"garch","spot","fr",57.8385334751054
"78",2013-03-19,"garch","spot","fr",57.8505772386221
"79",2013-03-20,"garch","spot","fr",61.7786478974584
"80",2013-03-21,"garch","spot","fr",65.1483334486626
"81",2013-03-22,"garch","spot","fr",63.8225553202092
"82",2013-03-23,"garch","spot","fr",51.5984381022904
"83",2013-03-24,"garch","spot","fr",46.3054379071279
"84",2013-03-25,"garch","spot","fr",57.4161975395043
"85",2013-03-26,"garch","spot","fr",64.2213954423757
"86",2013-03-27,"garch","spot","fr",67.429138324703
"87",2013-03-28,"garch","spot","fr",72.7479194234265
"88",2013-03-29,"garch","spot","fr",70.4900828115686
"89",2013-03-30,"garch","spot","fr",52.3969983785315
"90",2013-03-31,"garch","spot","fr",51.7022510123629
"91",2013-04-01,"garch","spot","fr",53.1391481996276
"92",2013-04-02,"garch","spot","fr",50.1642837785385
"93",2013-04-03,"garch","spot","fr",61.1654983994643
"94",2013-04-04,"garch","spot","fr",64.6819311239207
