"","date","type","market","country","forecast"
"1",2013-01-01,"ar","intraday","de",32.370470127688
"2",2013-01-02,"ar","intraday","de",34.3004725432782
"3",2013-01-03,"ar","intraday","de",35.7148956429574
"4",2013-01-04,"ar","intraday","de",36.0035997117323
"5",2013-01-05,"ar","intraday","de",20.5514306948741
"6",2013-01-06,"ar","intraday","de",25.2544934932815
"7",2013-01-07,"ar","intraday","de",42.8467859495572
"8",2013-01-08,"ar","intraday","de",44.3943275852493
"9",2013-01-09,"ar","intraday","de",51.2820293329457
"10",2013-01-10,"ar","intraday","de",51.2871701066464
"11",2013-01-11,"ar","intraday","de",50.0668446662232
"12",2013-01-12,"ar","intraday","de",35.5252767215766
"13",2013-01-13,"ar","intraday","de",38.7997501977023
"14",2013-01-14,"ar","intraday","de",57.9129560777901
"15",2013-01-15,"ar","intraday","de",56.9854135955041
"16",2013-01-16,"ar","intraday","de",65.6821926925266
"17",2013-01-17,"ar","intraday","de",58.3909547888838
"18",2013-01-18,"ar","intraday","de",63.0633162574369
"19",2013-01-19,"ar","intraday","de",41.5148788748136
"20",2013-01-20,"ar","intraday","de",38.0627450468078
"21",2013-01-21,"ar","intraday","de",57.635965021211
"22",2013-01-22,"ar","intraday","de",60.022727755751
"23",2013-01-23,"ar","intraday","de",56.8659048300037
"24",2013-01-24,"ar","intraday","de",61.9555111777657
"25",2013-01-25,"ar","intraday","de",62.5089904486657
"26",2013-01-26,"ar","intraday","de",42.1475845784014
"27",2013-01-27,"ar","intraday","de",41.7105610150452
"28",2013-01-28,"ar","intraday","de",59.2003392125209
"29",2013-01-29,"ar","intraday","de",56.8285226740103
"30",2013-01-30,"ar","intraday","de",57.0393197041043
"31",2013-01-31,"ar","intraday","de",54.6855853851193
"32",2013-02-01,"ar","intraday","de",52.5570550594154
"33",2013-02-02,"ar","intraday","de",29.3381288746437
"34",2013-02-03,"ar","intraday","de",30.524900100698
"35",2013-02-04,"ar","intraday","de",54.5599581021421
"36",2013-02-05,"ar","intraday","de",47.5579673341596
"37",2013-02-06,"ar","intraday","de",48.9376421887748
"38",2013-02-07,"ar","intraday","de",51.2689787682944
"39",2013-02-08,"ar","intraday","de",52.0528577335317
"40",2013-02-09,"ar","intraday","de",32.651158408121
"41",2013-02-10,"ar","intraday","de",35.6754224378275
"42",2013-02-11,"ar","intraday","de",53.3082518923418
"43",2013-02-12,"ar","intraday","de",47.333344829031
"44",2013-02-13,"ar","intraday","de",51.6688046838994
"45",2013-02-14,"ar","intraday","de",55.9850692556883
"46",2013-02-15,"ar","intraday","de",53.9476312284155
"47",2013-02-16,"ar","intraday","de",38.8489555218157
"48",2013-02-17,"ar","intraday","de",40.9150493734724
"49",2013-02-18,"ar","intraday","de",54.8064074860085
"50",2013-02-19,"ar","intraday","de",56.6922338531074
"51",2013-02-20,"ar","intraday","de",57.7455722706461
"52",2013-02-21,"ar","intraday","de",54.1265135175177
"53",2013-02-22,"ar","intraday","de",60.628263378903
"54",2013-02-23,"ar","intraday","de",38.5947908182692
"55",2013-02-24,"ar","intraday","de",36.8180831652763
"56",2013-02-25,"ar","intraday","de",59.507545818049
"57",2013-02-26,"ar","intraday","de",59.8224163619024
"58",2013-02-27,"ar","intraday","de",63.6537163344817
"59",2013-02-28,"ar","intraday","de",73.3941839718917
"60",2013-03-01,"ar","intraday","de",70.6908770774822
"61",2013-03-02,"ar","intraday","de",52.6606677207401
"62",2013-03-03,"ar","intraday","de",48.5440514366152
"63",2013-03-04,"ar","intraday","de",65.4600673599688
"64",2013-03-05,"ar","intraday","de",58.4189360948023
"65",2013-03-06,"ar","intraday","de",56.7097469376055
"66",2013-03-07,"ar","intraday","de",49.1916765116364
"67",2013-03-08,"ar","intraday","de",49.6213750769946
"68",2013-03-09,"ar","intraday","de",25.9079111988822
"69",2013-03-10,"ar","intraday","de",30.8691562193598
"70",2013-03-11,"ar","intraday","de",47.2456506663973
"71",2013-03-12,"ar","intraday","de",48.3499717599183
"72",2013-03-13,"ar","intraday","de",53.4972099984689
"73",2013-03-14,"ar","intraday","de",60.5402239220107
"74",2013-03-15,"ar","intraday","de",60.5281138570235
"75",2013-03-16,"ar","intraday","de",45.1215922939197
"76",2013-03-17,"ar","intraday","de",38.7037540205927
"77",2013-03-18,"ar","intraday","de",50.9379900566845
"78",2013-03-19,"ar","intraday","de",50.3330117526591
"79",2013-03-20,"ar","intraday","de",55.8273532207026
"80",2013-03-21,"ar","intraday","de",55.616587007264
"81",2013-03-22,"ar","intraday","de",61.0961447556202
"82",2013-03-23,"ar","intraday","de",36.5555215390836
"83",2013-03-24,"ar","intraday","de",26.9192185019293
"84",2013-03-25,"ar","intraday","de",43.3074954760856
"85",2013-03-26,"ar","intraday","de",46.2562757523486
"86",2013-03-27,"ar","intraday","de",50.8391829245755
"87",2013-03-28,"ar","intraday","de",53.6833832180453
"88",2013-03-29,"ar","intraday","de",52.7715113713218
"89",2013-03-30,"ar","intraday","de",28.7133700936939
"90",2013-03-31,"ar","intraday","de",26.617826609037
"91",2013-04-01,"ar","intraday","de",53.0495520046205
"92",2013-04-02,"ar","intraday","de",48.6127546537095
"93",2013-04-03,"ar","intraday","de",53.8139252260402
"94",2013-04-04,"ar","intraday","de",53.7955409936098
"95",2013-04-05,"ar","intraday","de",57.2188700500896
"96",2013-04-06,"ar","intraday","de",44.9606395455457
"97",2013-04-07,"ar","intraday","de",50.7676771900654
"98",2013-04-08,"ar","intraday","de",58.331275238275
"99",2013-04-09,"ar","intraday","de",62.9475047884052
"100",2013-04-10,"ar","intraday","de",57.3703300225956
"101",2013-04-11,"ar","intraday","de",68.5437284103673
"102",2013-04-12,"ar","intraday","de",66.1705660476939
"103",2013-04-13,"ar","intraday","de",45.0409441560749
"104",2013-04-14,"ar","intraday","de",39.520761336413
"105",2013-04-15,"ar","intraday","de",57.4053488834168
"106",2013-04-16,"ar","intraday","de",49.0601311635659
"107",2013-04-17,"ar","intraday","de",56.7456395985184
"108",2013-04-18,"ar","intraday","de",49.5286110456847
"109",2013-04-19,"ar","intraday","de",48.2187015113682
"110",2013-04-20,"ar","intraday","de",29.2735090943402
"111",2013-04-21,"ar","intraday","de",32.8203712694947
"112",2013-04-22,"ar","intraday","de",46.6537987205123
"113",2013-04-23,"ar","intraday","de",52.3459207830553
"114",2013-04-24,"ar","intraday","de",47.2278627787808
"115",2013-04-25,"ar","intraday","de",47.1387564846525
"116",2013-04-26,"ar","intraday","de",47.5818910542588
"117",2013-04-27,"ar","intraday","de",27.0096360482084
"118",2013-04-28,"ar","intraday","de",29.9785901055955
"119",2013-04-29,"ar","intraday","de",52.9220318365205
"120",2013-04-30,"ar","intraday","de",50.8731649173614
"121",2013-05-01,"ar","intraday","de",50.6902675829755
"122",2013-05-02,"ar","intraday","de",39.4561367704612
"123",2013-05-03,"ar","intraday","de",44.3951061526203
"124",2013-05-04,"ar","intraday","de",31.1142393606432
"125",2013-05-05,"ar","intraday","de",31.5940302183412
"126",2013-05-06,"ar","intraday","de",49.0905582699676
"127",2013-05-07,"ar","intraday","de",47.8129299024054
"128",2013-05-08,"ar","intraday","de",43.0146927855882
"129",2013-05-09,"ar","intraday","de",49.8909795142156
"130",2013-05-10,"ar","intraday","de",42.3740328151735
"131",2013-05-11,"ar","intraday","de",23.4235648396472
"132",2013-05-12,"ar","intraday","de",23.7615934215828
"133",2013-05-13,"ar","intraday","de",43.0181969361745
"134",2013-05-14,"ar","intraday","de",45.2124625865327
"135",2013-05-15,"ar","intraday","de",54.4377320518897
"136",2013-05-16,"ar","intraday","de",44.8803019357049
"137",2013-05-17,"ar","intraday","de",45.9721281931543
"138",2013-05-18,"ar","intraday","de",33.8888905657007
"139",2013-05-19,"ar","intraday","de",35.6298498720477
"140",2013-05-20,"ar","intraday","de",51.3020953930331
"141",2013-05-21,"ar","intraday","de",51.7242386885744
"142",2013-05-22,"ar","intraday","de",56.3762038420452
"143",2013-05-23,"ar","intraday","de",54.9524733704446
"144",2013-05-24,"ar","intraday","de",53.6931064040209
"145",2013-05-25,"ar","intraday","de",43.8796408566479
"146",2013-05-26,"ar","intraday","de",35.2918775933243
"147",2013-05-27,"ar","intraday","de",46.7420838548225
"148",2013-05-28,"ar","intraday","de",56.8920226321053
"149",2013-05-29,"ar","intraday","de",56.2699759074029
"150",2013-05-30,"ar","intraday","de",58.9001972676385
"151",2013-05-31,"ar","intraday","de",58.0358082121989
"152",2013-06-01,"ar","intraday","de",33.9521583043687
"153",2013-06-02,"ar","intraday","de",32.8490436588807
"154",2013-06-03,"ar","intraday","de",49.0585186631434
"155",2013-06-04,"ar","intraday","de",52.1655497712746
"156",2013-06-05,"ar","intraday","de",58.6301798100897
"157",2013-06-06,"ar","intraday","de",50.476292506657
"158",2013-06-07,"ar","intraday","de",48.928837768619
"159",2013-06-08,"ar","intraday","de",30.5155260150279
"160",2013-06-09,"ar","intraday","de",25.1735757503718
"161",2013-06-10,"ar","intraday","de",44.0810693105217
"162",2013-06-11,"ar","intraday","de",52.1770223290431
"163",2013-06-12,"ar","intraday","de",47.9659620495287
"164",2013-06-13,"ar","intraday","de",41.5407563974022
"165",2013-06-14,"ar","intraday","de",45.3924358971098
"166",2013-06-15,"ar","intraday","de",25.0861157887918
"167",2013-06-16,"ar","intraday","de",17.8968509926145
"168",2013-06-17,"ar","intraday","de",39.0019920351443
"169",2013-06-18,"ar","intraday","de",43.5245297392952
"170",2013-06-19,"ar","intraday","de",51.7634834246639
"171",2013-06-20,"ar","intraday","de",53.3377068666968
"172",2013-06-21,"ar","intraday","de",62.1346779404596
"173",2013-06-22,"ar","intraday","de",30.8504400893337
"174",2013-06-23,"ar","intraday","de",28.1342166748634
"175",2013-06-24,"ar","intraday","de",44.4189870467239
"176",2013-06-25,"ar","intraday","de",52.2659953791645
"177",2013-06-26,"ar","intraday","de",47.8672913434824
"178",2013-06-27,"ar","intraday","de",51.6991206274672
"179",2013-06-28,"ar","intraday","de",46.4727950743528
"180",2013-06-29,"ar","intraday","de",27.9576583260184
"181",2013-06-30,"ar","intraday","de",22.0863690902151
"182",2013-07-01,"ar","intraday","de",42.4496586971228
"183",2013-07-02,"ar","intraday","de",44.7524411761354
"184",2013-07-03,"ar","intraday","de",43.7843157493541
"185",2013-07-04,"ar","intraday","de",52.2204770076527
"186",2013-07-05,"ar","intraday","de",50.6354812618477
"187",2013-07-06,"ar","intraday","de",27.4786079728401
"188",2013-07-07,"ar","intraday","de",29.2786558813288
"189",2013-07-08,"ar","intraday","de",47.7216757350496
"190",2013-07-09,"ar","intraday","de",42.9586293239216
"191",2013-07-10,"ar","intraday","de",56.3105125126791
"192",2013-07-11,"ar","intraday","de",49.917047852174
"193",2013-07-12,"ar","intraday","de",45.6625410801779
"194",2013-07-13,"ar","intraday","de",27.4536582737423
"195",2013-07-14,"ar","intraday","de",25.7190236536924
"196",2013-07-15,"ar","intraday","de",46.385076184142
"197",2013-07-16,"ar","intraday","de",54.4725654583589
"198",2013-07-17,"ar","intraday","de",53.3095201354212
"199",2013-07-18,"ar","intraday","de",50.5929898494349
"200",2013-07-19,"ar","intraday","de",48.549263159482
"201",2013-07-20,"ar","intraday","de",27.9087734165892
"202",2013-07-21,"ar","intraday","de",30.9522301254908
"203",2013-07-22,"ar","intraday","de",47.8428006455359
"204",2013-07-23,"ar","intraday","de",53.1357517056719
"205",2013-07-24,"ar","intraday","de",54.9997111638986
"206",2013-07-25,"ar","intraday","de",55.6611134359047
"207",2013-07-26,"ar","intraday","de",54.3164210806114
"208",2013-07-27,"ar","intraday","de",32.5818435306423
"209",2013-07-28,"ar","intraday","de",31.1568651519891
"210",2013-07-29,"ar","intraday","de",49.9715094633678
"211",2013-07-30,"ar","intraday","de",53.6500854850047
"212",2013-07-31,"ar","intraday","de",49.4805737985679
"213",2013-08-01,"ar","intraday","de",48.4324621031128
"214",2013-08-02,"ar","intraday","de",46.8287482185033
"215",2013-08-03,"ar","intraday","de",29.5763014946872
"216",2013-08-04,"ar","intraday","de",29.6110771414331
"217",2013-08-05,"ar","intraday","de",52.0636052085732
"218",2013-08-06,"ar","intraday","de",47.5369997314857
"219",2013-08-07,"ar","intraday","de",46.8668502069908
"220",2013-08-08,"ar","intraday","de",50.9502364741861
"221",2013-08-09,"ar","intraday","de",52.0996195887314
"222",2013-08-10,"ar","intraday","de",34.4441546746634
"223",2013-08-11,"ar","intraday","de",30.7051231462745
"224",2013-08-12,"ar","intraday","de",44.780953712652
"225",2013-08-13,"ar","intraday","de",45.523715369879
"226",2013-08-14,"ar","intraday","de",47.1185466521308
"227",2013-08-15,"ar","intraday","de",44.9772987195768
"228",2013-08-16,"ar","intraday","de",44.6372486535068
"229",2013-08-17,"ar","intraday","de",23.6112050316782
"230",2013-08-18,"ar","intraday","de",26.0042122548127
"231",2013-08-19,"ar","intraday","de",46.4234912279408
"232",2013-08-20,"ar","intraday","de",56.8255057506957
"233",2013-08-21,"ar","intraday","de",51.7065113694029
"234",2013-08-22,"ar","intraday","de",50.0040083037048
"235",2013-08-23,"ar","intraday","de",50.7543977198883
"236",2013-08-24,"ar","intraday","de",34.8566836563479
"237",2013-08-25,"ar","intraday","de",28.584880109061
"238",2013-08-26,"ar","intraday","de",57.9801730921766
"239",2013-08-27,"ar","intraday","de",51.0677408114036
"240",2013-08-28,"ar","intraday","de",55.6739195484731
"241",2013-08-29,"ar","intraday","de",62.9975233882803
"242",2013-08-30,"ar","intraday","de",62.3365326494237
"243",2013-08-31,"ar","intraday","de",36.2942651494507
"244",2013-09-01,"ar","intraday","de",36.4656908679562
"245",2013-09-02,"ar","intraday","de",52.6895895040703
"246",2013-09-03,"ar","intraday","de",52.3014403533807
"247",2013-09-04,"ar","intraday","de",63.4205835042451
"248",2013-09-05,"ar","intraday","de",67.1674268040112
"249",2013-09-06,"ar","intraday","de",57.2365673287548
"250",2013-09-07,"ar","intraday","de",36.2632404102868
"251",2013-09-08,"ar","intraday","de",37.2164759662478
"252",2013-09-09,"ar","intraday","de",49.1732192597926
"253",2013-09-10,"ar","intraday","de",55.8200925344995
"254",2013-09-11,"ar","intraday","de",59.9150678730221
"255",2013-09-12,"ar","intraday","de",53.2387760604921
"256",2013-09-13,"ar","intraday","de",61.2999964559922
"257",2013-09-14,"ar","intraday","de",40.7281128510435
"258",2013-09-15,"ar","intraday","de",35.3227149065321
