,date,type,market,country,forecast
1,2013-01-01,esc2,intraday,de,27.45859008
2,2013-01-02,esc2,intraday,de,35.38651684
3,2013-01-03,esc2,intraday,de,33.97483572
4,2013-01-04,esc2,intraday,de,37.61571281
5,2013-01-05,esc2,intraday,de,23.66772137
6,2013-01-06,esc2,intraday,de,25.72725763
7,2013-01-07,esc2,intraday,de,35.86706042
8,2013-01-08,esc2,intraday,de,41.43927753
9,2013-01-09,esc2,intraday,de,49.89218362
10,2013-01-10,esc2,intraday,de,48.2785621
11,2013-01-11,esc2,intraday,de,49.3612386
12,2013-01-12,esc2,intraday,de,34.79894735
13,2013-01-13,esc2,intraday,de,39.851
14,2013-01-14,esc2,intraday,de,54.85715405
15,2013-01-15,esc2,intraday,de,56.19041553
16,2013-01-16,esc2,intraday,de,63.04388888
17,2013-01-17,esc2,intraday,de,55.84058711
18,2013-01-18,esc2,intraday,de,60.8885091
19,2013-01-19,esc2,intraday,de,41.97008919
20,2013-01-20,esc2,intraday,de,43.15124019
21,2013-01-21,esc2,intraday,de,60.70754074
22,2013-01-22,esc2,intraday,de,64.97546171
23,2013-01-23,esc2,intraday,de,55.64963156
24,2013-01-24,esc2,intraday,de,59.57174384
25,2013-01-25,esc2,intraday,de,59.33026205
26,2013-01-26,esc2,intraday,de,49.26989173
27,2013-01-27,esc2,intraday,de,43.32893123
28,2013-01-28,esc2,intraday,de,55.87260746
29,2013-01-29,esc2,intraday,de,54.34244172
30,2013-01-30,esc2,intraday,de,56.1108679
31,2013-01-31,esc2,intraday,de,53.80521224
32,2013-02-01,esc2,intraday,de,52.03159496
33,2013-02-02,esc2,intraday,de,31.88012701
34,2013-02-03,esc2,intraday,de,31.11752989
35,2013-02-04,esc2,intraday,de,54.40905118
36,2013-02-05,esc2,intraday,de,45.57412139
37,2013-02-06,esc2,intraday,de,47.86676968
38,2013-02-07,esc2,intraday,de,53.10085688
39,2013-02-08,esc2,intraday,de,50.041
40,2013-02-09,esc2,intraday,de,35.47142158
41,2013-02-10,esc2,intraday,de,36.37258779
42,2013-02-11,esc2,intraday,de,50.40070486
43,2013-02-12,esc2,intraday,de,46.61792788
44,2013-02-13,esc2,intraday,de,49.705294
45,2013-02-14,esc2,intraday,de,53.88319816
46,2013-02-15,esc2,intraday,de,53.42966653
