"","date","type","market","country","forecast"
"1",2013-01-01,"ar","spot","de",39.1685041520417
"2",2013-01-02,"ar","spot","de",38.5584539959839
"3",2013-01-03,"ar","spot","de",45.9081390675951
"4",2013-01-04,"ar","spot","de",44.6731814339629
"5",2013-01-05,"ar","spot","de",25.3942594109331
"6",2013-01-06,"ar","spot","de",26.7121378172779
"7",2013-01-07,"ar","spot","de",46.6453755597654
"8",2013-01-08,"ar","spot","de",53.4466301165294
"9",2013-01-09,"ar","spot","de",56.1948730625871
"10",2013-01-10,"ar","spot","de",54.9076242073706
"11",2013-01-11,"ar","spot","de",53.9677747558897
"12",2013-01-12,"ar","spot","de",41.6388122043104
"13",2013-01-13,"ar","spot","de",40.8543367760514
"14",2013-01-14,"ar","spot","de",61.5410308456007
"15",2013-01-15,"ar","spot","de",60.8825648004874
"16",2013-01-16,"ar","spot","de",61.8431921179996
"17",2013-01-17,"ar","spot","de",62.8700827115311
"18",2013-01-18,"ar","spot","de",63.8697453930773
"19",2013-01-19,"ar","spot","de",47.2075969676119
"20",2013-01-20,"ar","spot","de",41.5728809280147
"21",2013-01-21,"ar","spot","de",59.561242974961
"22",2013-01-22,"ar","spot","de",58.8427246007836
"23",2013-01-23,"ar","spot","de",63.0392765860713
"24",2013-01-24,"ar","spot","de",62.5498387489344
"25",2013-01-25,"ar","spot","de",66.317070099558
"26",2013-01-26,"ar","spot","de",47.6464729229725
"27",2013-01-27,"ar","spot","de",43.1925051463912
"28",2013-01-28,"ar","spot","de",57.5741985091827
"29",2013-01-29,"ar","spot","de",58.2525845868429
"30",2013-01-30,"ar","spot","de",55.4658421139374
"31",2013-01-31,"ar","spot","de",52.8873861033093
"32",2013-02-01,"ar","spot","de",49.3302210014592
"33",2013-02-02,"ar","spot","de",28.3204475782917
"34",2013-02-03,"ar","spot","de",31.5236388479946
"35",2013-02-04,"ar","spot","de",54.1055631675057
"36",2013-02-05,"ar","spot","de",47.9276168553549
"37",2013-02-06,"ar","spot","de",45.5256575199349
"38",2013-02-07,"ar","spot","de",48.3945816705846
"39",2013-02-08,"ar","spot","de",50.9915830496978
"40",2013-02-09,"ar","spot","de",40.4729841966548
"41",2013-02-10,"ar","spot","de",40.3182801608388
"42",2013-02-11,"ar","spot","de",54.6778101283565
