"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","spot","de",37.2830487530275
"2",2013-01-02,"svm_polynomial","spot","de",38.2568329223801
"3",2013-01-03,"svm_polynomial","spot","de",46.1761118364797
"4",2013-01-04,"svm_polynomial","spot","de",44.2529627984147
"5",2013-01-05,"svm_polynomial","spot","de",21.0815892445183
"6",2013-01-06,"svm_polynomial","spot","de",25.9106969795375
"7",2013-01-07,"svm_polynomial","spot","de",47.9115257647743
"8",2013-01-08,"svm_polynomial","spot","de",53.7112784098705
"9",2013-01-09,"svm_polynomial","spot","de",56.0145285210343
"10",2013-01-10,"svm_polynomial","spot","de",56.1880286895288
"11",2013-01-11,"svm_polynomial","spot","de",50.7109103014536
"12",2013-01-12,"svm_polynomial","spot","de",38.5364273152717
"13",2013-01-13,"svm_polynomial","spot","de",39.0254422433177
"14",2013-01-14,"svm_polynomial","spot","de",62.1774524466772
"15",2013-01-15,"svm_polynomial","spot","de",58.7807608613343
"16",2013-01-16,"svm_polynomial","spot","de",61.450452449583
"17",2013-01-17,"svm_polynomial","spot","de",61.189476961751
"18",2013-01-18,"svm_polynomial","spot","de",66.6948858474428
"19",2013-01-19,"svm_polynomial","spot","de",41.3332203104349
"20",2013-01-20,"svm_polynomial","spot","de",40.9413934785681
"21",2013-01-21,"svm_polynomial","spot","de",57.5885202424611
"22",2013-01-22,"svm_polynomial","spot","de",59.0348806056878
"23",2013-01-23,"svm_polynomial","spot","de",67.9772257071819
"24",2013-01-24,"svm_polynomial","spot","de",61.9918988603133
"25",2013-01-25,"svm_polynomial","spot","de",67.4343467620178
"26",2013-01-26,"svm_polynomial","spot","de",43.827872409707
"27",2013-01-27,"svm_polynomial","spot","de",39.9278247499179
"28",2013-01-28,"svm_polynomial","spot","de",57.8134856290023
"29",2013-01-29,"svm_polynomial","spot","de",58.9701804209913
"30",2013-01-30,"svm_polynomial","spot","de",55.7634356577005
"31",2013-01-31,"svm_polynomial","spot","de",50.3551133514803
"32",2013-02-01,"svm_polynomial","spot","de",53.5002063605154
"33",2013-02-02,"svm_polynomial","spot","de",22.1397728842969
"34",2013-02-03,"svm_polynomial","spot","de",31.6286651556582
"35",2013-02-04,"svm_polynomial","spot","de",58.5694897142893
"36",2013-02-05,"svm_polynomial","spot","de",50.0783756918121
