"","date","type","market","country","forecast"
"1",2013-01-01,"ar","intraday","fr",35.1439050774606
"2",2013-01-02,"ar","intraday","fr",31.1943144657229
"3",2013-01-03,"ar","intraday","fr",37.3728163471822
"4",2013-01-04,"ar","intraday","fr",46.1950267657946
"5",2013-01-05,"ar","intraday","fr",28.4750183192256
"6",2013-01-06,"ar","intraday","fr",30.4675949470182
"7",2013-01-07,"ar","intraday","fr",49.8865571829466
"8",2013-01-08,"ar","intraday","fr",56.4421809677499
"9",2013-01-09,"ar","intraday","fr",57.2641708904141
"10",2013-01-10,"ar","intraday","fr",66.3378139103614
"11",2013-01-11,"ar","intraday","fr",63.4148319468152
"12",2013-01-12,"ar","intraday","fr",45.1240272075059
"13",2013-01-13,"ar","intraday","fr",46.5058356174383
"14",2013-01-14,"ar","intraday","fr",69.4027242958204
"15",2013-01-15,"ar","intraday","fr",66.5840555988012
"16",2013-01-16,"ar","intraday","fr",71.0399099330516
"17",2013-01-17,"ar","intraday","fr",70.5007920373195
"18",2013-01-18,"ar","intraday","fr",79.2340878904891
"19",2013-01-19,"ar","intraday","fr",51.9535432452984
"20",2013-01-20,"ar","intraday","fr",57.3299131229147
"21",2013-01-21,"ar","intraday","fr",76.050028619779
"22",2013-01-22,"ar","intraday","fr",80.6016846222017
"23",2013-01-23,"ar","intraday","fr",80.8432128119579
"24",2013-01-24,"ar","intraday","fr",80.1855998361096
"25",2013-01-25,"ar","intraday","fr",77.6115833887819
"26",2013-01-26,"ar","intraday","fr",55.5677488147146
"27",2013-01-27,"ar","intraday","fr",52.7438663548765
"28",2013-01-28,"ar","intraday","fr",72.6263798907673
"29",2013-01-29,"ar","intraday","fr",71.6929557153524
"30",2013-01-30,"ar","intraday","fr",66.4473184183128
"31",2013-01-31,"ar","intraday","fr",61.8361514151362
"32",2013-02-01,"ar","intraday","fr",62.4377937626201
"33",2013-02-02,"ar","intraday","fr",35.8165035917284
"34",2013-02-03,"ar","intraday","fr",37.090832260385
"35",2013-02-04,"ar","intraday","fr",65.1631206908981
"36",2013-02-05,"ar","intraday","fr",63.8103743789128
"37",2013-02-06,"ar","intraday","fr",63.1902712227849
"38",2013-02-07,"ar","intraday","fr",68.2304125303195
"39",2013-02-08,"ar","intraday","fr",72.4894863490508
"40",2013-02-09,"ar","intraday","fr",42.1557945581741
"41",2013-02-10,"ar","intraday","fr",56.024729616814
"42",2013-02-11,"ar","intraday","fr",65.5920725856696
"43",2013-02-12,"ar","intraday","fr",71.3876906584187
"44",2013-02-13,"ar","intraday","fr",69.2244652944829
"45",2013-02-14,"ar","intraday","fr",70.5217980401049
"46",2013-02-15,"ar","intraday","fr",68.1496694922773
"47",2013-02-16,"ar","intraday","fr",50.5299398075496
"48",2013-02-17,"ar","intraday","fr",51.0766482935798
"49",2013-02-18,"ar","intraday","fr",72.8571109172493
"50",2013-02-19,"ar","intraday","fr",70.6633429914092
"51",2013-02-20,"ar","intraday","fr",68.7348385666156
"52",2013-02-21,"ar","intraday","fr",68.2176833293792
"53",2013-02-22,"ar","intraday","fr",69.4202839876357
"54",2013-02-23,"ar","intraday","fr",46.5057986114983
"55",2013-02-24,"ar","intraday","fr",57.0726035484226
"56",2013-02-25,"ar","intraday","fr",74.7502579510755
"57",2013-02-26,"ar","intraday","fr",80.7104256197874
"58",2013-02-27,"ar","intraday","fr",82.6355634121108
"59",2013-02-28,"ar","intraday","fr",84.5247045303145
"60",2013-03-01,"ar","intraday","fr",84.4237261303209
"61",2013-03-02,"ar","intraday","fr",72.9381107340392
"62",2013-03-03,"ar","intraday","fr",63.4845439972611
"63",2013-03-04,"ar","intraday","fr",89.5594065854731
"64",2013-03-05,"ar","intraday","fr",92.6604544032192
"65",2013-03-06,"ar","intraday","fr",78.8876466065801
"66",2013-03-07,"ar","intraday","fr",72.5608231811342
"67",2013-03-08,"ar","intraday","fr",73.0129568046327
"68",2013-03-09,"ar","intraday","fr",39.427766207631
"69",2013-03-10,"ar","intraday","fr",47.7810939629046
"70",2013-03-11,"ar","intraday","fr",63.3290830606461
"71",2013-03-12,"ar","intraday","fr",68.4901769643375
"72",2013-03-13,"ar","intraday","fr",66.4562957460315
"73",2013-03-14,"ar","intraday","fr",89.8511623955201
"74",2013-03-15,"ar","intraday","fr",90.3663688951401
"75",2013-03-16,"ar","intraday","fr",79.1335659579777
"76",2013-03-17,"ar","intraday","fr",60.1698144045526
"77",2013-03-18,"ar","intraday","fr",73.7380918610118
"78",2013-03-19,"ar","intraday","fr",92.7699226947948
"79",2013-03-20,"ar","intraday","fr",81.797703245764
"80",2013-03-21,"ar","intraday","fr",79.3487749740296
"81",2013-03-22,"ar","intraday","fr",85.0565248761747
"82",2013-03-23,"ar","intraday","fr",47.2628536309434
"83",2013-03-24,"ar","intraday","fr",49.6577178795157
"84",2013-03-25,"ar","intraday","fr",85.0743236733332
"85",2013-03-26,"ar","intraday","fr",75.5191844082216
"86",2013-03-27,"ar","intraday","fr",73.9042894780868
"87",2013-03-28,"ar","intraday","fr",83.6797458365317
"88",2013-03-29,"ar","intraday","fr",110.628499228294
"89",2013-03-30,"ar","intraday","fr",63.7864824482658
"90",2013-03-31,"ar","intraday","fr",69.5939495895149
"91",2013-04-01,"ar","intraday","fr",73.27136052014
"92",2013-04-02,"ar","intraday","fr",52.3232958387594
"93",2013-04-03,"ar","intraday","fr",90.8977692395463
"94",2013-04-04,"ar","intraday","fr",104.235131001311
"95",2013-04-05,"ar","intraday","fr",95.0525619470339
"96",2013-04-06,"ar","intraday","fr",75.6129485096559
"97",2013-04-07,"ar","intraday","fr",71.8574725756144
"98",2013-04-08,"ar","intraday","fr",93.1450177401941
"99",2013-04-09,"ar","intraday","fr",122.770345128183
"100",2013-04-10,"ar","intraday","fr",99.0596130773459
"101",2013-04-11,"ar","intraday","fr",116.626133689824
"102",2013-04-12,"ar","intraday","fr",100.097233014745
"103",2013-04-13,"ar","intraday","fr",68.2870746114686
"104",2013-04-14,"ar","intraday","fr",52.0950330751005
"105",2013-04-15,"ar","intraday","fr",69.488043137376
"106",2013-04-16,"ar","intraday","fr",67.4185282638614
"107",2013-04-17,"ar","intraday","fr",67.6679346090459
"108",2013-04-18,"ar","intraday","fr",58.4130602722253
"109",2013-04-19,"ar","intraday","fr",55.1562773890897
"110",2013-04-20,"ar","intraday","fr",24.1581177429271
"111",2013-04-21,"ar","intraday","fr",32.7562410869475
"112",2013-04-22,"ar","intraday","fr",52.5460167828567
"113",2013-04-23,"ar","intraday","fr",68.6582637514146
"114",2013-04-24,"ar","intraday","fr",60.1709120132765
"115",2013-04-25,"ar","intraday","fr",63.8449223863419
"116",2013-04-26,"ar","intraday","fr",49.8899105661688
"117",2013-04-27,"ar","intraday","fr",20.1845422082808
"118",2013-04-28,"ar","intraday","fr",27.1578994486778
"119",2013-04-29,"ar","intraday","fr",55.6121020207334
"120",2013-04-30,"ar","intraday","fr",61.8544285625068
"121",2013-05-01,"ar","intraday","fr",51.6673692407795
"122",2013-05-02,"ar","intraday","fr",37.0264239300123
"123",2013-05-03,"ar","intraday","fr",45.4798735605122
"124",2013-05-04,"ar","intraday","fr",20.8689918583351
"125",2013-05-05,"ar","intraday","fr",28.6366135858248
"126",2013-05-06,"ar","intraday","fr",46.0876478585298
"127",2013-05-07,"ar","intraday","fr",46.386949881012
"128",2013-05-08,"ar","intraday","fr",42.4052475859903
"129",2013-05-09,"ar","intraday","fr",45.1728738774671
"130",2013-05-10,"ar","intraday","fr",38.3034017142539
"131",2013-05-11,"ar","intraday","fr",13.8692509746767
"132",2013-05-12,"ar","intraday","fr",14.9895172852084
"133",2013-05-13,"ar","intraday","fr",42.4639695174941
"134",2013-05-14,"ar","intraday","fr",42.8788026531906
"135",2013-05-15,"ar","intraday","fr",51.6964115791451
"136",2013-05-16,"ar","intraday","fr",45.2234603498361
"137",2013-05-17,"ar","intraday","fr",49.9397506017857
"138",2013-05-18,"ar","intraday","fr",24.9129100789172
"139",2013-05-19,"ar","intraday","fr",30.7675413361941
"140",2013-05-20,"ar","intraday","fr",51.269507104151
"141",2013-05-21,"ar","intraday","fr",47.9602236206045
"142",2013-05-22,"ar","intraday","fr",52.7417177053495
"143",2013-05-23,"ar","intraday","fr",57.3540148490279
"144",2013-05-24,"ar","intraday","fr",57.7545707290314
"145",2013-05-25,"ar","intraday","fr",39.4051934319249
"146",2013-05-26,"ar","intraday","fr",30.9059333227499
"147",2013-05-27,"ar","intraday","fr",54.6532932008429
"148",2013-05-28,"ar","intraday","fr",54.9094435573475
"149",2013-05-29,"ar","intraday","fr",53.319471223513
"150",2013-05-30,"ar","intraday","fr",63.4263183021068
"151",2013-05-31,"ar","intraday","fr",69.9278930072615
"152",2013-06-01,"ar","intraday","fr",39.9086379115982
"153",2013-06-02,"ar","intraday","fr",38.8850871733288
"154",2013-06-03,"ar","intraday","fr",51.2263008300871
"155",2013-06-04,"ar","intraday","fr",50.6317172326075
"156",2013-06-05,"ar","intraday","fr",53.0547904976125
"157",2013-06-06,"ar","intraday","fr",53.9783091275278
"158",2013-06-07,"ar","intraday","fr",50.523835416716
"159",2013-06-08,"ar","intraday","fr",22.8913480768273
"160",2013-06-09,"ar","intraday","fr",19.0640417539255
"161",2013-06-10,"ar","intraday","fr",42.8144199850103
"162",2013-06-11,"ar","intraday","fr",50.6786331111046
"163",2013-06-12,"ar","intraday","fr",45.092267904239
"164",2013-06-13,"ar","intraday","fr",43.4276378448508
"165",2013-06-14,"ar","intraday","fr",41.4358234000726
"166",2013-06-15,"ar","intraday","fr",17.3223421206128
"167",2013-06-16,"ar","intraday","fr",17.7415537024924
"168",2013-06-17,"ar","intraday","fr",36.6504037523531
"169",2013-06-18,"ar","intraday","fr",41.7670744386778
"170",2013-06-19,"ar","intraday","fr",45.5543437513541
