"","date","type","market","country","forecast"
"1",2013-01-01,"arima","intraday","fr",32.5758959197271
"2",2013-01-02,"arima","intraday","fr",34.8248434664287
"3",2013-01-03,"arima","intraday","fr",39.9463076206455
"4",2013-01-04,"arima","intraday","fr",46.5524788284587
"5",2013-01-05,"arima","intraday","fr",35.4589487466064
"6",2013-01-06,"arima","intraday","fr",26.3409213107161
"7",2013-01-07,"arima","intraday","fr",57.3747196976228
"8",2013-01-08,"arima","intraday","fr",63.9124363647171
"9",2013-01-09,"arima","intraday","fr",66.6135016764867
"10",2013-01-10,"arima","intraday","fr",68.6159295820796
"11",2013-01-11,"arima","intraday","fr",64.7104895104793
"12",2013-01-12,"arima","intraday","fr",57.9772075482574
"13",2013-01-13,"arima","intraday","fr",47.7654445305177
"14",2013-01-14,"arima","intraday","fr",73.230067761438
"15",2013-01-15,"arima","intraday","fr",67.3512672373745
"16",2013-01-16,"arima","intraday","fr",78.961053488555
"17",2013-01-17,"arima","intraday","fr",71.1717867607999
"18",2013-01-18,"arima","intraday","fr",76.383553808335
"19",2013-01-19,"arima","intraday","fr",57.3517246149133
"20",2013-01-20,"arima","intraday","fr",54.3014116656196
"21",2013-01-21,"arima","intraday","fr",79.0557130724266
"22",2013-01-22,"arima","intraday","fr",78.0092922028024
"23",2013-01-23,"arima","intraday","fr",85.8836171813021
"24",2013-01-24,"arima","intraday","fr",77.330849133313
"25",2013-01-25,"arima","intraday","fr",73.962053671752
"26",2013-01-26,"arima","intraday","fr",60.623506581381
"27",2013-01-27,"arima","intraday","fr",48.6239041009636
"28",2013-01-28,"arima","intraday","fr",73.0401743912887
"29",2013-01-29,"arima","intraday","fr",67.1602354712828
"30",2013-01-30,"arima","intraday","fr",68.6402082894162
"31",2013-01-31,"arima","intraday","fr",58.4262440088852
"32",2013-02-01,"arima","intraday","fr",56.9336387227457
"33",2013-02-02,"arima","intraday","fr",38.0509596117145
"34",2013-02-03,"arima","intraday","fr",30.2547826248297
"35",2013-02-04,"arima","intraday","fr",66.357208866525
"36",2013-02-05,"arima","intraday","fr",58.7536737360396
"37",2013-02-06,"arima","intraday","fr",64.7395635661475
"38",2013-02-07,"arima","intraday","fr",67.5802033817256
"39",2013-02-08,"arima","intraday","fr",72.4129969985239
"40",2013-02-09,"arima","intraday","fr",46.3258521608021
"41",2013-02-10,"arima","intraday","fr",53.1424784746986
"42",2013-02-11,"arima","intraday","fr",70.1371322201503
"43",2013-02-12,"arima","intraday","fr",72.448040954746
"44",2013-02-13,"arima","intraday","fr",73.9832220154088
"45",2013-02-14,"arima","intraday","fr",70.2532075872311
"46",2013-02-15,"arima","intraday","fr",68.2264016261938
"47",2013-02-16,"arima","intraday","fr",56.686683594766
"48",2013-02-17,"arima","intraday","fr",49.2229223574173
"49",2013-02-18,"arima","intraday","fr",74.5344200734563
"50",2013-02-19,"arima","intraday","fr",69.324912972236
"51",2013-02-20,"arima","intraday","fr",72.941134320914
"52",2013-02-21,"arima","intraday","fr",67.5047763031562
"53",2013-02-22,"arima","intraday","fr",65.4990534786273
"54",2013-02-23,"arima","intraday","fr",51.0844793716174
"55",2013-02-24,"arima","intraday","fr",53.6898834530717
"56",2013-02-25,"arima","intraday","fr",75.835127654925
"57",2013-02-26,"arima","intraday","fr",79.4539154463372
"58",2013-02-27,"arima","intraday","fr",87.8207367216308
"59",2013-02-28,"arima","intraday","fr",85.7454450728642
"60",2013-03-01,"arima","intraday","fr",82.8223014683003
"61",2013-03-02,"arima","intraday","fr",81.0443277725128
"62",2013-03-03,"arima","intraday","fr",59.9632212245166
"63",2013-03-04,"arima","intraday","fr",92.9069908911708
"64",2013-03-05,"arima","intraday","fr",94.0538763497082
"65",2013-03-06,"arima","intraday","fr",81.5506691039789
"66",2013-03-07,"arima","intraday","fr",69.4119111316982
"67",2013-03-08,"arima","intraday","fr",70.1237603041999
"68",2013-03-09,"arima","intraday","fr",46.6240017601385
"69",2013-03-10,"arima","intraday","fr",41.8005096316564
"70",2013-03-11,"arima","intraday","fr",61.8587975134735
"71",2013-03-12,"arima","intraday","fr",68.0766723002732
"72",2013-03-13,"arima","intraday","fr",72.5258331862258
"73",2013-03-14,"arima","intraday","fr",92.4271515704179
"74",2013-03-15,"arima","intraday","fr",89.087348321366
"75",2013-03-16,"arima","intraday","fr",87.2659205626588
"76",2013-03-17,"arima","intraday","fr",54.1911780678335
"77",2013-03-18,"arima","intraday","fr",79.3845697116564
"78",2013-03-19,"arima","intraday","fr",98.7599418983237
"79",2013-03-20,"arima","intraday","fr",82.4568120518139
"80",2013-03-21,"arima","intraday","fr",72.6880920995258
"81",2013-03-22,"arima","intraday","fr",80.7916114777815
"82",2013-03-23,"arima","intraday","fr",54.3709979753601
"83",2013-03-24,"arima","intraday","fr",47.4459713517418
"84",2013-03-25,"arima","intraday","fr",85.5793948839156
"85",2013-03-26,"arima","intraday","fr",70.5826372920572
"86",2013-03-27,"arima","intraday","fr",79.2153551647
"87",2013-03-28,"arima","intraday","fr",84.6870523889296
"88",2013-03-29,"arima","intraday","fr",115.638922271525
"89",2013-03-30,"arima","intraday","fr",62.4886377289898
"90",2013-03-31,"arima","intraday","fr",64.4038372758246
"91",2013-04-01,"arima","intraday","fr",80.2413976044684
"92",2013-04-02,"arima","intraday","fr",46.869908988063
"93",2013-04-03,"arima","intraday","fr",102.700066942129
"94",2013-04-04,"arima","intraday","fr",104.122699537312
"95",2013-04-05,"arima","intraday","fr",81.5561035422717
"96",2013-04-06,"arima","intraday","fr",80.9043821993227
"97",2013-04-07,"arima","intraday","fr",78.939716465869
"98",2013-04-08,"arima","intraday","fr",101.624506988691
"99",2013-04-09,"arima","intraday","fr",115.427563554865
"100",2013-04-10,"arima","intraday","fr",100.674575084503
"101",2013-04-11,"arima","intraday","fr",119.216646762415
"102",2013-04-12,"arima","intraday","fr",98.9352175022581
"103",2013-04-13,"arima","intraday","fr",64.5189384758105
