,date,type,market,country,forecast
1,2013-01-01,esc4,intraday,fr,-1.5658
2,2013-01-02,esc4,intraday,fr,54.593
3,2013-01-03,esc4,intraday,fr,52.454
4,2013-01-04,esc4,intraday,fr,48.067
5,2013-01-05,esc4,intraday,fr,29.514
6,2013-01-06,esc4,intraday,fr,21.206
7,2013-01-07,esc4,intraday,fr,48.779
8,2013-01-08,esc4,intraday,fr,56.271
9,2013-01-09,esc4,intraday,fr,52.6
10,2013-01-10,esc4,intraday,fr,62.371
11,2013-01-11,esc4,intraday,fr,59.529
12,2013-01-12,esc4,intraday,fr,55.62
13,2013-01-13,esc4,intraday,fr,43.879
14,2013-01-14,esc4,intraday,fr,71.097
15,2013-01-15,esc4,intraday,fr,55.651
16,2013-01-16,esc4,intraday,fr,76.432
17,2013-01-17,esc4,intraday,fr,79.146
18,2013-01-18,esc4,intraday,fr,79.244
19,2013-01-19,esc4,intraday,fr,51.074
20,2013-01-20,esc4,intraday,fr,52.402
21,2013-01-21,esc4,intraday,fr,77.053
22,2013-01-22,esc4,intraday,fr,75.483
23,2013-01-23,esc4,intraday,fr,82.384
24,2013-01-24,esc4,intraday,fr,78.332
25,2013-01-25,esc4,intraday,fr,75.717
26,2013-01-26,esc4,intraday,fr,53.728
27,2013-01-27,esc4,intraday,fr,40.039
28,2013-01-28,esc4,intraday,fr,68.391
29,2013-01-29,esc4,intraday,fr,59.703
30,2013-01-30,esc4,intraday,fr,56.051
31,2013-01-31,esc4,intraday,fr,57.129
32,2013-02-01,esc4,intraday,fr,55.58
33,2013-02-02,esc4,intraday,fr,41.13
34,2013-02-03,esc4,intraday,fr,37.802
35,2013-02-04,esc4,intraday,fr,57.801
36,2013-02-05,esc4,intraday,fr,58.954
37,2013-02-06,esc4,intraday,fr,64.306
38,2013-02-07,esc4,intraday,fr,75.513
39,2013-02-08,esc4,intraday,fr,84.007
40,2013-02-09,esc4,intraday,fr,46.437
41,2013-02-10,esc4,intraday,fr,47.274
42,2013-02-11,esc4,intraday,fr,61.79
43,2013-02-12,esc4,intraday,fr,67.557
44,2013-02-13,esc4,intraday,fr,71.111
45,2013-02-14,esc4,intraday,fr,65.8
46,2013-02-15,esc4,intraday,fr,59.044
47,2013-02-16,esc4,intraday,fr,66.97
48,2013-02-17,esc4,intraday,fr,42.323
49,2013-02-18,esc4,intraday,fr,71.643
50,2013-02-19,esc4,intraday,fr,64.028
51,2013-02-20,esc4,intraday,fr,58.236
52,2013-02-21,esc4,intraday,fr,76.855
53,2013-02-22,esc4,intraday,fr,71.851
54,2013-02-23,esc4,intraday,fr,55.616
