"","date","type","market","country","forecast"
"1",2013-01-01,"garch","intraday","fr",33.2626784184504
"2",2013-01-02,"garch","intraday","fr",31.5582028787854
"3",2013-01-03,"garch","intraday","fr",34.9525405218361
"4",2013-01-04,"garch","intraday","fr",43.8673182079784
"5",2013-01-05,"garch","intraday","fr",27.2224612213996
"6",2013-01-06,"garch","intraday","fr",29.3222764967025
"7",2013-01-07,"garch","intraday","fr",47.2867377714857
"8",2013-01-08,"garch","intraday","fr",52.632429136192
"9",2013-01-09,"garch","intraday","fr",55.8614930108322
"10",2013-01-10,"garch","intraday","fr",65.0680413350831
"11",2013-01-11,"garch","intraday","fr",61.8726884490564
"12",2013-01-12,"garch","intraday","fr",43.7192386350902
"13",2013-01-13,"garch","intraday","fr",44.1531693205838
"14",2013-01-14,"garch","intraday","fr",69.0627136529323
"15",2013-01-15,"garch","intraday","fr",65.4120811728706
"16",2013-01-16,"garch","intraday","fr",71.0326529100749
"17",2013-01-17,"garch","intraday","fr",68.9780423956384
"18",2013-01-18,"garch","intraday","fr",77.8627586319922
"19",2013-01-19,"garch","intraday","fr",51.6100266334718
"20",2013-01-20,"garch","intraday","fr",55.4794032284653
"21",2013-01-21,"garch","intraday","fr",74.1022058770599
"22",2013-01-22,"garch","intraday","fr",79.6790927361917
"23",2013-01-23,"garch","intraday","fr",79.5678279145817
"24",2013-01-24,"garch","intraday","fr",80.0938905788286
"25",2013-01-25,"garch","intraday","fr",76.6383703635186
"26",2013-01-26,"garch","intraday","fr",56.4567626647249
"27",2013-01-27,"garch","intraday","fr",51.917192130628
"28",2013-01-28,"garch","intraday","fr",72.7723659534066
"29",2013-01-29,"garch","intraday","fr",72.8742697606125
"30",2013-01-30,"garch","intraday","fr",67.3648205870828
"31",2013-01-31,"garch","intraday","fr",62.2715082289991
"32",2013-02-01,"garch","intraday","fr",63.4281885837776
"33",2013-02-02,"garch","intraday","fr",37.3398071326107
"34",2013-02-03,"garch","intraday","fr",36.6688083297591
"35",2013-02-04,"garch","intraday","fr",64.3825716203861
"36",2013-02-05,"garch","intraday","fr",63.4252965929716
"37",2013-02-06,"garch","intraday","fr",62.5162945938306
"38",2013-02-07,"garch","intraday","fr",67.00208785388
"39",2013-02-08,"garch","intraday","fr",70.0105051236457
"40",2013-02-09,"garch","intraday","fr",41.467714138279
"41",2013-02-10,"garch","intraday","fr",55.3015312012814
"42",2013-02-11,"garch","intraday","fr",64.7010147701857
"43",2013-02-12,"garch","intraday","fr",70.0917162262234
"44",2013-02-13,"garch","intraday","fr",69.4414754374135
"45",2013-02-14,"garch","intraday","fr",71.5654070319483
"46",2013-02-15,"garch","intraday","fr",65.8082425151662
"47",2013-02-16,"garch","intraday","fr",51.7557163204695
"48",2013-02-17,"garch","intraday","fr",49.2590503336922
"49",2013-02-18,"garch","intraday","fr",72.1457211573851
"50",2013-02-19,"garch","intraday","fr",70.0366458192798
"51",2013-02-20,"garch","intraday","fr",68.8878198790905
"52",2013-02-21,"garch","intraday","fr",67.7287901913538
"53",2013-02-22,"garch","intraday","fr",68.6449497144717
"54",2013-02-23,"garch","intraday","fr",47.1441537600107
"55",2013-02-24,"garch","intraday","fr",55.2726957414449
"56",2013-02-25,"garch","intraday","fr",74.1149908237492
"57",2013-02-26,"garch","intraday","fr",78.2719690217771
"58",2013-02-27,"garch","intraday","fr",81.7612163100533
"59",2013-02-28,"garch","intraday","fr",82.8334668302509
"60",2013-03-01,"garch","intraday","fr",81.6389424940754
"61",2013-03-02,"garch","intraday","fr",72.7309784433762
"62",2013-03-03,"garch","intraday","fr",62.6925510372824
"63",2013-03-04,"garch","intraday","fr",87.8944762411721
"64",2013-03-05,"garch","intraday","fr",92.1987673634038
"65",2013-03-06,"garch","intraday","fr",80.557925690888
"66",2013-03-07,"garch","intraday","fr",73.6974422202784
"67",2013-03-08,"garch","intraday","fr",76.3702431048753
"68",2013-03-09,"garch","intraday","fr",42.052590150775
"69",2013-03-10,"garch","intraday","fr",47.9810030174793
"70",2013-03-11,"garch","intraday","fr",66.439150494066
"71",2013-03-12,"garch","intraday","fr",67.2891613879886
"72",2013-03-13,"garch","intraday","fr",65.2479487515443
"73",2013-03-14,"garch","intraday","fr",86.0063610931012
"74",2013-03-15,"garch","intraday","fr",84.943297638934
"75",2013-03-16,"garch","intraday","fr",74.4054303860145
"76",2013-03-17,"garch","intraday","fr",55.8877066080602
"77",2013-03-18,"garch","intraday","fr",75.7296002808938
"78",2013-03-19,"garch","intraday","fr",90.0290804443428
"79",2013-03-20,"garch","intraday","fr",84.5362169378977
"80",2013-03-21,"garch","intraday","fr",80.4923298742308
"81",2013-03-22,"garch","intraday","fr",89.1729386453407
"82",2013-03-23,"garch","intraday","fr",47.5630634051988
"83",2013-03-24,"garch","intraday","fr",47.2966660545257
"84",2013-03-25,"garch","intraday","fr",88.7501696377339
"85",2013-03-26,"garch","intraday","fr",74.2106236222204
"86",2013-03-27,"garch","intraday","fr",71.8417818608256
"87",2013-03-28,"garch","intraday","fr",83.5314169841615
"88",2013-03-29,"garch","intraday","fr",106.613839774752
"89",2013-03-30,"garch","intraday","fr",59.9780226153814
"90",2013-03-31,"garch","intraday","fr",65.7627306143522
"91",2013-04-01,"garch","intraday","fr",75.9849668107458
"92",2013-04-02,"garch","intraday","fr",55.2439381395868
"93",2013-04-03,"garch","intraday","fr",92.2044658808903
"94",2013-04-04,"garch","intraday","fr",110.83979482217
"95",2013-04-05,"garch","intraday","fr",89.3433238137576
"96",2013-04-06,"garch","intraday","fr",77.9442904371969
"97",2013-04-07,"garch","intraday","fr",70.4334680499591
"98",2013-04-08,"garch","intraday","fr",82.8105153287946
"99",2013-04-09,"garch","intraday","fr",126.091988588718
"100",2013-04-10,"garch","intraday","fr",104.053126350419
"101",2013-04-11,"garch","intraday","fr",108.58610219709
"102",2013-04-12,"garch","intraday","fr",104.453942639417
"103",2013-04-13,"garch","intraday","fr",70.0154173446956
"104",2013-04-14,"garch","intraday","fr",53.565463569281
"105",2013-04-15,"garch","intraday","fr",79.4558898811294
"106",2013-04-16,"garch","intraday","fr",69.5706837217324
"107",2013-04-17,"garch","intraday","fr",75.9035397227425
"108",2013-04-18,"garch","intraday","fr",61.1589224919026
"109",2013-04-19,"garch","intraday","fr",57.0273539868268
"110",2013-04-20,"garch","intraday","fr",25.9930216035762
"111",2013-04-21,"garch","intraday","fr",29.9050842966623
"112",2013-04-22,"garch","intraday","fr",52.6580665075801
"113",2013-04-23,"garch","intraday","fr",67.4113710729329
"114",2013-04-24,"garch","intraday","fr",57.3257911522679
"115",2013-04-25,"garch","intraday","fr",59.0555134864566
"116",2013-04-26,"garch","intraday","fr",48.9992925275584
"117",2013-04-27,"garch","intraday","fr",21.8407744145779
"118",2013-04-28,"garch","intraday","fr",24.6786819284238
"119",2013-04-29,"garch","intraday","fr",58.0159344149554
"120",2013-04-30,"garch","intraday","fr",60.1673100071228
"121",2013-05-01,"garch","intraday","fr",52.588999063333
"122",2013-05-02,"garch","intraday","fr",34.451809318122
"123",2013-05-03,"garch","intraday","fr",43.8233341249583
"124",2013-05-04,"garch","intraday","fr",22.5181481492231
"125",2013-05-05,"garch","intraday","fr",24.8936606596833
"126",2013-05-06,"garch","intraday","fr",48.7591657459445
"127",2013-05-07,"garch","intraday","fr",45.5138312417648
"128",2013-05-08,"garch","intraday","fr",36.6201811070307
"129",2013-05-09,"garch","intraday","fr",44.9525411088449
"130",2013-05-10,"garch","intraday","fr",38.546916570351
"131",2013-05-11,"garch","intraday","fr",14.358351355947
"132",2013-05-12,"garch","intraday","fr",13.1284889097082
"133",2013-05-13,"garch","intraday","fr",41.2934111898586
"134",2013-05-14,"garch","intraday","fr",41.9483062551268
