"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linear","spot","fr",33.5879912313897
"2",2013-01-02,"svm_linear","spot","fr",32.5680098845832
"3",2013-01-03,"svm_linear","spot","fr",43.2581189202966
"4",2013-01-04,"svm_linear","spot","fr",53.2197294924113
"5",2013-01-05,"svm_linear","spot","fr",29.8734150081193
"6",2013-01-06,"svm_linear","spot","fr",33.4727343166053
"7",2013-01-07,"svm_linear","spot","fr",56.2516596272034
"8",2013-01-08,"svm_linear","spot","fr",59.8708210304337
"9",2013-01-09,"svm_linear","spot","fr",65.2610565519078
"10",2013-01-10,"svm_linear","spot","fr",65.5832867676561
"11",2013-01-11,"svm_linear","spot","fr",64.3392756730066
"12",2013-01-12,"svm_linear","spot","fr",41.6834292037596
"13",2013-01-13,"svm_linear","spot","fr",43.2557045014308
"14",2013-01-14,"svm_linear","spot","fr",69.8012366270613
"15",2013-01-15,"svm_linear","spot","fr",66.4574044063486
"16",2013-01-16,"svm_linear","spot","fr",65.9711440116222
"17",2013-01-17,"svm_linear","spot","fr",71.297887859918
"18",2013-01-18,"svm_linear","spot","fr",79.7779338448126
"19",2013-01-19,"svm_linear","spot","fr",53.6860733552469
"20",2013-01-20,"svm_linear","spot","fr",53.5733302305044
"21",2013-01-21,"svm_linear","spot","fr",72.7429038242874
"22",2013-01-22,"svm_linear","spot","fr",70.6035645982929
"23",2013-01-23,"svm_linear","spot","fr",71.643900266437
"24",2013-01-24,"svm_linear","spot","fr",75.8355952794799
"25",2013-01-25,"svm_linear","spot","fr",72.7709222408709
"26",2013-01-26,"svm_linear","spot","fr",50.424381276664
"27",2013-01-27,"svm_linear","spot","fr",50.7221138597353
"28",2013-01-28,"svm_linear","spot","fr",70.4675227169553
"29",2013-01-29,"svm_linear","spot","fr",65.3055884205331
"30",2013-01-30,"svm_linear","spot","fr",68.2476483386053
"31",2013-01-31,"svm_linear","spot","fr",62.3225727466816
"32",2013-02-01,"svm_linear","spot","fr",60.6270526666393
"33",2013-02-02,"svm_linear","spot","fr",38.321519388061
"34",2013-02-03,"svm_linear","spot","fr",42.0870963076264
"35",2013-02-04,"svm_linear","spot","fr",64.2730995240956
"36",2013-02-05,"svm_linear","spot","fr",68.014667097686
"37",2013-02-06,"svm_linear","spot","fr",62.8559254210428
"38",2013-02-07,"svm_linear","spot","fr",62.3454723524064
"39",2013-02-08,"svm_linear","spot","fr",61.5776505387492
"40",2013-02-09,"svm_linear","spot","fr",43.0774174059246
"41",2013-02-10,"svm_linear","spot","fr",47.4454189529978
"42",2013-02-11,"svm_linear","spot","fr",72.3293027952211
"43",2013-02-12,"svm_linear","spot","fr",65.8749811262861
"44",2013-02-13,"svm_linear","spot","fr",65.4369136818568
"45",2013-02-14,"svm_linear","spot","fr",63.7064456915774
"46",2013-02-15,"svm_linear","spot","fr",68.5564227888916
"47",2013-02-16,"svm_linear","spot","fr",45.4378955655469
"48",2013-02-17,"svm_linear","spot","fr",53.4689918654074
"49",2013-02-18,"svm_linear","spot","fr",71.4696542786592
"50",2013-02-19,"svm_linear","spot","fr",68.5008877979818
"51",2013-02-20,"svm_linear","spot","fr",72.7731349435771
"52",2013-02-21,"svm_linear","spot","fr",71.3905148375753
"53",2013-02-22,"svm_linear","spot","fr",66.333544298299
"54",2013-02-23,"svm_linear","spot","fr",47.8955411489214
"55",2013-02-24,"svm_linear","spot","fr",54.2272254753482
"56",2013-02-25,"svm_linear","spot","fr",73.9078809106412
"57",2013-02-26,"svm_linear","spot","fr",80.26889512372
"58",2013-02-27,"svm_linear","spot","fr",75.6533402706785
"59",2013-02-28,"svm_linear","spot","fr",73.3377270527398
"60",2013-03-01,"svm_linear","spot","fr",71.8835808830898
"61",2013-03-02,"svm_linear","spot","fr",53.6766766048392
"62",2013-03-03,"svm_linear","spot","fr",54.005513041559
"63",2013-03-04,"svm_linear","spot","fr",77.3019030428221
"64",2013-03-05,"svm_linear","spot","fr",70.9246520896039
"65",2013-03-06,"svm_linear","spot","fr",75.6584600512385
"66",2013-03-07,"svm_linear","spot","fr",71.8444109040145
"67",2013-03-08,"svm_linear","spot","fr",67.4318331668841
"68",2013-03-09,"svm_linear","spot","fr",44.7236351888763
"69",2013-03-10,"svm_linear","spot","fr",42.6858246388654
"70",2013-03-11,"svm_linear","spot","fr",60.8644009893019
"71",2013-03-12,"svm_linear","spot","fr",64.2155374952983
"72",2013-03-13,"svm_linear","spot","fr",68.8918071106757
"73",2013-03-14,"svm_linear","spot","fr",74.39489978924
"74",2013-03-15,"svm_linear","spot","fr",80.7204789937311
"75",2013-03-16,"svm_linear","spot","fr",53.6662970323224
"76",2013-03-17,"svm_linear","spot","fr",51.5182907851743
"77",2013-03-18,"svm_linear","spot","fr",70.3353473651358
"78",2013-03-19,"svm_linear","spot","fr",68.3165521623601
"79",2013-03-20,"svm_linear","spot","fr",72.7339945212781
"80",2013-03-21,"svm_linear","spot","fr",77.6152480531256
"81",2013-03-22,"svm_linear","spot","fr",76.0546807978792
"82",2013-03-23,"svm_linear","spot","fr",57.9624273083488
"83",2013-03-24,"svm_linear","spot","fr",49.844957589553
"84",2013-03-25,"svm_linear","spot","fr",69.4545191324609
"85",2013-03-26,"svm_linear","spot","fr",75.9241071936676
"86",2013-03-27,"svm_linear","spot","fr",75.1144614410739
"87",2013-03-28,"svm_linear","spot","fr",80.4451294386236
"88",2013-03-29,"svm_linear","spot","fr",87.3257882913485
"89",2013-03-30,"svm_linear","spot","fr",51.3811159009952
"90",2013-03-31,"svm_linear","spot","fr",54.5362315997432
"91",2013-04-01,"svm_linear","spot","fr",72.8631005112813
"92",2013-04-02,"svm_linear","spot","fr",63.5297272506638
"93",2013-04-03,"svm_linear","spot","fr",82.0693929696648
"94",2013-04-04,"svm_linear","spot","fr",93.0101929816042
"95",2013-04-05,"svm_linear","spot","fr",78.8973883291953
"96",2013-04-06,"svm_linear","spot","fr",67.8116101166294
"97",2013-04-07,"svm_linear","spot","fr",60.6816813155487
"98",2013-04-08,"svm_linear","spot","fr",73.9397719819627
