"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","spot","fr",18.1579919320472
"2",2013-01-02,"svm_polynomial","spot","fr",25.7891293068463
"3",2013-01-03,"svm_polynomial","spot","fr",47.7304844301306
"4",2013-01-04,"svm_polynomial","spot","fr",60.5582582473345
"5",2013-01-05,"svm_polynomial","spot","fr",37.3231890777947
"6",2013-01-06,"svm_polynomial","spot","fr",42.4390557673087
"7",2013-01-07,"svm_polynomial","spot","fr",44.0557675060486
"8",2013-01-08,"svm_polynomial","spot","fr",56.1604239139651
"9",2013-01-09,"svm_polynomial","spot","fr",56.687230719178
"10",2013-01-10,"svm_polynomial","spot","fr",59.9699761058523
"11",2013-01-11,"svm_polynomial","spot","fr",55.0126674927496
"12",2013-01-12,"svm_polynomial","spot","fr",40.7106578137679
"13",2013-01-13,"svm_polynomial","spot","fr",41.9269005738644
"14",2013-01-14,"svm_polynomial","spot","fr",64.5617745718849
"15",2013-01-15,"svm_polynomial","spot","fr",59.195593123639
"16",2013-01-16,"svm_polynomial","spot","fr",63.7403851615284
"17",2013-01-17,"svm_polynomial","spot","fr",62.413610577277
"18",2013-01-18,"svm_polynomial","spot","fr",78.3405045095944
"19",2013-01-19,"svm_polynomial","spot","fr",46.8434108075932
"20",2013-01-20,"svm_polynomial","spot","fr",49.5256993053836
"21",2013-01-21,"svm_polynomial","spot","fr",59.5170327561468
"22",2013-01-22,"svm_polynomial","spot","fr",63.5372359142966
"23",2013-01-23,"svm_polynomial","spot","fr",65.9384531581089
"24",2013-01-24,"svm_polynomial","spot","fr",73.7149416061333
"25",2013-01-25,"svm_polynomial","spot","fr",75.1221972907297
"26",2013-01-26,"svm_polynomial","spot","fr",43.1970618851907
"27",2013-01-27,"svm_polynomial","spot","fr",47.8523757625033
"28",2013-01-28,"svm_polynomial","spot","fr",68.2383069272562
"29",2013-01-29,"svm_polynomial","spot","fr",63.9141670136855
"30",2013-01-30,"svm_polynomial","spot","fr",61.6065995889284
"31",2013-01-31,"svm_polynomial","spot","fr",57.5245402848944
"32",2013-02-01,"svm_polynomial","spot","fr",59.8205938172801
"33",2013-02-02,"svm_polynomial","spot","fr",36.04130676168
"34",2013-02-03,"svm_polynomial","spot","fr",37.4931434959968
"35",2013-02-04,"svm_polynomial","spot","fr",61.8642129168324
"36",2013-02-05,"svm_polynomial","spot","fr",63.0870206799079
"37",2013-02-06,"svm_polynomial","spot","fr",57.189555887412
"38",2013-02-07,"svm_polynomial","spot","fr",59.5659322077202
"39",2013-02-08,"svm_polynomial","spot","fr",59.4135245829441
"40",2013-02-09,"svm_polynomial","spot","fr",42.3439915166267
"41",2013-02-10,"svm_polynomial","spot","fr",43.5560560514913
"42",2013-02-11,"svm_polynomial","spot","fr",72.1206267870841
"43",2013-02-12,"svm_polynomial","spot","fr",59.9357056827081
"44",2013-02-13,"svm_polynomial","spot","fr",68.0078631064795
"45",2013-02-14,"svm_polynomial","spot","fr",63.3450003779584
"46",2013-02-15,"svm_polynomial","spot","fr",65.0093624161237
"47",2013-02-16,"svm_polynomial","spot","fr",39.4939080968046
"48",2013-02-17,"svm_polynomial","spot","fr",51.261412029819
"49",2013-02-18,"svm_polynomial","spot","fr",61.8496156836414
"50",2013-02-19,"svm_polynomial","spot","fr",65.0225131814296
"51",2013-02-20,"svm_polynomial","spot","fr",68.2549712172807
"52",2013-02-21,"svm_polynomial","spot","fr",66.0603847123989
"53",2013-02-22,"svm_polynomial","spot","fr",65.7910314055003
"54",2013-02-23,"svm_polynomial","spot","fr",42.5191381368914
"55",2013-02-24,"svm_polynomial","spot","fr",49.0305068538163
"56",2013-02-25,"svm_polynomial","spot","fr",71.8144797909927
"57",2013-02-26,"svm_polynomial","spot","fr",76.3257351548385
"58",2013-02-27,"svm_polynomial","spot","fr",64.6438300908836
"59",2013-02-28,"svm_polynomial","spot","fr",64.5211555195637
"60",2013-03-01,"svm_polynomial","spot","fr",61.1122673820429
"61",2013-03-02,"svm_polynomial","spot","fr",49.9999773965253
"62",2013-03-03,"svm_polynomial","spot","fr",42.4322088334268
"63",2013-03-04,"svm_polynomial","spot","fr",73.3919352252091
"64",2013-03-05,"svm_polynomial","spot","fr",69.5302596657807
"65",2013-03-06,"svm_polynomial","spot","fr",62.7339349800299
"66",2013-03-07,"svm_polynomial","spot","fr",64.6470904525083
"67",2013-03-08,"svm_polynomial","spot","fr",65.8917135812488
"68",2013-03-09,"svm_polynomial","spot","fr",37.6999468143229
"69",2013-03-10,"svm_polynomial","spot","fr",40.9321570855133
"70",2013-03-11,"svm_polynomial","spot","fr",53.265797759454
"71",2013-03-12,"svm_polynomial","spot","fr",56.7194409514875
"72",2013-03-13,"svm_polynomial","spot","fr",67.3494523949599
"73",2013-03-14,"svm_polynomial","spot","fr",73.7703143475465
"74",2013-03-15,"svm_polynomial","spot","fr",74.5262923530048
"75",2013-03-16,"svm_polynomial","spot","fr",51.1217783504623
"76",2013-03-17,"svm_polynomial","spot","fr",36.9349941977739
"77",2013-03-18,"svm_polynomial","spot","fr",61.2512240580502
"78",2013-03-19,"svm_polynomial","spot","fr",66.7655510120613
"79",2013-03-20,"svm_polynomial","spot","fr",75.7865054179361
"80",2013-03-21,"svm_polynomial","spot","fr",71.2673887416228
"81",2013-03-22,"svm_polynomial","spot","fr",52.4345558306238
