"","date","type","market","country","forecast"
"1",2013-01-01,"garch","intraday","de",9.15100696015654
"2",2013-01-02,"garch","intraday","de",4.95171228543886
"3",2013-01-03,"garch","intraday","de",10.7819272222045
"4",2013-01-04,"garch","intraday","de",10.7784649058432
"5",2013-01-05,"garch","intraday","de",10.3207624201235
"6",2013-01-06,"garch","intraday","de",8.0604730086357
"7",2013-01-07,"garch","intraday","de",10.536484462058
"8",2013-01-08,"garch","intraday","de",14.9320791628746
"9",2013-01-09,"garch","intraday","de",20.8713900605612
"10",2013-01-10,"garch","intraday","de",24.1765651759645
"11",2013-01-11,"garch","intraday","de",22.4716333102299
"12",2013-01-12,"garch","intraday","de",20.2971248572345
"13",2013-01-13,"garch","intraday","de",24.2525350312298
"14",2013-01-14,"garch","intraday","de",28.5588391480852
"15",2013-01-15,"garch","intraday","de",28.0477173205202
"16",2013-01-16,"garch","intraday","de",30.5923825819745
"17",2013-01-17,"garch","intraday","de",29.8557546812659
"18",2013-01-18,"garch","intraday","de",32.4927155432174
"19",2013-01-19,"garch","intraday","de",30.2591256377343
"20",2013-01-20,"garch","intraday","de",28.6305132540775
"21",2013-01-21,"garch","intraday","de",32.4412717199003
"22",2013-01-22,"garch","intraday","de",22.2047343166937
"23",2013-01-23,"garch","intraday","de",30.0660708728567
"24",2013-01-24,"garch","intraday","de",33.6891632554333
"25",2013-01-25,"garch","intraday","de",32.5812737126963
"26",2013-01-26,"garch","intraday","de",32.8917884650619
"27",2013-01-27,"garch","intraday","de",30.0169006170486
"28",2013-01-28,"garch","intraday","de",26.5838251423194
"29",2013-01-29,"garch","intraday","de",30.9117839250121
"30",2013-01-30,"garch","intraday","de",21.8069191283265
"31",2013-01-31,"garch","intraday","de",18.5017465410841
"32",2013-02-01,"garch","intraday","de",16.89360450366
"33",2013-02-02,"garch","intraday","de",16.8334071344823
"34",2013-02-03,"garch","intraday","de",23.3958007699575
"35",2013-02-04,"garch","intraday","de",29.7697905607857
"36",2013-02-05,"garch","intraday","de",25.2048275987604
"37",2013-02-06,"garch","intraday","de",15.0929719804237
"38",2013-02-07,"garch","intraday","de",20.2202762160421
"39",2013-02-08,"garch","intraday","de",25.8695947639438
"40",2013-02-09,"garch","intraday","de",25.0824472644227
"41",2013-02-10,"garch","intraday","de",29.2184248711383
"42",2013-02-11,"garch","intraday","de",29.1967235905441
"43",2013-02-12,"garch","intraday","de",25.3675213857697
"44",2013-02-13,"garch","intraday","de",29.5362855824815
"45",2013-02-14,"garch","intraday","de",34.5590605779474
"46",2013-02-15,"garch","intraday","de",29.9495662179365
"47",2013-02-16,"garch","intraday","de",31.95317466924
"48",2013-02-17,"garch","intraday","de",29.479578133891
"49",2013-02-18,"garch","intraday","de",30.6213812968766
"50",2013-02-19,"garch","intraday","de",32.5670955768586
"51",2013-02-20,"garch","intraday","de",30.1848133393346
"52",2013-02-21,"garch","intraday","de",31.1371306900017
"53",2013-02-22,"garch","intraday","de",35.282009110364
"54",2013-02-23,"garch","intraday","de",32.7406850077505
"55",2013-02-24,"garch","intraday","de",29.9431712965775
"56",2013-02-25,"garch","intraday","de",32.3338546154623
