,date,type,market,country,forecast
1,2013-01-01,esc2,spot,de,6.1745
2,2013-01-02,esc2,spot,de,5.6785
3,2013-01-03,esc2,spot,de,12.139
4,2013-01-04,esc2,spot,de,13.571
5,2013-01-05,esc2,spot,de,12.365
6,2013-01-06,esc2,spot,de,12.784
7,2013-01-07,esc2,spot,de,13.127
8,2013-01-08,esc2,spot,de,20.44
9,2013-01-09,esc2,spot,de,26.973
10,2013-01-10,esc2,spot,de,28.66
11,2013-01-11,esc2,spot,de,28.427
12,2013-01-12,esc2,spot,de,30.484
13,2013-01-13,esc2,spot,de,32.266
14,2013-01-14,esc2,spot,de,32.996
15,2013-01-15,esc2,spot,de,32.844
16,2013-01-16,esc2,spot,de,35.14
17,2013-01-17,esc2,spot,de,34.816
18,2013-01-18,esc2,spot,de,33.753
19,2013-01-19,esc2,spot,de,34.973
20,2013-01-20,esc2,spot,de,32.499
21,2013-01-21,esc2,spot,de,31.046
22,2013-01-22,esc2,spot,de,26.682
23,2013-01-23,esc2,spot,de,32.071
24,2013-01-24,esc2,spot,de,34.106
25,2013-01-25,esc2,spot,de,35.893
26,2013-01-26,esc2,spot,de,35.831
27,2013-01-27,esc2,spot,de,30.762
28,2013-01-28,esc2,spot,de,29.57
29,2013-01-29,esc2,spot,de,31.018
30,2013-01-30,esc2,spot,de,18.517
31,2013-01-31,esc2,spot,de,19.744
32,2013-02-01,esc2,spot,de,11.576
33,2013-02-02,esc2,spot,de,15.182
34,2013-02-03,esc2,spot,de,25.977
35,2013-02-04,esc2,spot,de,20.996
36,2013-02-05,esc2,spot,de,23.012
37,2013-02-06,esc2,spot,de,12.767
38,2013-02-07,esc2,spot,de,24.235
39,2013-02-08,esc2,spot,de,26.747
40,2013-02-09,esc2,spot,de,30.071
41,2013-02-10,esc2,spot,de,30.789
42,2013-02-11,esc2,spot,de,29.897
43,2013-02-12,esc2,spot,de,26.123
44,2013-02-13,esc2,spot,de,32.384
45,2013-02-14,esc2,spot,de,33.044
46,2013-02-15,esc2,spot,de,32.964
47,2013-02-16,esc2,spot,de,33.789
48,2013-02-17,esc2,spot,de,33.071
49,2013-02-18,esc2,spot,de,32.228
50,2013-02-19,esc2,spot,de,34.073
51,2013-02-20,esc2,spot,de,31.746
52,2013-02-21,esc2,spot,de,32.16
53,2013-02-22,esc2,spot,de,36.191
54,2013-02-23,esc2,spot,de,34.265
55,2013-02-24,esc2,spot,de,32.754
56,2013-02-25,esc2,spot,de,30.425
57,2013-02-26,esc2,spot,de,30.867
58,2013-02-27,esc2,spot,de,33.011
59,2013-02-28,esc2,spot,de,34.436
60,2013-03-01,esc2,spot,de,35.543
61,2013-03-02,esc2,spot,de,32.907
62,2013-03-03,esc2,spot,de,35.213
63,2013-03-04,esc2,spot,de,25.438
64,2013-03-05,esc2,spot,de,35.222
65,2013-03-06,esc2,spot,de,31.79
66,2013-03-07,esc2,spot,de,33.511
67,2013-03-08,esc2,spot,de,31.286
68,2013-03-09,esc2,spot,de,24.888
69,2013-03-10,esc2,spot,de,23.432
70,2013-03-11,esc2,spot,de,17.485
71,2013-03-12,esc2,spot,de,21.181
72,2013-03-13,esc2,spot,de,28.463
73,2013-03-14,esc2,spot,de,31.072
74,2013-03-15,esc2,spot,de,30.522
75,2013-03-16,esc2,spot,de,30.043
76,2013-03-17,esc2,spot,de,29.787
77,2013-03-18,esc2,spot,de,10.43
78,2013-03-19,esc2,spot,de,16.452
79,2013-03-20,esc2,spot,de,28.304
80,2013-03-21,esc2,spot,de,28.988
81,2013-03-22,esc2,spot,de,32.404
82,2013-03-23,esc2,spot,de,28.898
83,2013-03-24,esc2,spot,de,14.524
84,2013-03-25,esc2,spot,de,17.325
85,2013-03-26,esc2,spot,de,26.984
86,2013-03-27,esc2,spot,de,28.608
87,2013-03-28,esc2,spot,de,31.111
88,2013-03-29,esc2,spot,de,31.063
89,2013-03-30,esc2,spot,de,26.029
90,2013-03-31,esc2,spot,de,27.907
91,2013-04-01,esc2,spot,de,29.14
92,2013-04-02,esc2,spot,de,22.959
93,2013-04-03,esc2,spot,de,30.969
94,2013-04-04,esc2,spot,de,30.518
95,2013-04-05,esc2,spot,de,32.402
96,2013-04-06,esc2,spot,de,29.964
97,2013-04-07,esc2,spot,de,31.473
98,2013-04-08,esc2,spot,de,30.91
99,2013-04-09,esc2,spot,de,33.767
100,2013-04-10,esc2,spot,de,32.625
101,2013-04-11,esc2,spot,de,32.248
102,2013-04-12,esc2,spot,de,30.93
103,2013-04-13,esc2,spot,de,30.721
104,2013-04-14,esc2,spot,de,23.118
105,2013-04-15,esc2,spot,de,16.432
106,2013-04-16,esc2,spot,de,17.938
107,2013-04-17,esc2,spot,de,27.701
108,2013-04-18,esc2,spot,de,25.595
109,2013-04-19,esc2,spot,de,16.612
110,2013-04-20,esc2,spot,de,14.937
111,2013-04-21,esc2,spot,de,19.315
112,2013-04-22,esc2,spot,de,14.185
113,2013-04-23,esc2,spot,de,19.407
114,2013-04-24,esc2,spot,de,14.825
115,2013-04-25,esc2,spot,de,22.723
116,2013-04-26,esc2,spot,de,19.427
117,2013-04-27,esc2,spot,de,19.839
118,2013-04-28,esc2,spot,de,18.981
119,2013-04-29,esc2,spot,de,16.303
120,2013-04-30,esc2,spot,de,21.753
121,2013-05-01,esc2,spot,de,21.904
122,2013-05-02,esc2,spot,de,16.434
123,2013-05-03,esc2,spot,de,17.425
124,2013-05-04,esc2,spot,de,21.923
125,2013-05-05,esc2,spot,de,23.12
126,2013-05-06,esc2,spot,de,15.987
127,2013-05-07,esc2,spot,de,26.01
128,2013-05-08,esc2,spot,de,19.99
129,2013-05-09,esc2,spot,de,19.37
130,2013-05-10,esc2,spot,de,20.087
131,2013-05-11,esc2,spot,de,17.196
132,2013-05-12,esc2,spot,de,17.562
133,2013-05-13,esc2,spot,de,14.473
134,2013-05-14,esc2,spot,de,15.926
135,2013-05-15,esc2,spot,de,16.258
136,2013-05-16,esc2,spot,de,18.761
137,2013-05-17,esc2,spot,de,20.834
138,2013-05-18,esc2,spot,de,19.08
139,2013-05-19,esc2,spot,de,15.727
140,2013-05-20,esc2,spot,de,13.524
141,2013-05-21,esc2,spot,de,14.883
142,2013-05-22,esc2,spot,de,21.444
143,2013-05-23,esc2,spot,de,20.413
144,2013-05-24,esc2,spot,de,21.567
145,2013-05-25,esc2,spot,de,26.121
146,2013-05-26,esc2,spot,de,23.838
147,2013-05-27,esc2,spot,de,18.507
148,2013-05-28,esc2,spot,de,22.968
149,2013-05-29,esc2,spot,de,25.712
150,2013-05-30,esc2,spot,de,26.989
151,2013-05-31,esc2,spot,de,29.087
152,2013-06-01,esc2,spot,de,17.997
153,2013-06-02,esc2,spot,de,25.692
154,2013-06-03,esc2,spot,de,9.1155
155,2013-06-04,esc2,spot,de,13.332
156,2013-06-05,esc2,spot,de,27.413
157,2013-06-06,esc2,spot,de,24.563
158,2013-06-07,esc2,spot,de,24.965
159,2013-06-08,esc2,spot,de,20.726
160,2013-06-09,esc2,spot,de,18.856
161,2013-06-10,esc2,spot,de,12.8
162,2013-06-11,esc2,spot,de,16.866
163,2013-06-12,esc2,spot,de,19.322
164,2013-06-13,esc2,spot,de,19.952
165,2013-06-14,esc2,spot,de,14.533
166,2013-06-15,esc2,spot,de,14.5
167,2013-06-16,esc2,spot,de,17.981
168,2013-06-17,esc2,spot,de,6.5285
169,2013-06-18,esc2,spot,de,22.274
170,2013-06-19,esc2,spot,de,17.765
171,2013-06-20,esc2,spot,de,19.793
172,2013-06-21,esc2,spot,de,20.367
173,2013-06-22,esc2,spot,de,16.623
174,2013-06-23,esc2,spot,de,12.328
175,2013-06-24,esc2,spot,de,10.936
176,2013-06-25,esc2,spot,de,17.414
177,2013-06-26,esc2,spot,de,18.95
178,2013-06-27,esc2,spot,de,14.81
179,2013-06-28,esc2,spot,de,16.867
180,2013-06-29,esc2,spot,de,17.393
181,2013-06-30,esc2,spot,de,22
182,2013-07-01,esc2,spot,de,14.796
183,2013-07-02,esc2,spot,de,18.081
184,2013-07-03,esc2,spot,de,22.057
185,2013-07-04,esc2,spot,de,19.402
186,2013-07-05,esc2,spot,de,25.155
187,2013-07-06,esc2,spot,de,22.426
188,2013-07-07,esc2,spot,de,21.437
189,2013-07-08,esc2,spot,de,18.919
190,2013-07-09,esc2,spot,de,23.396
191,2013-07-10,esc2,spot,de,22.23
192,2013-07-11,esc2,spot,de,24.105
193,2013-07-12,esc2,spot,de,26.564
194,2013-07-13,esc2,spot,de,23.546
195,2013-07-14,esc2,spot,de,25.909
196,2013-07-15,esc2,spot,de,20.44
197,2013-07-16,esc2,spot,de,25.938
198,2013-07-17,esc2,spot,de,26.406
199,2013-07-18,esc2,spot,de,28.216
200,2013-07-19,esc2,spot,de,28.258
201,2013-07-20,esc2,spot,de,27.494
202,2013-07-21,esc2,spot,de,27.499
203,2013-07-22,esc2,spot,de,26.08
204,2013-07-23,esc2,spot,de,24.952
