"","date","type","market","country","forecast"
"1",2013-01-01,"garchx_2","spot","de",13.8008023550124
"2",2013-01-02,"garchx_2","spot","de",8.2747479235957
"3",2013-01-03,"garchx_2","spot","de",10.2913446607484
"4",2013-01-04,"garchx_2","spot","de",12.8881684198282
"5",2013-01-05,"garchx_2","spot","de",12.6480394524141
"6",2013-01-06,"garchx_2","spot","de",12.6611647715663
"7",2013-01-07,"garchx_2","spot","de",15.4326355604306
"8",2013-01-08,"garchx_2","spot","de",21.5238849020822
"9",2013-01-09,"garchx_2","spot","de",23.5154424542752
"10",2013-01-10,"garchx_2","spot","de",26.5099192098647
"11",2013-01-11,"garchx_2","spot","de",29.708369849448
"12",2013-01-12,"garchx_2","spot","de",25.9848958049929
"13",2013-01-13,"garchx_2","spot","de",28.4233874188631
"14",2013-01-14,"garchx_2","spot","de",35.9796343933367
"15",2013-01-15,"garchx_2","spot","de",33.9333964927663
"16",2013-01-16,"garchx_2","spot","de",35.3186164594648
"17",2013-01-17,"garchx_2","spot","de",34.2119052641163
"18",2013-01-18,"garchx_2","spot","de",33.7203375380214
"19",2013-01-19,"garchx_2","spot","de",30.4866833219345
"20",2013-01-20,"garchx_2","spot","de",31.3014527554288
"21",2013-01-21,"garchx_2","spot","de",32.6878635744921
"22",2013-01-22,"garchx_2","spot","de",32.5039522825203
"23",2013-01-23,"garchx_2","spot","de",33.9663438566831
"24",2013-01-24,"garchx_2","spot","de",32.8458757597441
"25",2013-01-25,"garchx_2","spot","de",36.8879584913727
"26",2013-01-26,"garchx_2","spot","de",32.1086581628763
"27",2013-01-27,"garchx_2","spot","de",29.0672190001858
"28",2013-01-28,"garchx_2","spot","de",32.3483554910053
"29",2013-01-29,"garchx_2","spot","de",25.6499027015256
"30",2013-01-30,"garchx_2","spot","de",20.733057087546
"31",2013-01-31,"garchx_2","spot","de",19.3292698221679
"32",2013-02-01,"garchx_2","spot","de",16.1895207071222
"33",2013-02-02,"garchx_2","spot","de",21.5854102416052
"34",2013-02-03,"garchx_2","spot","de",24.1251965359548
"35",2013-02-04,"garchx_2","spot","de",21.0652618911172
"36",2013-02-05,"garchx_2","spot","de",25.7336606570039
"37",2013-02-06,"garchx_2","spot","de",22.0153559485535
"38",2013-02-07,"garchx_2","spot","de",18.3244357962076
"39",2013-02-08,"garchx_2","spot","de",27.5196449094581
"40",2013-02-09,"garchx_2","spot","de",25.6597640407863
"41",2013-02-10,"garchx_2","spot","de",32.4054523140916
"42",2013-02-11,"garchx_2","spot","de",29.4690619468182
"43",2013-02-12,"garchx_2","spot","de",31.0915670326034
"44",2013-02-13,"garchx_2","spot","de",32.9854747980054
"45",2013-02-14,"garchx_2","spot","de",33.3472981830302
"46",2013-02-15,"garchx_2","spot","de",32.9877345703497
"47",2013-02-16,"garchx_2","spot","de",33.0976347800093
"48",2013-02-17,"garchx_2","spot","de",32.1094307650355
"49",2013-02-18,"garchx_2","spot","de",38.1628701503852
"50",2013-02-19,"garchx_2","spot","de",32.621518865051
"51",2013-02-20,"garchx_2","spot","de",34.4181113321589
"52",2013-02-21,"garchx_2","spot","de",34.2067469515481
"53",2013-02-22,"garchx_2","spot","de",36.0586249310315
"54",2013-02-23,"garchx_2","spot","de",31.655315362838
"55",2013-02-24,"garchx_2","spot","de",29.9065952613482
"56",2013-02-25,"garchx_2","spot","de",38.6295919700697
"57",2013-02-26,"garchx_2","spot","de",34.2132031179876
"58",2013-02-27,"garchx_2","spot","de",33.5867213214014
"59",2013-02-28,"garchx_2","spot","de",36.7894310442678
"60",2013-03-01,"garchx_2","spot","de",33.5428847732556
"61",2013-03-02,"garchx_2","spot","de",35.6058467409533
"62",2013-03-03,"garchx_2","spot","de",29.1569714530659
"63",2013-03-04,"garchx_2","spot","de",34.8077334154758
"64",2013-03-05,"garchx_2","spot","de",35.1943212010302
"65",2013-03-06,"garchx_2","spot","de",33.0620531089595
"66",2013-03-07,"garchx_2","spot","de",33.4783322440479
"67",2013-03-08,"garchx_2","spot","de",28.3804683607244
"68",2013-03-09,"garchx_2","spot","de",25.7130965906588
"69",2013-03-10,"garchx_2","spot","de",21.7310119457408
"70",2013-03-11,"garchx_2","spot","de",24.287762461139
"71",2013-03-12,"garchx_2","spot","de",27.2658367460856
"72",2013-03-13,"garchx_2","spot","de",30.8312007543745
"73",2013-03-14,"garchx_2","spot","de",33.3644665643848
"74",2013-03-15,"garchx_2","spot","de",32.3820131219529
"75",2013-03-16,"garchx_2","spot","de",23.4377256156174
"76",2013-03-17,"garchx_2","spot","de",26.2166985468651
"77",2013-03-18,"garchx_2","spot","de",13.3886678667824
"78",2013-03-19,"garchx_2","spot","de",25.7972127977199
"79",2013-03-20,"garchx_2","spot","de",28.8574509177096
"80",2013-03-21,"garchx_2","spot","de",29.7277892196197
"81",2013-03-22,"garchx_2","spot","de",35.5608925514122
"82",2013-03-23,"garchx_2","spot","de",23.1601799722677
"83",2013-03-24,"garchx_2","spot","de",13.5513050256255
"84",2013-03-25,"garchx_2","spot","de",21.2429323953038
"85",2013-03-26,"garchx_2","spot","de",30.7466333145245
"86",2013-03-27,"garchx_2","spot","de",30.7969963843129
"87",2013-03-28,"garchx_2","spot","de",32.7370087404109
"88",2013-03-29,"garchx_2","spot","de",31.1458896440557
"89",2013-03-30,"garchx_2","spot","de",28.836387099113
"90",2013-03-31,"garchx_2","spot","de",24.6436581134238
"91",2013-04-01,"garchx_2","spot","de",34.1226027304536
"92",2013-04-02,"garchx_2","spot","de",24.9117039363437
"93",2013-04-03,"garchx_2","spot","de",33.8315237869262
"94",2013-04-04,"garchx_2","spot","de",31.1508237182382
"95",2013-04-05,"garchx_2","spot","de",32.5216841730753
"96",2013-04-06,"garchx_2","spot","de",31.1490123900365
"97",2013-04-07,"garchx_2","spot","de",30.8047579179111
"98",2013-04-08,"garchx_2","spot","de",36.5689579262102
