,date,type,market,country,forecast
1,2013-01-01,arima,intraday,fr,17.17727663
2,2013-01-02,arima,intraday,fr,16.17861734
3,2013-01-03,arima,intraday,fr,13.6467132
4,2013-01-04,arima,intraday,fr,20.97030576
5,2013-01-05,arima,intraday,fr,19.95537077
6,2013-01-06,arima,intraday,fr,10.95024329
7,2013-01-07,arima,intraday,fr,13.02368109
8,2013-01-08,arima,intraday,fr,25.04421525
9,2013-01-09,arima,intraday,fr,29.27214264
10,2013-01-10,arima,intraday,fr,28.28387182
11,2013-01-11,arima,intraday,fr,32.75485438
12,2013-01-12,arima,intraday,fr,33.08897421
13,2013-01-13,arima,intraday,fr,30.55930225
14,2013-01-14,arima,intraday,fr,31.68772504
15,2013-01-15,arima,intraday,fr,36.9509023
16,2013-01-16,arima,intraday,fr,38.83018898
17,2013-01-17,arima,intraday,fr,35.94013971
18,2013-01-18,arima,intraday,fr,45.40298037
19,2013-01-19,arima,intraday,fr,48.31074115
20,2013-01-20,arima,intraday,fr,41.49702079
21,2013-01-21,arima,intraday,fr,38.37623924
22,2013-01-22,arima,intraday,fr,48.31247868
23,2013-01-23,arima,intraday,fr,42.923209
24,2013-01-24,arima,intraday,fr,41.15525484
25,2013-01-25,arima,intraday,fr,45.2893008
26,2013-01-26,arima,intraday,fr,44.07242212
27,2013-01-27,arima,intraday,fr,39.48110771
28,2013-01-28,arima,intraday,fr,38.9025972
29,2013-01-29,arima,intraday,fr,39.3362057
30,2013-01-30,arima,intraday,fr,27.41865389
31,2013-01-31,arima,intraday,fr,23.06147565
32,2013-02-01,arima,intraday,fr,22.03784231
33,2013-02-02,arima,intraday,fr,25.09291801
34,2013-02-03,arima,intraday,fr,24.9569826
35,2013-02-04,arima,intraday,fr,24.87711222
36,2013-02-05,arima,intraday,fr,35.28495333
37,2013-02-06,arima,intraday,fr,23.33780578
38,2013-02-07,arima,intraday,fr,23.12036598
39,2013-02-08,arima,intraday,fr,29.65879333
40,2013-02-09,arima,intraday,fr,33.00093962
41,2013-02-10,arima,intraday,fr,33.37759359
42,2013-02-11,arima,intraday,fr,41.21282551
43,2013-02-12,arima,intraday,fr,35.24382774
44,2013-02-13,arima,intraday,fr,42.25093241
45,2013-02-14,arima,intraday,fr,43.9167217
46,2013-02-15,arima,intraday,fr,38.16355688
47,2013-02-16,arima,intraday,fr,44.73609351
48,2013-02-17,arima,intraday,fr,40.81621651
49,2013-02-18,arima,intraday,fr,41.5828119
50,2013-02-19,arima,intraday,fr,43.09157752
51,2013-02-20,arima,intraday,fr,39.27680316
52,2013-02-21,arima,intraday,fr,37.48587076
53,2013-02-22,arima,intraday,fr,39.1983232
54,2013-02-23,arima,intraday,fr,42.61225021
55,2013-02-24,arima,intraday,fr,51.40914744
56,2013-02-25,arima,intraday,fr,44.63316131
57,2013-02-26,arima,intraday,fr,49.77876733
58,2013-02-27,arima,intraday,fr,45.97256263
59,2013-02-28,arima,intraday,fr,43.25433608
