"","date","type","market","country","forecast"
"1",2013-01-01,"arx_1","intraday","fr",10.1331675095995
"2",2013-01-02,"arx_1","intraday","fr",13.1604630578417
"3",2013-01-03,"arx_1","intraday","fr",22.6081911188823
"4",2013-01-04,"arx_1","intraday","fr",21.2661243625253
"5",2013-01-05,"arx_1","intraday","fr",16.0872245992541
"6",2013-01-06,"arx_1","intraday","fr",12.5132845001116
"7",2013-01-07,"arx_1","intraday","fr",16.3420524535456
"8",2013-01-08,"arx_1","intraday","fr",28.7033961054626
"9",2013-01-09,"arx_1","intraday","fr",29.2845339487264
"10",2013-01-10,"arx_1","intraday","fr",30.189339859355
"11",2013-01-11,"arx_1","intraday","fr",28.1768104034552
"12",2013-01-12,"arx_1","intraday","fr",31.1456849710223
"13",2013-01-13,"arx_1","intraday","fr",32.1982868503508
"14",2013-01-14,"arx_1","intraday","fr",37.6205108126776
"15",2013-01-15,"arx_1","intraday","fr",39.4617707531042
"16",2013-01-16,"arx_1","intraday","fr",48.1990782202441
"17",2013-01-17,"arx_1","intraday","fr",49.4273773035329
"18",2013-01-18,"arx_1","intraday","fr",53.4702991758892
"19",2013-01-19,"arx_1","intraday","fr",45.3080780295055
"20",2013-01-20,"arx_1","intraday","fr",43.7470880208329
"21",2013-01-21,"arx_1","intraday","fr",46.7076940463546
"22",2013-01-22,"arx_1","intraday","fr",51.6938570898376
"23",2013-01-23,"arx_1","intraday","fr",48.7688488118465
"24",2013-01-24,"arx_1","intraday","fr",47.2318964912702
"25",2013-01-25,"arx_1","intraday","fr",55.6454509319722
"26",2013-01-26,"arx_1","intraday","fr",41.4136848946544
"27",2013-01-27,"arx_1","intraday","fr",38.1422573972362
"28",2013-01-28,"arx_1","intraday","fr",39.9655639004479
"29",2013-01-29,"arx_1","intraday","fr",35.7469153802167
"30",2013-01-30,"arx_1","intraday","fr",23.8929723519927
"31",2013-01-31,"arx_1","intraday","fr",25.7774010914322
"32",2013-02-01,"arx_1","intraday","fr",16.2238689309683
"33",2013-02-02,"arx_1","intraday","fr",16.5472511695663
"34",2013-02-03,"arx_1","intraday","fr",26.6138666324743
"35",2013-02-04,"arx_1","intraday","fr",21.0159086466305
"36",2013-02-05,"arx_1","intraday","fr",30.0022830093968
"37",2013-02-06,"arx_1","intraday","fr",24.751339290119
"38",2013-02-07,"arx_1","intraday","fr",29.2504639777753
"39",2013-02-08,"arx_1","intraday","fr",40.7172082205567
"40",2013-02-09,"arx_1","intraday","fr",40.5831875705259
"41",2013-02-10,"arx_1","intraday","fr",39.7388337213461
"42",2013-02-11,"arx_1","intraday","fr",41.5905184271324
"43",2013-02-12,"arx_1","intraday","fr",40.6752009839827
"44",2013-02-13,"arx_1","intraday","fr",49.6539482374193
"45",2013-02-14,"arx_1","intraday","fr",47.3972192788754
"46",2013-02-15,"arx_1","intraday","fr",37.0223650808114
"47",2013-02-16,"arx_1","intraday","fr",45.7140655519578
"48",2013-02-17,"arx_1","intraday","fr",40.111116091463
"49",2013-02-18,"arx_1","intraday","fr",43.2096157454189
"50",2013-02-19,"arx_1","intraday","fr",47.3896292599871
"51",2013-02-20,"arx_1","intraday","fr",40.5068262661638
"52",2013-02-21,"arx_1","intraday","fr",44.4320308881969
"53",2013-02-22,"arx_1","intraday","fr",46.6876217312218
