"","date","type","market","country","forecast"
"1",2013-01-01,"garchx_2","intraday","fr",12.0256384102331
"2",2013-01-02,"garchx_2","intraday","fr",13.6991224137665
"3",2013-01-03,"garchx_2","intraday","fr",17.7194881226405
"4",2013-01-04,"garchx_2","intraday","fr",16.09023120339
"5",2013-01-05,"garchx_2","intraday","fr",14.7699126933072
"6",2013-01-06,"garchx_2","intraday","fr",13.0858297562857
"7",2013-01-07,"garchx_2","intraday","fr",15.9212114784383
"8",2013-01-08,"garchx_2","intraday","fr",24.2298368952647
"9",2013-01-09,"garchx_2","intraday","fr",25.0388833714562
"10",2013-01-10,"garchx_2","intraday","fr",30.0511310299834
"11",2013-01-11,"garchx_2","intraday","fr",30.1953727844387
"12",2013-01-12,"garchx_2","intraday","fr",30.2944597144982
"13",2013-01-13,"garchx_2","intraday","fr",30.1434033605395
"14",2013-01-14,"garchx_2","intraday","fr",33.9915143478024
"15",2013-01-15,"garchx_2","intraday","fr",33.7988646776392
"16",2013-01-16,"garchx_2","intraday","fr",40.3318781281483
"17",2013-01-17,"garchx_2","intraday","fr",38.2786695430772
"18",2013-01-18,"garchx_2","intraday","fr",44.094992269052
"19",2013-01-19,"garchx_2","intraday","fr",41.5904542905803
"20",2013-01-20,"garchx_2","intraday","fr",43.5135563785736
"21",2013-01-21,"garchx_2","intraday","fr",42.5718260359248
"22",2013-01-22,"garchx_2","intraday","fr",45.0660785671255
"23",2013-01-23,"garchx_2","intraday","fr",41.4999615861243
"24",2013-01-24,"garchx_2","intraday","fr",42.544832770348
"25",2013-01-25,"garchx_2","intraday","fr",49.1405233382416
"26",2013-01-26,"garchx_2","intraday","fr",36.9637751953134
"27",2013-01-27,"garchx_2","intraday","fr",41.3653568011399
"28",2013-01-28,"garchx_2","intraday","fr",42.2763943188726
"29",2013-01-29,"garchx_2","intraday","fr",36.8704818943183
"30",2013-01-30,"garchx_2","intraday","fr",26.5124567705229
"31",2013-01-31,"garchx_2","intraday","fr",29.0728539170705
"32",2013-02-01,"garchx_2","intraday","fr",20.8038296965136
"33",2013-02-02,"garchx_2","intraday","fr",24.3711541470448
"34",2013-02-03,"garchx_2","intraday","fr",31.880427050941
"35",2013-02-04,"garchx_2","intraday","fr",26.0318822105054
"36",2013-02-05,"garchx_2","intraday","fr",35.5768291973075
"37",2013-02-06,"garchx_2","intraday","fr",23.1105023096191
"38",2013-02-07,"garchx_2","intraday","fr",26.7275200457791
"39",2013-02-08,"garchx_2","intraday","fr",33.0174470968737
"40",2013-02-09,"garchx_2","intraday","fr",30.4982291320563
"41",2013-02-10,"garchx_2","intraday","fr",36.0259002356323
"42",2013-02-11,"garchx_2","intraday","fr",41.6903104553728
"43",2013-02-12,"garchx_2","intraday","fr",34.973667923641
"44",2013-02-13,"garchx_2","intraday","fr",41.6794658264384
"45",2013-02-14,"garchx_2","intraday","fr",42.3022800519844
"46",2013-02-15,"garchx_2","intraday","fr",35.1713201753903
"47",2013-02-16,"garchx_2","intraday","fr",45.2877597985947
"48",2013-02-17,"garchx_2","intraday","fr",38.4109596569193
"49",2013-02-18,"garchx_2","intraday","fr",43.7434291365083
"50",2013-02-19,"garchx_2","intraday","fr",43.2458446538593
"51",2013-02-20,"garchx_2","intraday","fr",37.1596027677447
"52",2013-02-21,"garchx_2","intraday","fr",41.8656668138795
"53",2013-02-22,"garchx_2","intraday","fr",40.0812354839521
"54",2013-02-23,"garchx_2","intraday","fr",40.9983234181284
"55",2013-02-24,"garchx_2","intraday","fr",53.4406259523373
"56",2013-02-25,"garchx_2","intraday","fr",46.3700697150175
"57",2013-02-26,"garchx_2","intraday","fr",50.099924003414
"58",2013-02-27,"garchx_2","intraday","fr",42.8358101978368
"59",2013-02-28,"garchx_2","intraday","fr",41.3688202144375
"60",2013-03-01,"garchx_2","intraday","fr",51.8787524222571
"61",2013-03-02,"garchx_2","intraday","fr",56.3443883040589
"62",2013-03-03,"garchx_2","intraday","fr",58.3830603890342
"63",2013-03-04,"garchx_2","intraday","fr",47.4166182825089
"64",2013-03-05,"garchx_2","intraday","fr",42.9360801178243
"65",2013-03-06,"garchx_2","intraday","fr",32.1507323794072
"66",2013-03-07,"garchx_2","intraday","fr",38.8482385695224
"67",2013-03-08,"garchx_2","intraday","fr",29.9403452231318
"68",2013-03-09,"garchx_2","intraday","fr",28.288203484934
"69",2013-03-10,"garchx_2","intraday","fr",29.9977327558709
"70",2013-03-11,"garchx_2","intraday","fr",25.9238054627505
"71",2013-03-12,"garchx_2","intraday","fr",28.4422623354907
"72",2013-03-13,"garchx_2","intraday","fr",33.9608315983068
