"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linear","intraday","fr",12.4325752202794
"2",2013-01-02,"svm_linear","intraday","fr",12.0772733771632
"3",2013-01-03,"svm_linear","intraday","fr",14.5445500212959
"4",2013-01-04,"svm_linear","intraday","fr",17.691091564376
"5",2013-01-05,"svm_linear","intraday","fr",15.5895753007511
"6",2013-01-06,"svm_linear","intraday","fr",13.7075081258401
"7",2013-01-07,"svm_linear","intraday","fr",14.6344842943388
"8",2013-01-08,"svm_linear","intraday","fr",21.8611262707028
"9",2013-01-09,"svm_linear","intraday","fr",27.0500716551769
"10",2013-01-10,"svm_linear","intraday","fr",30.070799978185
"11",2013-01-11,"svm_linear","intraday","fr",30.3404448788727
"12",2013-01-12,"svm_linear","intraday","fr",27.8405154049103
"13",2013-01-13,"svm_linear","intraday","fr",31.1792821125687
"14",2013-01-14,"svm_linear","intraday","fr",32.7792150547567
"15",2013-01-15,"svm_linear","intraday","fr",33.2924586967038
"16",2013-01-16,"svm_linear","intraday","fr",38.295854291089
"17",2013-01-17,"svm_linear","intraday","fr",37.1537545824698
"18",2013-01-18,"svm_linear","intraday","fr",44.2795091547948
"19",2013-01-19,"svm_linear","intraday","fr",44.0012618728854
"20",2013-01-20,"svm_linear","intraday","fr",42.5255946352038
"21",2013-01-21,"svm_linear","intraday","fr",39.9454498909244
"22",2013-01-22,"svm_linear","intraday","fr",44.7552754431103
"23",2013-01-23,"svm_linear","intraday","fr",41.9719181575272
"24",2013-01-24,"svm_linear","intraday","fr",43.806462757138
"25",2013-01-25,"svm_linear","intraday","fr",45.6682180837918
"26",2013-01-26,"svm_linear","intraday","fr",40.3326623196508
"27",2013-01-27,"svm_linear","intraday","fr",42.0450219794535
"28",2013-01-28,"svm_linear","intraday","fr",40.9476583007826
"29",2013-01-29,"svm_linear","intraday","fr",36.6615604236245
"30",2013-01-30,"svm_linear","intraday","fr",28.165125466393
"31",2013-01-31,"svm_linear","intraday","fr",28.6374963789851
"32",2013-02-01,"svm_linear","intraday","fr",23.0210444462042
"33",2013-02-02,"svm_linear","intraday","fr",24.4864717696395
"34",2013-02-03,"svm_linear","intraday","fr",28.992329238449
"35",2013-02-04,"svm_linear","intraday","fr",27.2108060417342
"36",2013-02-05,"svm_linear","intraday","fr",32.9142494657962
"37",2013-02-06,"svm_linear","intraday","fr",21.9703049230769
"38",2013-02-07,"svm_linear","intraday","fr",26.4392206735858
