"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linearx_2","intraday","fr",11.2438504188758
"2",2013-01-02,"svm_linearx_2","intraday","fr",13.7506905156742
"3",2013-01-03,"svm_linearx_2","intraday","fr",21.3322075164898
"4",2013-01-04,"svm_linearx_2","intraday","fr",17.4578380802519
"5",2013-01-05,"svm_linearx_2","intraday","fr",12.4912504780311
"6",2013-01-06,"svm_linearx_2","intraday","fr",10.7399359465834
"7",2013-01-07,"svm_linearx_2","intraday","fr",15.9651469777802
"8",2013-01-08,"svm_linearx_2","intraday","fr",26.56807649506
"9",2013-01-09,"svm_linearx_2","intraday","fr",25.8767982864697
"10",2013-01-10,"svm_linearx_2","intraday","fr",29.1150104567534
"11",2013-01-11,"svm_linearx_2","intraday","fr",28.8054612698702
"12",2013-01-12,"svm_linearx_2","intraday","fr",30.819069751376
"13",2013-01-13,"svm_linearx_2","intraday","fr",29.4398988739759
"14",2013-01-14,"svm_linearx_2","intraday","fr",35.06041021101
"15",2013-01-15,"svm_linearx_2","intraday","fr",35.3412024534583
"16",2013-01-16,"svm_linearx_2","intraday","fr",42.8178880353153
"17",2013-01-17,"svm_linearx_2","intraday","fr",40.8899224846498
"18",2013-01-18,"svm_linearx_2","intraday","fr",44.2056048942953
"19",2013-01-19,"svm_linearx_2","intraday","fr",39.2445677503926
"20",2013-01-20,"svm_linearx_2","intraday","fr",40.6277375446876
"21",2013-01-21,"svm_linearx_2","intraday","fr",44.314770602814
"22",2013-01-22,"svm_linearx_2","intraday","fr",46.7818060976267
"23",2013-01-23,"svm_linearx_2","intraday","fr",42.9618264141162
"24",2013-01-24,"svm_linearx_2","intraday","fr",41.1304514178324
"25",2013-01-25,"svm_linearx_2","intraday","fr",51.3494269077567
"26",2013-01-26,"svm_linearx_2","intraday","fr",33.9220199434323
"27",2013-01-27,"svm_linearx_2","intraday","fr",36.0123925321895
"28",2013-01-28,"svm_linearx_2","intraday","fr",41.4670749248241
"29",2013-01-29,"svm_linearx_2","intraday","fr",36.0234099823048
"30",2013-01-30,"svm_linearx_2","intraday","fr",23.8458191090395
"31",2013-01-31,"svm_linearx_2","intraday","fr",27.4057138070925
"32",2013-02-01,"svm_linearx_2","intraday","fr",18.6007203557535
"33",2013-02-02,"svm_linearx_2","intraday","fr",19.229489291256
"34",2013-02-03,"svm_linearx_2","intraday","fr",31.8484260438406
