"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomial","intraday","fr",11.64374754106
"2",2013-01-02,"svm_polynomial","intraday","fr",13.4265231559853
"3",2013-01-03,"svm_polynomial","intraday","fr",16.9379133094982
"4",2013-01-04,"svm_polynomial","intraday","fr",19.3134100625239
"5",2013-01-05,"svm_polynomial","intraday","fr",18.2104802011347
"6",2013-01-06,"svm_polynomial","intraday","fr",14.9107407381772
"7",2013-01-07,"svm_polynomial","intraday","fr",13.8029633193584
"8",2013-01-08,"svm_polynomial","intraday","fr",21.1219191451868
"9",2013-01-09,"svm_polynomial","intraday","fr",30.7412550282941
"10",2013-01-10,"svm_polynomial","intraday","fr",34.6773635788955
"11",2013-01-11,"svm_polynomial","intraday","fr",31.2432915919319
"12",2013-01-12,"svm_polynomial","intraday","fr",26.3997790425047
"13",2013-01-13,"svm_polynomial","intraday","fr",30.1019920063072
"14",2013-01-14,"svm_polynomial","intraday","fr",32.8224821998546
"15",2013-01-15,"svm_polynomial","intraday","fr",35.4307872489461
"16",2013-01-16,"svm_polynomial","intraday","fr",39.9165598646254
"17",2013-01-17,"svm_polynomial","intraday","fr",38.2675765574597
"18",2013-01-18,"svm_polynomial","intraday","fr",45.1121746796067
"19",2013-01-19,"svm_polynomial","intraday","fr",46.276660893005
"20",2013-01-20,"svm_polynomial","intraday","fr",42.7540201645912
"21",2013-01-21,"svm_polynomial","intraday","fr",40.1938265936913
"22",2013-01-22,"svm_polynomial","intraday","fr",45.5974623925913
"23",2013-01-23,"svm_polynomial","intraday","fr",42.3903193863823
"24",2013-01-24,"svm_polynomial","intraday","fr",42.510620943677
"25",2013-01-25,"svm_polynomial","intraday","fr",48.5850859127432
"26",2013-01-26,"svm_polynomial","intraday","fr",40.8277288015414
"27",2013-01-27,"svm_polynomial","intraday","fr",42.6871932898256
"28",2013-01-28,"svm_polynomial","intraday","fr",43.0850885460731
"29",2013-01-29,"svm_polynomial","intraday","fr",38.0106095872104
"30",2013-01-30,"svm_polynomial","intraday","fr",31.3951924488831
"31",2013-01-31,"svm_polynomial","intraday","fr",31.0761431999507
"32",2013-02-01,"svm_polynomial","intraday","fr",21.3941206072131
"33",2013-02-02,"svm_polynomial","intraday","fr",21.3831603500972
"34",2013-02-03,"svm_polynomial","intraday","fr",30.2883644240095
"35",2013-02-04,"svm_polynomial","intraday","fr",27.752112798694
"36",2013-02-05,"svm_polynomial","intraday","fr",34.7691570095857
"37",2013-02-06,"svm_polynomial","intraday","fr",20.5429377334913
"38",2013-02-07,"svm_polynomial","intraday","fr",23.9233666520394
"39",2013-02-08,"svm_polynomial","intraday","fr",29.4994409347863
"40",2013-02-09,"svm_polynomial","intraday","fr",32.0133767326205
"41",2013-02-10,"svm_polynomial","intraday","fr",37.1815738352268
"42",2013-02-11,"svm_polynomial","intraday","fr",44.3496668577786
"43",2013-02-12,"svm_polynomial","intraday","fr",31.5363740341511
"44",2013-02-13,"svm_polynomial","intraday","fr",37.3890265241063
"45",2013-02-14,"svm_polynomial","intraday","fr",45.3380173255678
"46",2013-02-15,"svm_polynomial","intraday","fr",35.0817504095498
"47",2013-02-16,"svm_polynomial","intraday","fr",40.9409554306572
"48",2013-02-17,"svm_polynomial","intraday","fr",41.3490275119043
"49",2013-02-18,"svm_polynomial","intraday","fr",43.3129298623148
"50",2013-02-19,"svm_polynomial","intraday","fr",42.0598799188587
"51",2013-02-20,"svm_polynomial","intraday","fr",40.8801566660473
"52",2013-02-21,"svm_polynomial","intraday","fr",41.274580650212
"53",2013-02-22,"svm_polynomial","intraday","fr",39.8999034758523
"54",2013-02-23,"svm_polynomial","intraday","fr",41.992279646699
"55",2013-02-24,"svm_polynomial","intraday","fr",54.3661334423285
"56",2013-02-25,"svm_polynomial","intraday","fr",43.8796261035292
"57",2013-02-26,"svm_polynomial","intraday","fr",41.9531661691414
"58",2013-02-27,"svm_polynomial","intraday","fr",44.2690605498282
"59",2013-02-28,"svm_polynomial","intraday","fr",41.9267825692097
"60",2013-03-01,"svm_polynomial","intraday","fr",51.560295487244
"61",2013-03-02,"svm_polynomial","intraday","fr",56.9517122397584
"62",2013-03-03,"svm_polynomial","intraday","fr",54.6480379501565
"63",2013-03-04,"svm_polynomial","intraday","fr",49.4770217678681
"64",2013-03-05,"svm_polynomial","intraday","fr",46.9682709579881
"65",2013-03-06,"svm_polynomial","intraday","fr",32.4629027791998
"66",2013-03-07,"svm_polynomial","intraday","fr",36.4311155893813
"67",2013-03-08,"svm_polynomial","intraday","fr",27.6600926345622
"68",2013-03-09,"svm_polynomial","intraday","fr",19.755470296196
"69",2013-03-10,"svm_polynomial","intraday","fr",29.8131062489144
"70",2013-03-11,"svm_polynomial","intraday","fr",24.6443440753684
"71",2013-03-12,"svm_polynomial","intraday","fr",26.4862436754956
"72",2013-03-13,"svm_polynomial","intraday","fr",31.6994535870444
"73",2013-03-14,"svm_polynomial","intraday","fr",38.3568467426691
"74",2013-03-15,"svm_polynomial","intraday","fr",45.6317806597691
"75",2013-03-16,"svm_polynomial","intraday","fr",44.6752168259012
"76",2013-03-17,"svm_polynomial","intraday","fr",49.5697532678745
"77",2013-03-18,"svm_polynomial","intraday","fr",32.9698939995792
"78",2013-03-19,"svm_polynomial","intraday","fr",29.2129988332012
"79",2013-03-20,"svm_polynomial","intraday","fr",36.976219145608
"80",2013-03-21,"svm_polynomial","intraday","fr",25.3440673593148
"81",2013-03-22,"svm_polynomial","intraday","fr",45.7555285816987
"82",2013-03-23,"svm_polynomial","intraday","fr",33.4574257564944
"83",2013-03-24,"svm_polynomial","intraday","fr",30.8992315543594
"84",2013-03-25,"svm_polynomial","intraday","fr",34.0881872277036
"85",2013-03-26,"svm_polynomial","intraday","fr",38.2838422089704
"86",2013-03-27,"svm_polynomial","intraday","fr",45.6696826020669
"87",2013-03-28,"svm_polynomial","intraday","fr",40.3861053840181
"88",2013-03-29,"svm_polynomial","intraday","fr",46.7993025793706
"89",2013-03-30,"svm_polynomial","intraday","fr",38.5439935240427
"90",2013-03-31,"svm_polynomial","intraday","fr",39.992813321623
"91",2013-04-01,"svm_polynomial","intraday","fr",39.4309520286522
"92",2013-04-02,"svm_polynomial","intraday","fr",36.0932087211572
"93",2013-04-03,"svm_polynomial","intraday","fr",33.7301286181357
"94",2013-04-04,"svm_polynomial","intraday","fr",41.1176307806974
