"","date","type","market","country","forecast"
"1",2013-01-01,"ar","spot","fr",12.6371985193268
"2",2013-01-02,"ar","spot","fr",14.9813842568946
"3",2013-01-03,"ar","spot","fr",14.1147749087226
"4",2013-01-04,"ar","spot","fr",16.9022552719446
"5",2013-01-05,"ar","spot","fr",16.8847042330192
"6",2013-01-06,"ar","spot","fr",14.6166540933682
"7",2013-01-07,"ar","spot","fr",17.3668672190088
"8",2013-01-08,"ar","spot","fr",24.2495030649361
"9",2013-01-09,"ar","spot","fr",29.582409335326
"10",2013-01-10,"ar","spot","fr",31.5443457643944
"11",2013-01-11,"ar","spot","fr",34.9916364628534
"12",2013-01-12,"ar","spot","fr",31.3906590203277
"13",2013-01-13,"ar","spot","fr",33.8981776175653
"14",2013-01-14,"ar","spot","fr",34.2534723370613
"15",2013-01-15,"ar","spot","fr",33.6883145379961
"16",2013-01-16,"ar","spot","fr",38.4301353783104
"17",2013-01-17,"ar","spot","fr",40.7053997478222
"18",2013-01-18,"ar","spot","fr",43.9406248160235
"19",2013-01-19,"ar","spot","fr",46.9019171529877
"20",2013-01-20,"ar","spot","fr",43.2109460743128
"21",2013-01-21,"ar","spot","fr",34.2191848211492
"22",2013-01-22,"ar","spot","fr",40.2076498621862
"23",2013-01-23,"ar","spot","fr",37.1070701850121
"24",2013-01-24,"ar","spot","fr",40.984547136913
"25",2013-01-25,"ar","spot","fr",40.9329454123519
"26",2013-01-26,"ar","spot","fr",40.9092019770357
"27",2013-01-27,"ar","spot","fr",37.7947006511759
"28",2013-01-28,"ar","spot","fr",34.6311863423722
"29",2013-01-29,"ar","spot","fr",33.3349537496682
"30",2013-01-30,"ar","spot","fr",28.2864510997439
"31",2013-01-31,"ar","spot","fr",23.0550093870026
"32",2013-02-01,"ar","spot","fr",27.0160415685112
"33",2013-02-02,"ar","spot","fr",26.9301561073049
"34",2013-02-03,"ar","spot","fr",25.0379228002448
"35",2013-02-04,"ar","spot","fr",28.5384512720959
"36",2013-02-05,"ar","spot","fr",26.8321662572292
"37",2013-02-06,"ar","spot","fr",27.3201785197924
"38",2013-02-07,"ar","spot","fr",29.6533505410231
"39",2013-02-08,"ar","spot","fr",31.240200045579
"40",2013-02-09,"ar","spot","fr",36.6947618813763
"41",2013-02-10,"ar","spot","fr",41.478037545628
"42",2013-02-11,"ar","spot","fr",40.5137006952903
"43",2013-02-12,"ar","spot","fr",33.3928685103182
"44",2013-02-13,"ar","spot","fr",41.3190234425875
"45",2013-02-14,"ar","spot","fr",39.7366831412833
"46",2013-02-15,"ar","spot","fr",37.907849636929
"47",2013-02-16,"ar","spot","fr",43.2456731958609
"48",2013-02-17,"ar","spot","fr",43.528045401362
"49",2013-02-18,"ar","spot","fr",42.5152193352722
"50",2013-02-19,"ar","spot","fr",37.852009731016
"51",2013-02-20,"ar","spot","fr",45.3460767720636
"52",2013-02-21,"ar","spot","fr",38.3259695428911
"53",2013-02-22,"ar","spot","fr",41.7483087387879
"54",2013-02-23,"ar","spot","fr",43.5305964242138
"55",2013-02-24,"ar","spot","fr",50.0367205459413
"56",2013-02-25,"ar","spot","fr",42.6019937766131
"57",2013-02-26,"ar","spot","fr",49.6698496330647
"58",2013-02-27,"ar","spot","fr",44.0362268375098
"59",2013-02-28,"ar","spot","fr",43.3653376778535
"60",2013-03-01,"ar","spot","fr",42.4671580371568
"61",2013-03-02,"ar","spot","fr",47.9579514458517
"62",2013-03-03,"ar","spot","fr",45.0555004327095
"63",2013-03-04,"ar","spot","fr",46.4505306376662
