,date,type,market,country,forecast
1,2013-01-01,arima,spot,fr,16.71186637
2,2013-01-02,arima,spot,fr,15.23886453
3,2013-01-03,arima,spot,fr,12.42018779
4,2013-01-04,arima,spot,fr,18.42316479
5,2013-01-05,arima,spot,fr,18.84090584
6,2013-01-06,arima,spot,fr,11.87043574
7,2013-01-07,arima,spot,fr,15.35001516
8,2013-01-08,arima,spot,fr,29.36791222
9,2013-01-09,arima,spot,fr,34.75774029
10,2013-01-10,arima,spot,fr,32.55740798
11,2013-01-11,arima,spot,fr,37.27644396
12,2013-01-12,arima,spot,fr,33.77122161
13,2013-01-13,arima,spot,fr,30.79527939
14,2013-01-14,arima,spot,fr,32.61210889
15,2013-01-15,arima,spot,fr,38.6471316
16,2013-01-16,arima,spot,fr,40.15364086
17,2013-01-17,arima,spot,fr,39.3699411
18,2013-01-18,arima,spot,fr,45.30855243
19,2013-01-19,arima,spot,fr,47.98184013
20,2013-01-20,arima,spot,fr,40.0750587
21,2013-01-21,arima,spot,fr,32.55480036
22,2013-01-22,arima,spot,fr,43.59354737
23,2013-01-23,arima,spot,fr,40.26123041
24,2013-01-24,arima,spot,fr,38.46041833
25,2013-01-25,arima,spot,fr,40.51586515
26,2013-01-26,arima,spot,fr,41.07035522
27,2013-01-27,arima,spot,fr,33.54156158
28,2013-01-28,arima,spot,fr,32.10781205
29,2013-01-29,arima,spot,fr,36.91931985
30,2013-01-30,arima,spot,fr,30.17126074
31,2013-01-31,arima,spot,fr,20.28090568
32,2013-02-01,arima,spot,fr,25.9841453
33,2013-02-02,arima,spot,fr,26.715545
34,2013-02-03,arima,spot,fr,19.4839645
35,2013-02-04,arima,spot,fr,24.86220613
36,2013-02-05,arima,spot,fr,31.49928398
37,2013-02-06,arima,spot,fr,29.85470829
38,2013-02-07,arima,spot,fr,28.96927919
39,2013-02-08,arima,spot,fr,33.94119916
40,2013-02-09,arima,spot,fr,38.1303972
41,2013-02-10,arima,spot,fr,38.23853258
42,2013-02-11,arima,spot,fr,39.9849062
43,2013-02-12,arima,spot,fr,38.93792245
44,2013-02-13,arima,spot,fr,42.79881455
45,2013-02-14,arima,spot,fr,40.40214935
46,2013-02-15,arima,spot,fr,39.93605282
47,2013-02-16,arima,spot,fr,42.63874954
48,2013-02-17,arima,spot,fr,40.03128463
49,2013-02-18,arima,spot,fr,40.30460352
50,2013-02-19,arima,spot,fr,40.47620886
51,2013-02-20,arima,spot,fr,45.82425928
52,2013-02-21,arima,spot,fr,38.97542244
53,2013-02-22,arima,spot,fr,42.84894819
54,2013-02-23,arima,spot,fr,43.4238087
55,2013-02-24,arima,spot,fr,46.15185572
56,2013-02-25,arima,spot,fr,41.10237775
57,2013-02-26,arima,spot,fr,51.6842161
58,2013-02-27,arima,spot,fr,46.23465861
59,2013-02-28,arima,spot,fr,42.46675439
60,2013-03-01,arima,spot,fr,43.96627613
61,2013-03-02,arima,spot,fr,49.84561647
62,2013-03-03,arima,spot,fr,41.58975963
63,2013-03-04,arima,spot,fr,42.97044112
64,2013-03-05,arima,spot,fr,42.52751709
65,2013-03-06,arima,spot,fr,47.07047338
66,2013-03-07,arima,spot,fr,36.24578855
67,2013-03-08,arima,spot,fr,36.93247242
68,2013-03-09,arima,spot,fr,28.99674779
69,2013-03-10,arima,spot,fr,21.52222882
70,2013-03-11,arima,spot,fr,21.64629347
71,2013-03-12,arima,spot,fr,24.8387461
72,2013-03-13,arima,spot,fr,30.70737917
73,2013-03-14,arima,spot,fr,38.78040747
74,2013-03-15,arima,spot,fr,51.43292574
75,2013-03-16,arima,spot,fr,46.00891628
76,2013-03-17,arima,spot,fr,42.04752604
77,2013-03-18,arima,spot,fr,37.74908631
78,2013-03-19,arima,spot,fr,37.89516964
79,2013-03-20,arima,spot,fr,41.19648222
80,2013-03-21,arima,spot,fr,42.0617569
81,2013-03-22,arima,spot,fr,48.47497801
82,2013-03-23,arima,spot,fr,44.07828128
83,2013-03-24,arima,spot,fr,26.25707589
84,2013-03-25,arima,spot,fr,27.39456977
85,2013-03-26,arima,spot,fr,43.86728202
86,2013-03-27,arima,spot,fr,42.51830896
87,2013-03-28,arima,spot,fr,47.80716875
88,2013-03-29,arima,spot,fr,43.87513153
89,2013-03-30,arima,spot,fr,46.08444216
90,2013-03-31,arima,spot,fr,40.36450243
91,2013-04-01,arima,spot,fr,39.18187073
92,2013-04-02,arima,spot,fr,50.02502534
93,2013-04-03,arima,spot,fr,34.41855388
94,2013-04-04,arima,spot,fr,43.82874589
95,2013-04-05,arima,spot,fr,39.93413002
96,2013-04-06,arima,spot,fr,44.52944138
97,2013-04-07,arima,spot,fr,45.65968909
98,2013-04-08,arima,spot,fr,49.29060195
99,2013-04-09,arima,spot,fr,49.03779483
100,2013-04-10,arima,spot,fr,44.64735882
101,2013-04-11,arima,spot,fr,34.28456603
102,2013-04-12,arima,spot,fr,35.30432016
103,2013-04-13,arima,spot,fr,35.51980933
104,2013-04-14,arima,spot,fr,19.78680216
105,2013-04-15,arima,spot,fr,20.10365733
106,2013-04-16,arima,spot,fr,20.60863318
107,2013-04-17,arima,spot,fr,29.40375406
108,2013-04-18,arima,spot,fr,23.63166153
109,2013-04-19,arima,spot,fr,16.4993198
110,2013-04-20,arima,spot,fr,16.58237798
111,2013-04-21,arima,spot,fr,17.54798929
112,2013-04-22,arima,spot,fr,12.88756499
113,2013-04-23,arima,spot,fr,20.9773053
114,2013-04-24,arima,spot,fr,14.04323257
115,2013-04-25,arima,spot,fr,23.52423637
116,2013-04-26,arima,spot,fr,22.78027254
117,2013-04-27,arima,spot,fr,22.92158207
118,2013-04-28,arima,spot,fr,17.39527809
119,2013-04-29,arima,spot,fr,18.26155233
120,2013-04-30,arima,spot,fr,26.78749035
121,2013-05-01,arima,spot,fr,22.84993342
122,2013-05-02,arima,spot,fr,13.98838067
123,2013-05-03,arima,spot,fr,15.41508524
124,2013-05-04,arima,spot,fr,25.72076027
125,2013-05-05,arima,spot,fr,20.8234193
126,2013-05-06,arima,spot,fr,13.99290444
127,2013-05-07,arima,spot,fr,17.95322718
128,2013-05-08,arima,spot,fr,20.39260444
129,2013-05-09,arima,spot,fr,14.53176668
130,2013-05-10,arima,spot,fr,17.2467943
131,2013-05-11,arima,spot,fr,16.96413105
132,2013-05-12,arima,spot,fr,11.34885082
133,2013-05-13,arima,spot,fr,10.95642578
134,2013-05-14,arima,spot,fr,14.37464598
135,2013-05-15,arima,spot,fr,14.03805972
136,2013-05-16,arima,spot,fr,10.11687576
137,2013-05-17,arima,spot,fr,21.61682962
138,2013-05-18,arima,spot,fr,20.21990846
139,2013-05-19,arima,spot,fr,14.48116435
140,2013-05-20,arima,spot,fr,11.7760072
141,2013-05-21,arima,spot,fr,19.41155198
142,2013-05-22,arima,spot,fr,21.22275946
143,2013-05-23,arima,spot,fr,18.12725532
144,2013-05-24,arima,spot,fr,19.69658316
145,2013-05-25,arima,spot,fr,27.27017442
146,2013-05-26,arima,spot,fr,23.08093986
147,2013-05-27,arima,spot,fr,16.53338972
148,2013-05-28,arima,spot,fr,20.67397031
149,2013-05-29,arima,spot,fr,28.1446682
150,2013-05-30,arima,spot,fr,24.10807334
151,2013-05-31,arima,spot,fr,28.85026335
152,2013-06-01,arima,spot,fr,17.12399526
153,2013-06-02,arima,spot,fr,10.86524004
154,2013-06-03,arima,spot,fr,9.779405981
155,2013-06-04,arima,spot,fr,14.36077602
156,2013-06-05,arima,spot,fr,18.53629423
157,2013-06-06,arima,spot,fr,14.91451874
158,2013-06-07,arima,spot,fr,13.99221317
159,2013-06-08,arima,spot,fr,13.48137526
160,2013-06-09,arima,spot,fr,7.945949245
161,2013-06-10,arima,spot,fr,9.675326902
162,2013-06-11,arima,spot,fr,15.86942116
163,2013-06-12,arima,spot,fr,14.9848774
164,2013-06-13,arima,spot,fr,12.01605723
165,2013-06-14,arima,spot,fr,13.61368003
166,2013-06-15,arima,spot,fr,12.46966606
167,2013-06-16,arima,spot,fr,5.327455413
168,2013-06-17,arima,spot,fr,9.110300347
169,2013-06-18,arima,spot,fr,10.65965282
