,date,type,market,country,forecast
1,2013-01-01,esc3,spot,fr,12.123
2,2013-01-02,esc3,spot,fr,14.375
3,2013-01-03,esc3,spot,fr,14.902
4,2013-01-04,esc3,spot,fr,16.356
5,2013-01-05,esc3,spot,fr,17.332
6,2013-01-06,esc3,spot,fr,14.189
7,2013-01-07,esc3,spot,fr,16.02
8,2013-01-08,esc3,spot,fr,25.926
9,2013-01-09,esc3,spot,fr,30.867
10,2013-01-10,esc3,spot,fr,32.077
11,2013-01-11,esc3,spot,fr,35.013
12,2013-01-12,esc3,spot,fr,35.461
13,2013-01-13,esc3,spot,fr,35.014
14,2013-01-14,esc3,spot,fr,34.388
15,2013-01-15,esc3,spot,fr,34.663
16,2013-01-16,esc3,spot,fr,39.72
17,2013-01-17,esc3,spot,fr,42.829
18,2013-01-18,esc3,spot,fr,45.578
19,2013-01-19,esc3,spot,fr,46.989
20,2013-01-20,esc3,spot,fr,43.583
21,2013-01-21,esc3,spot,fr,33.614
22,2013-01-22,esc3,spot,fr,41.387
23,2013-01-23,esc3,spot,fr,38.34
24,2013-01-24,esc3,spot,fr,40.59
25,2013-01-25,esc3,spot,fr,41.936
26,2013-01-26,esc3,spot,fr,39.989
27,2013-01-27,esc3,spot,fr,35.748
28,2013-01-28,esc3,spot,fr,32.648
29,2013-01-29,esc3,spot,fr,32.979
30,2013-01-30,esc3,spot,fr,24.966
31,2013-01-31,esc3,spot,fr,21.738
32,2013-02-01,esc3,spot,fr,23.849
33,2013-02-02,esc3,spot,fr,26.811
34,2013-02-03,esc3,spot,fr,25.537
35,2013-02-04,esc3,spot,fr,25.238
36,2013-02-05,esc3,spot,fr,27.575
37,2013-02-06,esc3,spot,fr,28.072
38,2013-02-07,esc3,spot,fr,30.426
39,2013-02-08,esc3,spot,fr,32.654
40,2013-02-09,esc3,spot,fr,40.191
41,2013-02-10,esc3,spot,fr,41.926
42,2013-02-11,esc3,spot,fr,37.987
43,2013-02-12,esc3,spot,fr,34.501
44,2013-02-13,esc3,spot,fr,43.167
45,2013-02-14,esc3,spot,fr,41.369
46,2013-02-15,esc3,spot,fr,35.89
47,2013-02-16,esc3,spot,fr,45.553
48,2013-02-17,esc3,spot,fr,42.932
49,2013-02-18,esc3,spot,fr,41.766
50,2013-02-19,esc3,spot,fr,38.61
51,2013-02-20,esc3,spot,fr,44.643
52,2013-02-21,esc3,spot,fr,39.408
53,2013-02-22,esc3,spot,fr,42.366
54,2013-02-23,esc3,spot,fr,45.69
55,2013-02-24,esc3,spot,fr,50.728
56,2013-02-25,esc3,spot,fr,41.882
57,2013-02-26,esc3,spot,fr,51.289
58,2013-02-27,esc3,spot,fr,43.346
59,2013-02-28,esc3,spot,fr,42.284
60,2013-03-01,esc3,spot,fr,42.015
61,2013-03-02,esc3,spot,fr,48.342
62,2013-03-03,esc3,spot,fr,47.104
63,2013-03-04,esc3,spot,fr,47.179
64,2013-03-05,esc3,spot,fr,37.153
65,2013-03-06,esc3,spot,fr,45.273
66,2013-03-07,esc3,spot,fr,36.995
67,2013-03-08,esc3,spot,fr,32.499
68,2013-03-09,esc3,spot,fr,27.88
69,2013-03-10,esc3,spot,fr,24.675
70,2013-03-11,esc3,spot,fr,22.242
71,2013-03-12,esc3,spot,fr,23.235
72,2013-03-13,esc3,spot,fr,33.442
73,2013-03-14,esc3,spot,fr,42.112
74,2013-03-15,esc3,spot,fr,52.122
75,2013-03-16,esc3,spot,fr,43.464
76,2013-03-17,esc3,spot,fr,42.446
77,2013-03-18,esc3,spot,fr,36.51
78,2013-03-19,esc3,spot,fr,33.459
79,2013-03-20,esc3,spot,fr,41.071
80,2013-03-21,esc3,spot,fr,44.474
81,2013-03-22,esc3,spot,fr,42.522
82,2013-03-23,esc3,spot,fr,42.295
83,2013-03-24,esc3,spot,fr,26.93
84,2013-03-25,esc3,spot,fr,28.397
85,2013-03-26,esc3,spot,fr,42.635
86,2013-03-27,esc3,spot,fr,47.662
87,2013-03-28,esc3,spot,fr,54.261
88,2013-03-29,esc3,spot,fr,44.419
89,2013-03-30,esc3,spot,fr,42.307
90,2013-03-31,esc3,spot,fr,43.864
91,2013-04-01,esc3,spot,fr,36.912
92,2013-04-02,esc3,spot,fr,48.08
93,2013-04-03,esc3,spot,fr,34.846
94,2013-04-04,esc3,spot,fr,46.244
95,2013-04-05,esc3,spot,fr,37.988
96,2013-04-06,esc3,spot,fr,45.17
97,2013-04-07,esc3,spot,fr,51.535
98,2013-04-08,esc3,spot,fr,48.995
99,2013-04-09,esc3,spot,fr,47.991
100,2013-04-10,esc3,spot,fr,45.149
101,2013-04-11,esc3,spot,fr,34.94
102,2013-04-12,esc3,spot,fr,35.175
103,2013-04-13,esc3,spot,fr,36.068
104,2013-04-14,esc3,spot,fr,22.211
105,2013-04-15,esc3,spot,fr,19.561
106,2013-04-16,esc3,spot,fr,18.625
107,2013-04-17,esc3,spot,fr,29.782
108,2013-04-18,esc3,spot,fr,26.391
109,2013-04-19,esc3,spot,fr,16.417
110,2013-04-20,esc3,spot,fr,17.374
111,2013-04-21,esc3,spot,fr,20.725
112,2013-04-22,esc3,spot,fr,11.371
113,2013-04-23,esc3,spot,fr,20.703
114,2013-04-24,esc3,spot,fr,14.249
115,2013-04-25,esc3,spot,fr,23.32
116,2013-04-26,esc3,spot,fr,18.68
117,2013-04-27,esc3,spot,fr,21.413
118,2013-04-28,esc3,spot,fr,19.885
119,2013-04-29,esc3,spot,fr,14.366
120,2013-04-30,esc3,spot,fr,22.915
121,2013-05-01,esc3,spot,fr,20.003
122,2013-05-02,esc3,spot,fr,14.776
123,2013-05-03,esc3,spot,fr,14.068
124,2013-05-04,esc3,spot,fr,24.006
125,2013-05-05,esc3,spot,fr,22.567
126,2013-05-06,esc3,spot,fr,12.504
127,2013-05-07,esc3,spot,fr,16.604
128,2013-05-08,esc3,spot,fr,17.284
129,2013-05-09,esc3,spot,fr,13.074
130,2013-05-10,esc3,spot,fr,17.846
131,2013-05-11,esc3,spot,fr,17.376
132,2013-05-12,esc3,spot,fr,12.225
133,2013-05-13,esc3,spot,fr,8.9035
134,2013-05-14,esc3,spot,fr,11.91
135,2013-05-15,esc3,spot,fr,13.336
136,2013-05-16,esc3,spot,fr,13.578
137,2013-05-17,esc3,spot,fr,21.446
138,2013-05-18,esc3,spot,fr,18.45
139,2013-05-19,esc3,spot,fr,15.006
140,2013-05-20,esc3,spot,fr,10.779
141,2013-05-21,esc3,spot,fr,15.052
142,2013-05-22,esc3,spot,fr,21.976
143,2013-05-23,esc3,spot,fr,20.694
144,2013-05-24,esc3,spot,fr,20.443
145,2013-05-25,esc3,spot,fr,26.898
146,2013-05-26,esc3,spot,fr,27.068
147,2013-05-27,esc3,spot,fr,15.092
148,2013-05-28,esc3,spot,fr,17.369
149,2013-05-29,esc3,spot,fr,27.688
150,2013-05-30,esc3,spot,fr,26.333
151,2013-05-31,esc3,spot,fr,28.987
152,2013-06-01,esc3,spot,fr,16.715
153,2013-06-02,esc3,spot,fr,14.667
154,2013-06-03,esc3,spot,fr,10.027
155,2013-06-04,esc3,spot,fr,11.354
156,2013-06-05,esc3,spot,fr,19.85
157,2013-06-06,esc3,spot,fr,16.101
158,2013-06-07,esc3,spot,fr,12.594
159,2013-06-08,esc3,spot,fr,13.426
160,2013-06-09,esc3,spot,fr,11.758
161,2013-06-10,esc3,spot,fr,9.0458
162,2013-06-11,esc3,spot,fr,13.73
163,2013-06-12,esc3,spot,fr,11.36
164,2013-06-13,esc3,spot,fr,12.125
165,2013-06-14,esc3,spot,fr,10.278
166,2013-06-15,esc3,spot,fr,11.102
167,2013-06-16,esc3,spot,fr,7.132
168,2013-06-17,esc3,spot,fr,4.7937
169,2013-06-18,esc3,spot,fr,4.5584
170,2013-06-19,esc3,spot,fr,10.358
171,2013-06-20,esc3,spot,fr,12.43
172,2013-06-21,esc3,spot,fr,17.519
173,2013-06-22,esc3,spot,fr,12.554
174,2013-06-23,esc3,spot,fr,7.3465
175,2013-06-24,esc3,spot,fr,4.2051
176,2013-06-25,esc3,spot,fr,5.1162
177,2013-06-26,esc3,spot,fr,11.412
178,2013-06-27,esc3,spot,fr,10.289
179,2013-06-28,esc3,spot,fr,18.749
180,2013-06-29,esc3,spot,fr,14.64
181,2013-06-30,esc3,spot,fr,9.7673
182,2013-07-01,esc3,spot,fr,9.7625
183,2013-07-02,esc3,spot,fr,13.431
184,2013-07-03,esc3,spot,fr,21.633
185,2013-07-04,esc3,spot,fr,12.839
186,2013-07-05,esc3,spot,fr,16.736
187,2013-07-06,esc3,spot,fr,13.055
188,2013-07-07,esc3,spot,fr,13.633
189,2013-07-08,esc3,spot,fr,9.6812
190,2013-07-09,esc3,spot,fr,12.65
191,2013-07-10,esc3,spot,fr,9.1966
192,2013-07-11,esc3,spot,fr,7.1466
193,2013-07-12,esc3,spot,fr,14.119
194,2013-07-13,esc3,spot,fr,15.67
195,2013-07-14,esc3,spot,fr,22.991
196,2013-07-15,esc3,spot,fr,8.2071
197,2013-07-16,esc3,spot,fr,13.186
198,2013-07-17,esc3,spot,fr,16.859
199,2013-07-18,esc3,spot,fr,21.359
200,2013-07-19,esc3,spot,fr,15.275
201,2013-07-20,esc3,spot,fr,17.271
202,2013-07-21,esc3,spot,fr,16.474
203,2013-07-22,esc3,spot,fr,12.451
204,2013-07-23,esc3,spot,fr,16.11
205,2013-07-24,esc3,spot,fr,25.764
206,2013-07-25,esc3,spot,fr,24.453
207,2013-07-26,esc3,spot,fr,26.183
208,2013-07-27,esc3,spot,fr,22.491
209,2013-07-28,esc3,spot,fr,25.998
210,2013-07-29,esc3,spot,fr,15.365
211,2013-07-30,esc3,spot,fr,18.956
212,2013-07-31,esc3,spot,fr,24.831
213,2013-08-01,esc3,spot,fr,14.507
214,2013-08-02,esc3,spot,fr,27.121
215,2013-08-03,esc3,spot,fr,13.15
216,2013-08-04,esc3,spot,fr,23.727
217,2013-08-05,esc3,spot,fr,22.882
218,2013-08-06,esc3,spot,fr,20.952
219,2013-08-07,esc3,spot,fr,16.003
220,2013-08-08,esc3,spot,fr,17.442
221,2013-08-09,esc3,spot,fr,14.074
222,2013-08-10,esc3,spot,fr,17.651
223,2013-08-11,esc3,spot,fr,13.846
224,2013-08-12,esc3,spot,fr,10.298
225,2013-08-13,esc3,spot,fr,12.866
226,2013-08-14,esc3,spot,fr,8.8872
