"","date","type","market","country","forecast"
"1",2013-01-01,"svm_linearx_1","spot","fr",13.1009019355417
"2",2013-01-02,"svm_linearx_1","spot","fr",15.5812635642205
"3",2013-01-03,"svm_linearx_1","spot","fr",15.4213578728829
"4",2013-01-04,"svm_linearx_1","spot","fr",18.1889565490933
"5",2013-01-05,"svm_linearx_1","spot","fr",17.6607662064368
"6",2013-01-06,"svm_linearx_1","spot","fr",15.5299160459146
"7",2013-01-07,"svm_linearx_1","spot","fr",18.2607063341711
"8",2013-01-08,"svm_linearx_1","spot","fr",25.4749833885073
"9",2013-01-09,"svm_linearx_1","spot","fr",30.8085758797637
"10",2013-01-10,"svm_linearx_1","spot","fr",32.7600884299133
"11",2013-01-11,"svm_linearx_1","spot","fr",35.7063276243811
"12",2013-01-12,"svm_linearx_1","spot","fr",32.1907166418824
"13",2013-01-13,"svm_linearx_1","spot","fr",34.4872034658221
"14",2013-01-14,"svm_linearx_1","spot","fr",35.0282968875934
"15",2013-01-15,"svm_linearx_1","spot","fr",34.7571250191464
"16",2013-01-16,"svm_linearx_1","spot","fr",39.7506725770915
"17",2013-01-17,"svm_linearx_1","spot","fr",42.2567999162143
"18",2013-01-18,"svm_linearx_1","spot","fr",45.615461662441
"19",2013-01-19,"svm_linearx_1","spot","fr",47.9019857308668
"20",2013-01-20,"svm_linearx_1","spot","fr",44.0812214216226
"21",2013-01-21,"svm_linearx_1","spot","fr",35.4150355278419
"22",2013-01-22,"svm_linearx_1","spot","fr",41.2026836196176
"23",2013-01-23,"svm_linearx_1","spot","fr",38.4480615264672
"24",2013-01-24,"svm_linearx_1","spot","fr",42.4376284879262
"25",2013-01-25,"svm_linearx_1","spot","fr",42.6845422973984
"26",2013-01-26,"svm_linearx_1","spot","fr",42.1428755211435
"27",2013-01-27,"svm_linearx_1","spot","fr",38.6396195639142
"28",2013-01-28,"svm_linearx_1","spot","fr",35.5002416384156
"29",2013-01-29,"svm_linearx_1","spot","fr",34.1255757839458
"30",2013-01-30,"svm_linearx_1","spot","fr",28.9497487244802
"31",2013-01-31,"svm_linearx_1","spot","fr",23.9769479610265
"32",2013-02-01,"svm_linearx_1","spot","fr",27.622447141274
"33",2013-02-02,"svm_linearx_1","spot","fr",27.4428496055333
"34",2013-02-03,"svm_linearx_1","spot","fr",26.1126399127692
"35",2013-02-04,"svm_linearx_1","spot","fr",29.1275552686693
"36",2013-02-05,"svm_linearx_1","spot","fr",27.5328017751409
"37",2013-02-06,"svm_linearx_1","spot","fr",28.2542888960581
"38",2013-02-07,"svm_linearx_1","spot","fr",30.6560857849774
"39",2013-02-08,"svm_linearx_1","spot","fr",32.5884211539424
"40",2013-02-09,"svm_linearx_1","spot","fr",38.1045096904477
"41",2013-02-10,"svm_linearx_1","spot","fr",42.5495341887184
"42",2013-02-11,"svm_linearx_1","spot","fr",41.3079644488663
"43",2013-02-12,"svm_linearx_1","spot","fr",34.6269656172005
"44",2013-02-13,"svm_linearx_1","spot","fr",42.4663890083984
"45",2013-02-14,"svm_linearx_1","spot","fr",40.8151598279546
"46",2013-02-15,"svm_linearx_1","spot","fr",39.1800722284793
"47",2013-02-16,"svm_linearx_1","spot","fr",44.2723268363335
"48",2013-02-17,"svm_linearx_1","spot","fr",44.1297479407579
"49",2013-02-18,"svm_linearx_1","spot","fr",43.4053898740161
"50",2013-02-19,"svm_linearx_1","spot","fr",39.1303981773422
"51",2013-02-20,"svm_linearx_1","spot","fr",45.9499827490857
"52",2013-02-21,"svm_linearx_1","spot","fr",39.413326573626
"53",2013-02-22,"svm_linearx_1","spot","fr",43.1141661187545
"54",2013-02-23,"svm_linearx_1","spot","fr",44.6713251506357
"55",2013-02-24,"svm_linearx_1","spot","fr",50.9127813579606
"56",2013-02-25,"svm_linearx_1","spot","fr",43.9135993861001
"57",2013-02-26,"svm_linearx_1","spot","fr",51.1292251985167
"58",2013-02-27,"svm_linearx_1","spot","fr",45.1279564186193
"59",2013-02-28,"svm_linearx_1","spot","fr",44.6522880049942
"60",2013-03-01,"svm_linearx_1","spot","fr",43.4378951391026
"61",2013-03-02,"svm_linearx_1","spot","fr",48.82527009766
"62",2013-03-03,"svm_linearx_1","spot","fr",46.3680575613132
"63",2013-03-04,"svm_linearx_1","spot","fr",47.6033381120243
"64",2013-03-05,"svm_linearx_1","spot","fr",41.3368563842619
"65",2013-03-06,"svm_linearx_1","spot","fr",46.8964835125789
"66",2013-03-07,"svm_linearx_1","spot","fr",37.6870426639719
"67",2013-03-08,"svm_linearx_1","spot","fr",36.1342685298653
"68",2013-03-09,"svm_linearx_1","spot","fr",28.1278353849884
"69",2013-03-10,"svm_linearx_1","spot","fr",26.2003018113687
"70",2013-03-11,"svm_linearx_1","spot","fr",26.2037600267856
"71",2013-03-12,"svm_linearx_1","spot","fr",24.8597822980956
"72",2013-03-13,"svm_linearx_1","spot","fr",33.8719192897004
"73",2013-03-14,"svm_linearx_1","spot","fr",41.4881015975302
"74",2013-03-15,"svm_linearx_1","spot","fr",50.8477121122289
"75",2013-03-16,"svm_linearx_1","spot","fr",45.0323391959667
"76",2013-03-17,"svm_linearx_1","spot","fr",44.4531652916911
