"","date","type","market","country","forecast"
"1",2013-01-01,"svm_polynomialx_1","spot","fr",12.9955053284672
"2",2013-01-02,"svm_polynomialx_1","spot","fr",15.4326225912691
"3",2013-01-03,"svm_polynomialx_1","spot","fr",17.9931433305564
"4",2013-01-04,"svm_polynomialx_1","spot","fr",16.4207241283237
"5",2013-01-05,"svm_polynomialx_1","spot","fr",18.6848099393646
"6",2013-01-06,"svm_polynomialx_1","spot","fr",14.6820168047814
"7",2013-01-07,"svm_polynomialx_1","spot","fr",18.5017361190632
"8",2013-01-08,"svm_polynomialx_1","spot","fr",28.1640488495266
"9",2013-01-09,"svm_polynomialx_1","spot","fr",35.4484857455926
"10",2013-01-10,"svm_polynomialx_1","spot","fr",37.3885915156117
"11",2013-01-11,"svm_polynomialx_1","spot","fr",38.7554242420944
"12",2013-01-12,"svm_polynomialx_1","spot","fr",38.5586062334952
"13",2013-01-13,"svm_polynomialx_1","spot","fr",34.2216497381271
"14",2013-01-14,"svm_polynomialx_1","spot","fr",35.2441789247716
"15",2013-01-15,"svm_polynomialx_1","spot","fr",34.8384180186246
"16",2013-01-16,"svm_polynomialx_1","spot","fr",38.4779905322426
"17",2013-01-17,"svm_polynomialx_1","spot","fr",43.294125235411
"18",2013-01-18,"svm_polynomialx_1","spot","fr",47.8155276587715
"19",2013-01-19,"svm_polynomialx_1","spot","fr",48.6941254721545
"20",2013-01-20,"svm_polynomialx_1","spot","fr",45.2231750611471
"21",2013-01-21,"svm_polynomialx_1","spot","fr",37.8741610619349
"22",2013-01-22,"svm_polynomialx_1","spot","fr",42.151856516118
"23",2013-01-23,"svm_polynomialx_1","spot","fr",38.5259835127392
"24",2013-01-24,"svm_polynomialx_1","spot","fr",41.5816356180467
"25",2013-01-25,"svm_polynomialx_1","spot","fr",39.5240013326253
"26",2013-01-26,"svm_polynomialx_1","spot","fr",41.4858923513088
"27",2013-01-27,"svm_polynomialx_1","spot","fr",37.9409272846621
"28",2013-01-28,"svm_polynomialx_1","spot","fr",35.3535428280117
"29",2013-01-29,"svm_polynomialx_1","spot","fr",33.1820421465075
"30",2013-01-30,"svm_polynomialx_1","spot","fr",28.1316215141569
"31",2013-01-31,"svm_polynomialx_1","spot","fr",20.4641516341622
"32",2013-02-01,"svm_polynomialx_1","spot","fr",25.1258847083193
"33",2013-02-02,"svm_polynomialx_1","spot","fr",26.8328569494879
"34",2013-02-03,"svm_polynomialx_1","spot","fr",24.0033876438997
"35",2013-02-04,"svm_polynomialx_1","spot","fr",25.9960856657808
"36",2013-02-05,"svm_polynomialx_1","spot","fr",28.2201183861284
"37",2013-02-06,"svm_polynomialx_1","spot","fr",29.2819363427402
"38",2013-02-07,"svm_polynomialx_1","spot","fr",31.360708951973
"39",2013-02-08,"svm_polynomialx_1","spot","fr",36.4308745996009
"40",2013-02-09,"svm_polynomialx_1","spot","fr",41.2383040265009
"41",2013-02-10,"svm_polynomialx_1","spot","fr",45.1348954867787
"42",2013-02-11,"svm_polynomialx_1","spot","fr",42.6982573962278
"43",2013-02-12,"svm_polynomialx_1","spot","fr",39.1157034841941
"44",2013-02-13,"svm_polynomialx_1","spot","fr",43.8155150969402
"45",2013-02-14,"svm_polynomialx_1","spot","fr",41.5645065254181
"46",2013-02-15,"svm_polynomialx_1","spot","fr",37.2015484124284
"47",2013-02-16,"svm_polynomialx_1","spot","fr",41.8348581273771
"48",2013-02-17,"svm_polynomialx_1","spot","fr",44.3584359852847
"49",2013-02-18,"svm_polynomialx_1","spot","fr",42.7524113716987
"50",2013-02-19,"svm_polynomialx_1","spot","fr",38.7193742800892
"51",2013-02-20,"svm_polynomialx_1","spot","fr",45.7851192094398
"52",2013-02-21,"svm_polynomialx_1","spot","fr",39.1739285992958
"53",2013-02-22,"svm_polynomialx_1","spot","fr",43.5814801828115
"54",2013-02-23,"svm_polynomialx_1","spot","fr",43.6253939445534
"55",2013-02-24,"svm_polynomialx_1","spot","fr",50.8502466803699
"56",2013-02-25,"svm_polynomialx_1","spot","fr",42.5730822616402
"57",2013-02-26,"svm_polynomialx_1","spot","fr",49.8379710590878
"58",2013-02-27,"svm_polynomialx_1","spot","fr",47.7038267542365
"59",2013-02-28,"svm_polynomialx_1","spot","fr",45.1152083781086
"60",2013-03-01,"svm_polynomialx_1","spot","fr",40.1123658717979
"61",2013-03-02,"svm_polynomialx_1","spot","fr",47.1714173492464
"62",2013-03-03,"svm_polynomialx_1","spot","fr",44.7941969522478
"63",2013-03-04,"svm_polynomialx_1","spot","fr",45.2079133705097
"64",2013-03-05,"svm_polynomialx_1","spot","fr",40.943957644438
"65",2013-03-06,"svm_polynomialx_1","spot","fr",44.5846827206445
"66",2013-03-07,"svm_polynomialx_1","spot","fr",35.6832255931266
"67",2013-03-08,"svm_polynomialx_1","spot","fr",36.5487726297997
"68",2013-03-09,"svm_polynomialx_1","spot","fr",28.4554660705107
"69",2013-03-10,"svm_polynomialx_1","spot","fr",23.7282154750747
"70",2013-03-11,"svm_polynomialx_1","spot","fr",21.3086136379793
"71",2013-03-12,"svm_polynomialx_1","spot","fr",20.9912384528669
"72",2013-03-13,"svm_polynomialx_1","spot","fr",34.1472020389734
"73",2013-03-14,"svm_polynomialx_1","spot","fr",49.3585764662722
"74",2013-03-15,"svm_polynomialx_1","spot","fr",57.7962009754971
"75",2013-03-16,"svm_polynomialx_1","spot","fr",50.0316016136189
"76",2013-03-17,"svm_polynomialx_1","spot","fr",43.144060482285
"77",2013-03-18,"svm_polynomialx_1","spot","fr",40.069521234574
"78",2013-03-19,"svm_polynomialx_1","spot","fr",32.783472139065
"79",2013-03-20,"svm_polynomialx_1","spot","fr",31.1818458892977
"80",2013-03-21,"svm_polynomialx_1","spot","fr",41.9819767742734
"81",2013-03-22,"svm_polynomialx_1","spot","fr",44.0315083572851
"82",2013-03-23,"svm_polynomialx_1","spot","fr",40.2346266707743
"83",2013-03-24,"svm_polynomialx_1","spot","fr",28.1934432101032
"84",2013-03-25,"svm_polynomialx_1","spot","fr",27.4361730734958
"85",2013-03-26,"svm_polynomialx_1","spot","fr",40.667048248537
"86",2013-03-27,"svm_polynomialx_1","spot","fr",44.6322937678765
"87",2013-03-28,"svm_polynomialx_1","spot","fr",48.5628510797786
"88",2013-03-29,"svm_polynomialx_1","spot","fr",46.6497013772013
"89",2013-03-30,"svm_polynomialx_1","spot","fr",37.5317860323231
"90",2013-03-31,"svm_polynomialx_1","spot","fr",41.979494384216
"91",2013-04-01,"svm_polynomialx_1","spot","fr",37.1446052210415
"92",2013-04-02,"svm_polynomialx_1","spot","fr",43.2284318173693
"93",2013-04-03,"svm_polynomialx_1","spot","fr",32.7402938206602
"94",2013-04-04,"svm_polynomialx_1","spot","fr",43.5543822238349
"95",2013-04-05,"svm_polynomialx_1","spot","fr",36.5176414134036
"96",2013-04-06,"svm_polynomialx_1","spot","fr",41.1458068366624
"97",2013-04-07,"svm_polynomialx_1","spot","fr",44.7975260772908
"98",2013-04-08,"svm_polynomialx_1","spot","fr",44.0727729135316
"99",2013-04-09,"svm_polynomialx_1","spot","fr",44.8368938811276
"100",2013-04-10,"svm_polynomialx_1","spot","fr",45.3808739884702
"101",2013-04-11,"svm_polynomialx_1","spot","fr",36.3878124008564
"102",2013-04-12,"svm_polynomialx_1","spot","fr",35.9192462970517
"103",2013-04-13,"svm_polynomialx_1","spot","fr",35.3721179903138
"104",2013-04-14,"svm_polynomialx_1","spot","fr",26.7921583110761
"105",2013-04-15,"svm_polynomialx_1","spot","fr",22.606674576358
"106",2013-04-16,"svm_polynomialx_1","spot","fr",17.541502429167
